                   sim_nr                        h                    alpha                  Costf_grad_h              Costf_grad_alpha
                        1                    650.0                     0.45          -0.09906239223932345            3134.1468528267533
                        2        650.0000001376449       0.4499999783954915          -0.09906230256517351             3134.146546457657
                        3        651.4057643935947       0.2293534726890718           0.48003500212456984             279.4519490219003
                        4        651.4057636257853      0.22935347216653376           0.48003500147855993             279.4519442101648
                        5        520.1527632218119      0.14002833187887936           0.29652481681172116              -620.08777627241
                        6        520.1527620614327      0.14002833246819413            0.2965248142269521            -620.0877695313202
                        7        402.0652456607679      0.20000071374296952           0.09000345647820865             48.31442532573551
                        8       402.06523683545595      0.20000069024005493           0.09000342585872316             48.31413455922606
                        9        399.6678333096594      0.19361610342210978            0.0815098227119876           -30.410447837412622
                       10        399.6678268714317      0.19361610411639296           0.08150981218348337           -30.410444092457247
                       11        349.7341785170344      0.19900083037447203        -0.0016598003609046463           -12.447471467003291
                       12       349.73417852645207       0.1990008303984459        -0.0016598003153977122           -12.447471164850894
                       13       350.11966422485756      0.19998213483053723        0.00019830713856694053          -0.07706025006185024
                       14       350.11965328233106      0.19998215592573976        0.00019831177457062997          -0.07681667397266059
                       15         350.111500530291      0.19999787295012816        0.00020176685945596823           0.10466189542460082
                       16        350.1114994999274      0.19999787296974475        0.00020176499516877565           0.10466092836617315
                       17       349.99999721727386       0.1999999958080545       -1.0007291419185578e-08       -5.4206243216252926e-05
                       18        349.9999984128334       0.2000000279356348        2.9805699426908466e-08        0.00033766217819810777
                       19        349.9999973831618      0.20000000026586523        -4.483118432756464e-09        1.6673722012246794e-07
                       20        349.9999973831618      0.20000000026586523        -4.483118432756464e-09        1.6673722012246794e-07
