                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1  -0.00023193451461364057    3.922400534182476e-07     0.007983269593854047       0.9873667564049979     0.005757170670614608   0.00013414523119563817   3.3344506370112194e-07      -21.949763873150822      0.02426251977953846       0.7632087881849379      0.23709615659600336       0.4107418683161911       0.5778307418886818       0.5254836816472878                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0           -16600321.454797719             58546568243.88967             21492863.80059021           -1338.8294533260878           -1241572.2118749323             2855769.866253249             1136511440.167457            1070.2564869343294            475227.59912819404            -7278.281462148512            -6185.195710405406           -1373.3627575465712            168.23757497462233            11402.795036033516
                        2  -0.00023191718144819883    3.922400515323576e-07      0.00798324680298498       0.9873667564696085     0.005757170670989089   0.00013414523022996943    3.334450633168145e-07      -21.949764051868616     0.024262519259202107       0.7632087883673193      0.23709615659963446       0.4107418683176244       0.5778307418886677       0.5254836789696373           0.11231891206245956         -0.012220567232412534         -0.002625508116516073         5.743159034763165e-11          8.32179618425065e-08        -4.828343671062219e-07        -0.0001921537121889335        -5.718969418921916e-10       -1.1563030085895122e-06         5.836206184994808e-09         7.262190848678073e-10         3.185106499535727e-11       -1.2533184366879545e-12       -5.9503342993612776e-08           -16599260.449160483            58546317553.899155            21492793.081864294           -1338.7760004899396           -1241535.6098151912             2855756.205206128            1136497768.2621431            1070.2515448953745             475222.4608478748            -7278.351503950858            -6185.323118050535            -1373.326260211977            168.22193197953405            11402.814648939597
                        3  -0.00023193781474735846   3.9224004940304955e-07     0.007983220191443532       0.9873667564529844    0.0057571706710448705   0.00013414522915850569    3.334450629987172e-07        -21.9497642513203     0.024262518803871553       0.7632087886718839       0.2370961566072482      0.41074186831799986       0.5778307418887005        0.525483675321281         -0.021384866491949532          -0.02601848344166127         -0.005691157691312121         4.265466991960743e-11         9.561391030773099e-08       -1.0185662399240722e-06       -0.00035120235924429436       -1.2101423294552662e-09       -2.1681486852800604e-06        1.5582273249492573e-08         2.248967678752933e-09        4.0195007815984556e-11        1.6678016992146794e-12       -1.4057792707689032e-07           -16600493.953745807             58546591666.01312            21492732.719245493            -1338.833836181797           -1241571.6734350696             2855771.401317348            1136514695.4363194            1070.2501723747944               475225.37113305            -7278.208402045351            -6185.128619527048           -1373.3696848831355            168.24118552157697            11402.714114377017
                        4   -0.0002319345146467477   3.9224005173818513e-07      0.00798326959289284       0.9873667563995259       0.0057571706705365   0.00013414523033522757    3.334450633391532e-07       -21.94976386901166      0.02426251982680328       0.7632087881738188       0.2370961565969122       0.4107418683171769       0.5778307418886753       0.5254836815073904       -2.1453428877132863e-07         -0.010886804877701644         -1.10731024349775e-07        -4.864059772242197e-12       -1.7357257606518157e-08        -4.302052962999736e-07       -0.00018098436516952388         1.324531240243232e-11        1.0503292680041909e-07       -3.5581138035922777e-10         1.817657135916306e-10        2.1907167438131283e-11        -5.723816482511918e-13       -3.1088292434194247e-09            -16600321.44331531            58546568026.521225             21492863.80047672           -1338.8294546172872           -1241572.2128340902              2855769.85507869            1136511434.1994648            1070.2564868018544            475227.59879256546            -7278.281473865124            -6185.195717278387            -1373.362753265421            168.23757250035405            11402.795038760618
                        5   -3.818858747772956e-05   -3.967032052609336e-08   -0.0002148332519753774       0.9859714832543327    0.0057371968311119795   -8.704633984849713e-05   2.4041428935330953e-07      -20.948296687922348     0.036235373437719445       0.7604313451417666      0.23733119655329987      0.41099524006313726       0.5778290995487034      0.48856426581274714            1255.4736078407034             -2798779.22315933            -944.4214478395497         -0.001240242800591318           -4.4386310005840866           -110.59578552206764             -46515.3871739062         0.0032046949927311175            26.606341462624407           -0.0888781773814813           0.04700799145930245          0.005630483265470529        -0.0001459857758530821           -0.8204314629897914           -2359147.4704960464             4952665348.841454            -162460.8241502369            -79.95253623765068             3614.916709886821            236202.57262683404             90206524.65866692           -13.414634651724334           -2462.9291905167333            435.17439918657783             3131.663535092987           -128.63097782165087             37.57501410462853            -521.7313237132025
                        6   -3.818858634421692e-05   -3.967032139809218e-08  -0.00021483325132496713       0.9859714832573565     0.005737196831101776     -8.7046339996719e-05     2.40414289294502e-07      -20.948296684216615      0.03623537344755692       0.7604313451285238      0.23733119655148116       0.4109952400633466       0.5778290995486998       0.4885642659428102            1255.4736151858651           -2798779.2288098824            -944.4214477646224        -0.0012402427979034925            -4.438631002851563           -110.59578559617859           -46515.387203309976          0.003204695004589462             26.60634148448547          -0.08887817780524898           0.04700799109556008          0.005630483270122363       -0.00014598577617874753            -0.820431460099501            -2359147.422247545             4952665265.547191            -162460.8225587383             -79.9525346055909            3614.9169332552665            236202.56867792865              90206523.0939373           -13.414634567724615           -2462.9291623886756              435.174395888921            3131.6635262830746           -128.63097485606866            37.575013177614466            -521.7313223866059
                        7  -3.8188587610176426e-05   -3.967032058774889e-08  -0.00021483325131905172       0.9859714832540853     0.005737196831109061   -8.704633984618103e-05    2.404142893557522e-07      -20.948296686965683      0.03623537343678782       0.7604313451358362       0.2373311965516941       0.4109952400630905       0.5778290995487046      0.48856426591569413            1255.4736069824476           -2798779.2235588576            -944.4214477639409        -0.0012402428008111914            -4.438631001232681            -110.5957855209096            -46515.38717268486         0.0032046949957924425            26.606341460554134          -0.08887817757125305          0.047007991138148235         0.0056304832644318535       -0.00014598577574452697           -0.8204314607020806            -2359147.477887468             4952665341.989727           -162460.82206343187             -79.9525366817406            3614.9164907445934            236202.57228851874             90206524.53282861           -13.414634552385163            -2462.929155974781             435.1743977692773            3131.6635354765795              -128.63097793638             37.57501406519104            -521.7313216901947
                        8   1.8055923975368577e-05   -9.208768810359504e-08   -0.0001415924787492983       0.9861274540538165     0.005736460513135505   -9.524036264359135e-05   2.3724852729798488e-07       -20.68667856247769      0.03673569214419242       0.7593559006242705      0.23713923701134085       0.4110043809302322       0.5778289622064515       0.5016272380001299            1619.9380420567793           -3138443.7650615415            -935.9841107639054        -0.0011016020899390355             -4.60225721757841           -114.69279691961475            -48098.26820156853          0.004041872994154016            27.718160810342134          -0.12329240194135593          0.008616083067497502         0.0058336136453587505        -0.0001581939760223842           -0.5301431921590641           -125749.65482006475           -30183094.254813064             44917.00562408616           -20.351930995742727            420.94000215191016             567.4797894210692             687792.1352828813           -3.1830223776730797             901.0745550991164            132.73436414152985             2585.590901641266            26.112857797140236           -27.289718375109974           -327.27515716665795
                        9   1.8083033474133495e-05   -9.208768790285586e-08  -0.00014160231276048353       0.9861274542566019     0.005736460513109292   -9.524036268321082e-05    2.372485272499656e-07      -20.686678452735677      0.03673569194048984        0.759355899937536       0.2371392366979433      0.41100438092460534       0.5778289622069258       0.5016272538676416             1620.113711608776            -3138443.763760751            -935.9852436419939        -0.0011016019096853963            -4.602257223403612            -114.6927969394245            -48098.26822557817          0.004041873345328463            27.718160357669728          -0.12329242391685824          0.008616020387985921          0.005833613520316799        -0.0001581939338635152           -0.5301428395476919            -124457.0533383063            -29969646.17363943             44871.53629865771           -20.297401617261237             437.0449177159433             578.7003830788688             690365.8282085258             -3.18509225603991             900.3358463814121            132.72581179671764            2585.2507544020423            26.150513139194295            -27.30190993524299           -327.31229056418493
                       10    1.805558041239759e-05   -9.208768803615703e-08   -0.0001416022594166854       0.9861274542187584     0.005736460512997537   -9.524036277250391e-05    2.372485272254118e-07      -20.686678433499257      0.03673569193733291       0.7593558998705092      0.23713923666964148       0.4110043809231348       0.5778289622069985       0.5016272557231609            1619.9358157687273            -3138443.764624543            -935.9852374967884        -0.0011016019433240684            -4.602257248237914           -114.69279698407102            -48098.26823785506          0.004041873406885009            27.718160350654323          -0.12329242606171675          0.008616014727624853          0.005833613487638001       -0.00015819392739955005           -0.5301427983139299           -125759.05345666199           -30190796.893988732            44891.062733367406             -20.3508683480471            422.17651138694646             567.2243180026477             687916.0944169939            -3.184242851336855             900.6657257116901            132.74822642007564            2585.6098038701393            26.112505210141002           -27.288708570403855           -327.29172583381256
