                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1    0.0009267046085166894     5.14367675540069e-07     0.004408319893845921        2.819491479376298     0.007499245397094243  -0.00013763397512435915   -2.219689935799984e-06       -66.57747296354941    -0.003900491181671419      0.44044912718010176      0.34731648808643084       0.5927445563829671       0.4072608369709598     0.062307570507912996                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            53373426.221920155            66494716766.442184             6187410.283445104             3325.687453872114             644464.1481821751            2565555.6004134463             422280119.0423789             211.4345324848935             33728.18549171879             557.5016577005543             41250.26618521358             533.2952003386647            2530.7303508379746             5467.672186840004
                        2    0.0009266785504230454    5.143676745399419e-07    0.0044083168519628005       2.8194914793013583    0.0074992453970034794   -0.0001376339755294379   -2.219689935866659e-06       -66.57747298003517    -0.003900491198236262       0.4404491271735784      0.34731648807512344       0.5927445563827072      0.40726083697086035      0.06230756990840014          -0.16885644681325154         -0.006480823339530891        -0.0003504249354691069        -6.661298673154507e-11       -2.0169629855182336e-08        -2.025393741611481e-07        -3.333731097979794e-05        -5.275442163110711e-11        -3.681076180755354e-08       -2.0874679762528103e-10       -2.2614798922404585e-09       -5.7756268903277584e-12        -8.842309600570135e-12       -1.3322507911676476e-08            53372236.720592014             66494384539.89546             6187363.020686309            3325.6408160404917              644471.248619724            2565559.3252694355             422289416.8478392             211.4346474294801             33728.89085124074             557.4962971668634             41250.60336557633             533.2743117621457             2530.660269631591             5467.496223858635
                        3    0.0009267046884414192    5.143676747603227e-07      0.00440831788609956        2.819491479348496     0.007499245396957682  -0.00013763397555842217  -2.2196899359335046e-06       -66.57747298053694    -0.003900491214015107      0.44044912717637974      0.34731648807087345       0.5927445563831665       0.4072608369709845      0.06230757077832649         0.0005179122491809351         -0.005052756309057231       -0.00023129238074792724       -2.4712676349736284e-11        -3.034686699463249e-08        -2.170315115774743e-07        -6.676017228726856e-05       -5.4360089052352125e-11        -7.187486235040976e-08        -1.191047260817868e-10       -3.1114777421237246e-09         4.431023449392847e-12        2.1908401019269754e-12         6.009188825552138e-09             53373426.83038525             66494719440.41351             6187405.081340181            3325.6863623210106             644463.8508527912             2565555.457307053            422280044.68334645             211.4343446401984             33728.15400361962             557.5036592011766             41250.25160324223               533.29527996462            2530.7288355924024             5467.666383669309
                        4  -0.00019037315898766426    5.137120747148126e-07    0.0026991057661836723        2.819466325745847     0.007499134398766591  -0.00013799206400531527  -2.2197974635756424e-06       -66.59151580350465    -0.003926557218283143      0.44044591880964434      0.34730379908008435       0.5927447007064146       0.4072608517596518      0.06249208968622533            -7238.663933428212            -4248.293347661469           -196.90146750669103       -2.2358782623083722e-05         -0.024666295033703062           -0.1790444404780575             -53.7638878291201        -4.493708785676063e-05         -0.057924525803831124       -0.00010266785463741712         -0.002537801269297812         3.207187722805334e-06        1.3145503993980708e-06          0.004100426184718471            -2588121.354236919             58397978475.24215             317032.6839282727            157.42561133858862             228484.5374678398             2595844.675980046             839427915.5850389             6.248381697828152             6570.835270968308             2437.630694905532             47394.70564181139            -932.9583380766101             702.0595136002443           -1579.1596668297607
                        5  -0.00019034732713133341    5.137120567584142e-07     0.002699102579851357        2.819466325673327      0.00749913439810875  -0.00013799207238427571   -2.219797466285178e-06       -66.59151581346453    -0.003926557284256464      0.44044591822656676      0.34730379881449003       0.5927447007157092       0.4072608517590877     0.062492093225994694            -7238.496542999188             -4248.40970512316           -196.90183457217373        -2.235884708549444e-05         -0.024666441220585106          -0.17904862995828183            -53.76524259690934       -4.4937119728365365e-05          -0.05792467241121014       -0.00010268651312017596        -0.0025378543881626743        3.2073942686968353e-06        1.3145002567919542e-06           0.00410050484625995             -2586690.05838775             58397902640.37524             317047.4479983027               157.48775405375            228498.98786783937              2595834.58877892             839412806.4735993             6.249091353540689              6570.90888633101             2437.601690564248             47394.33461505547            -932.9117451091672             702.0466208107406           -1579.1579155875602
                        6  -0.00019037312327541166    5.137120561894813e-07     0.002699102194070112        2.819466325617395     0.007499134398008618  -0.00013799207260927209  -2.2197974662865244e-06       -66.59151581591665    -0.003926557287887003       0.4404459182196341       0.3473037988093136       0.5927447007151594       0.4072608517590878      0.06249209333940353            -7238.663702012815            -4248.413391808135           -196.90187901417318       -2.2358896802564408e-05          -0.02466646347207588          -0.17904874245646807           -53.765243270088774        -4.493712757516733e-05          -0.05792468047907557       -0.00010268673496582892        -0.0025378554234456448          3.20738205130924e-06        1.3145002666606033e-06          0.004100507366456347            -2588122.528418765             58397979337.10393             317023.1568611238             157.4244901173495            228483.94461263064            2595844.5469484087             839427784.2938061             6.247958633190045            6570.7069902101475            2437.6345934822893             47394.69202803611            -932.9582382387863             702.0588113180835            -1579.166497629403
                        7  -0.00019037316107627545    5.137120403146536e-07    0.0026991057578196007        2.819466325541442    0.0074991343974754225  -0.00013799207994351847  -2.2197974685747225e-06       -66.59151577991254    -0.003926557258323515      0.44044591765042895      0.34730379858294147       0.5927447007225475       0.4072608517586447      0.06249209752663276            -7238.663946962412            -4248.516260691972            -196.9014684702321        -2.235896431636143e-05         -0.024666581960049942          -0.17905240957965954           -53.766387369137334        -4.493701236201559e-05           -0.0579246147824357       -0.00010270494952990816        -0.0025379006978742953        3.2075462310901216e-06        1.3144608759476896e-06          0.004100600415994792            -2588121.356489787            58397974445.990685             317032.7053656235            157.42560445745218            228484.52893316385            2595844.4908788935             839427845.7095367             6.248382696433306            6570.8354132590675             2437.630626471687             47394.70573563448            -932.9582708373656              702.059504494946           -1579.1595907048236
                        8  -0.00019037286264579807    5.137120745756759e-07    0.0026991057693478244       2.8194663256997994     0.007499134398495033  -0.00013799206370675214   -2.219797462910963e-06       -66.59151579197807    -0.003926557217893039       0.4404459184017959      0.34730379881013107       0.5927447007051247       0.4072608517592418       0.0624920918646783            -7238.662013132919            -4248.294249267301            -196.9014671421807       -2.2358823554292763e-05         -0.024666355379914115          -0.17904429119649656             -53.7635554893905        -4.493705097170278e-05         -0.057924524936933904       -0.00010268090578691158         -0.002537855259954202         3.207159059314001e-06        1.3145139544769158e-06           0.00410047459478455             -2588104.89416082             58397977580.43374            317032.96470345056            157.42633830042112             228484.7104496817            2595844.5613582535             839427743.6989927             6.248394784722874             6570.837613895761             2437.630307417625             47394.70143002846            -932.9578040990222             702.0593740512398           -1579.1595511331432
                        9  -0.00016885036226172866    7.228300274450394e-09    0.0023229812238790173        2.816455377555217     0.007480118500812864   -0.0003726547099550619  -2.2933984679750476e-06       -66.24588590235135    -0.004519491707338967       0.4233788371072813       0.3399826533192701       0.5929822294405532       0.4072460200536072       0.1778990274328658            -7099.196210644149           -3286263.1517212093           -240.23101478018728         -0.002698757174294365           -4.2504213958618875           -117.51036741535138            -36854.26608753167         0.0010610785958338057            -1.375556723705663           -0.5462492823302547           -1.4667669534321524          0.005281623501914486        -0.0013170593202321216            2.5686990427767284            -4596599.759908726             4520204765.850633           -16548.795577675715            -230.6593221647936            -6456.187206376635             184432.4958499787             55033806.14088073            -6.973033337676981            1247.7558762061522              996.660187671162             46294.39750651295           -165.76273072481843            111.74375823832818            -993.4373795742388
                       10   -0.0001688503610428586    7.228298871596545e-09     0.002322981223163388       2.8164553776713235    0.0074801185008408055    -0.000372654710505039   -2.293398468128116e-06       -66.24588589102996    -0.004519491715246411       0.4233788368416489       0.3399826527511567       0.5929822294421957      0.40724602005351784       0.1778990298546459            -7099.196202745871           -3286263.1608117023            -240.2310148626278        -0.0026987570710884272            -4.250421389652734           -117.51036769033993            -36854.26616406597          0.001061078632062254           -1.3755567412777603           -0.5462492908304917           -1.4667670670548303          0.005281623538413684        -0.0013170593281763843            2.5686990965940644            -4596599.704701366             4520204628.924935            -16548.79162871741           -230.65932111151866            -6456.187334145761            184432.49002751216             55033804.55439766            -6.973033177846974            1247.7559149672468              996.660161385646            46294.397252250754           -165.76272898784268             111.7437514468477            -993.4373611017126
