                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1   -7.280675408161392e-05  -1.1147005698195813e-07     -0.00704217870810553        3.008372285384233     0.008184004989353361    0.0036728108128614326   -6.423023898361642e-06      -24.849765231917477      0.05238504023815536       0.5777151873625002       0.2233811521357809      0.16532407676847288       0.3392602032328839      0.20734971233183552        68555.04079229529                      0.0        68555.04079229529
                        2   -7.281772534269008e-05  -1.1147005714852916e-07   -0.0070421507001811766       3.0083722852834853     0.008184004989003039     0.003672810812692657  -6.4230238984446205e-06      -24.849765046483913      0.05238504055559525        0.577715186880781      0.22338115212756057      0.16532407676937777      0.33926020323263384       0.2073497179293513         68554.4259317787    4.351786488715026e-10        68554.42593177913
                        3   -7.279081187527279e-05  -1.1147005716653814e-07    -0.007042083078586603        3.008372285099271     0.008184004987947233     0.003672810812405671  -6.4230238986875945e-06      -24.849764568691764      0.05238504151952709       0.5777151857764833       0.2233811520928125      0.16532407677354466       0.3392602032318503      0.20734972975598875        68553.34415366332   1.3502169994294404e-09        68553.34415366467
                        4   -7.280675391177094e-05  -1.1147005729398589e-07    -0.007042178708812465       3.0083722853715744     0.008184004989278982    0.0036728108126952465   -6.423023898408751e-06      -24.849765227357633     0.052385040261694764       0.5777151872871538      0.22338115213720472      0.16532407676963218        0.339260203232885      0.20734971269509384        68555.04079018238    2.652018640262842e-18        68555.04079018238
                        5   -7.663293859579202e-05   -1.974114848060219e-07  -0.00015043481217963915       3.0048640856266124      0.00816342482054362    0.0036270138759980654   -6.436018952025151e-06      -23.545729888086285      0.05895717052800281       0.5568492016279165      0.22377036655621949      0.16564361883328155      0.33926043743187845      0.30870547842672824        835.4003495015825       2.9322140263172685        838.3325635278998
                        6   -7.666280267595503e-05  -1.9741148274756793e-07  -0.00015043684281116926        3.004864085611318     0.008163424820731215     0.003627013876465063   -6.436018951627652e-06       -23.54572987844746      0.05895717045243091       0.5568492023374378      0.22377036666453537      0.16564361886188222        0.339260437435858      0.30870548681338317        835.3798190370738        2.932213173671048        838.3120322107449
                        7   -7.663297744410121e-05   -1.974114825251265e-07   -0.0001504373254182503       3.0048640856583084     0.008163424820800647     0.003627013876550413   -6.436018951604618e-06      -23.545729881181092      0.05895717044525325       0.5568492022967251      0.22377036665883374      0.16564361886286988       0.3392604374357008       0.3087054867495791         835.400197797158        2.932212047789068         838.332409844947
                        8   -9.203429572018449e-05  -1.9738958507445147e-07   -0.0001744456954067223       3.0048643678313827     0.008163427266003147     0.003627019163434034    -6.43601490528085e-06      -23.545661872195808     0.058956375568937895       0.5568556764829726      0.22377135970857248      0.16564390387804268       0.3392604743984276      0.30878583031783524        829.5439270469951       2.9144878197212747        832.4584148667165
                        9   -9.203288064205974e-05  -1.9738949663253416e-07  -0.00017443739455654406       3.0048643687053316     0.008163427274502429     0.003627019184636732   -6.436014889324818e-06       -23.54566091002239      0.05895637361244746       0.5568557000558374      0.22377136359175295      0.16564390501649945        0.339260474543544       0.3087861689747369        829.5433897394898        2.914494884274449        832.4578846237642
                       10   -9.215951251708823e-05  -1.9738546204646378e-07  -0.00017413139009718383       3.0048644085435954     0.008163427663025403     0.003627020151611634   -6.436014161015164e-06      -23.545617472940197      0.05895628345041081       0.5568567780685905       0.2237715409431037      0.16564395698274614       0.3392604811704994       0.3088016145150174        829.5199579149737        2.914783521155576        832.4347414361292
                       11   -9.203451919333194e-05  -1.9738822154987997e-07  -0.00017445119087718813       3.0048643817294085     0.008163427398970007     0.003627019490186383   -6.436014658716115e-06      -23.545647895220128       0.0589563437767711       0.5568560435825831      0.22377141978165088       0.1656439214669561       0.3392604766426626      0.30879103584670453        829.5364214016616        2.914493818987849        832.4509152206494
                       12   -9.203534287563194e-05   -1.973896225508042e-07   -0.0001744458114731843       3.0048643669090955     0.008163427267704462    0.0036270191226338783   -6.436014903641997e-06      -23.545660773160332       0.0589563730273303       0.5568557136688685      0.22377136384366852      0.16564390536633017       0.3392604745433874      0.30878600053856875        829.5437953547437       2.9144882068350033        832.4582835615787
                       13   -9.929518231566986e-05   -1.695022359592578e-07   -0.0002632072143754988       3.0051471589328362     0.008166160017368609    0.0036336211505944424   -6.430950768536184e-06      -23.255871734571404       0.0582977617601283       0.5644832906889523      0.22501467472448178       0.1660086460457188      0.33930689859463437       0.4160509078754897        752.0125937256332       3.1905416864661778        755.2031354120994
