                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1  -0.00012854624854577443   2.1700734903810852e-07    0.0014929061135215585        5.049366717673632     0.004098701973599262    0.0030268242537852185   -5.941945105889842e-07       -64.77065776378004   -0.0018042698841548251       0.9764264659720816       0.1132255218539015      0.42224457406601923      0.42413014060263954       0.7483301271107152       14813.957842357933                      0.0       14813.957842357933
                        2   -0.0001285668474078097    2.170073349022196e-07    0.0014929245615010122        5.049366717799033     0.004098701973953303    0.0030268242473427934   -5.941945128196207e-07       -64.77065762832552   -0.0018042696063815993       0.9764264658911481       0.1132255221580929       0.4222445740737307      0.42413014060271303       0.7483301288252422       14813.874813220735   1.3943782054241495e-09        14813.87481322213
                        3  -0.00012854580221660555   2.1700732399307984e-07    0.0014929382970707294        5.049366717958295     0.004098701974368385    0.0030268242422526043   -5.941945147252575e-07       -64.77065752467455    -0.001804269381613463       0.9764264658234689      0.11322552238701916       0.4222445740811098      0.42413014060272153       0.7483301299750256        14813.89370294382    6.030897768976941e-11        14813.89370294388
                        4  -0.00012854624865976183   2.1700733494011755e-07    0.0014929061059045401        5.049366717699031     0.004098701973512414    0.0030268242471001893    -5.94194513105855e-07       -64.77065775777943   -0.0018042698853628777       0.9764264659661872      0.11322552213972564       0.4222445740751644       0.4241301406024515       0.7483301259545962       14813.957128898466    6.831835285556219e-16       14813.957128898466
                        5  -0.00012854499752248336    2.170073456862759e-07    0.0014929061507258715        5.049366717665394     0.004098701973309554    0.0030268242525542765   -5.941945105236155e-07         -64.770657769481   -0.0018042699757640462       0.9764264659496786      0.11322552215885057       0.4222445740690386      0.42413014060261267       0.7483301273393783       14813.960362510734     5.07092783310145e-12        14813.96036251074
                        6  -0.00019587111193578033  -2.0902930613148814e-07     0.002066681885328341        5.050140089424439    0.0040960995664396215     0.002824814460979099    -6.70243348603425e-07        -64.5836390151147   -0.0018284117997046133       0.9762448568923259      0.12186419063087367      0.42252090911598034        0.424124469821882       0.7135166992653934       2880.3779695090852       0.6543680649926952       2881.0323375740777
                        7  -0.00019587111148508152  -2.0902930660571901e-07     0.002066681885095455          5.0501400894514     0.004096099566441401    0.0028248144607261935   -6.702433486488445e-07        -64.5836390185858   -0.0018284118172396811       0.9762448568904822      0.12186419089149347      0.42252090911777035       0.4241244698218408       0.7135166989877728       2880.3779563963494       0.6543680667811271       2881.0323244631304
                        8   -0.0001958711112487786  -2.0902930470788558e-07     0.002066681883037476        5.050140089438063     0.004096099566440307    0.0028248144615272406   -6.702433483377245e-07       -64.58363901670145   -0.0018284118115838442       0.9762448568666444      0.12186419120482472       0.4225209091172952      0.42412446982186397        0.713516699349638       2880.3779447296947       0.6543680614722382        2881.032312791167
                        9  -0.00019587111276456865  -2.0902930612196368e-07    0.0020666818847679697       5.0501400893385675    0.0040960995662775454     0.002824814460961581   -6.702433485535574e-07       -64.58363901941505   -0.0018284118029845379       0.9762448568436846      0.12186419074634863       0.4225209091147753       0.4241244698218033       0.7135166994425957        2880.377966000496       0.6543680653511386       2881.0323340658474
                       10  -0.00011631244921962776  -2.1894167918241768e-07     0.001815152767181605       5.0501002354012785     0.004083345237060007    0.0028035246566130464   -6.585254320311058e-07       -65.81779809203147    -0.006820285564509651       0.9701472995233476      0.22815879522876895      0.42291195239969614       0.4241076267994859       0.6714178248209217        411.4301031411223        2.052799817557563       413.48290295867986
