                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1    0.0006269567512334505       8.010682457283e-08   -0.0046469108348331616        6.046569808774612    0.0031360255313231376   -0.0019967742025006926   -5.020157236232318e-07      -13.485258650752275     -0.02486129743881453       0.7222351260780828      0.19757095385021364       0.2719733182756115       0.5838493781576324    0.0036769322508138913        54226.87258217552                      0.0        54226.87258217552
                        2    0.0006269285121523017    8.010682394253566e-08    -0.004646899685303865        6.046569808730045    0.0031360255312901297    -0.001996774202694091   -5.020157236433133e-07      -13.485258602183444    -0.024861297406109067       0.7222351258536535      0.19757095386425927       0.2719733182752366       0.5838493781576671     0.003676936465650371        54225.71085938122   2.5908846572466745e-09        54225.71085938381
                        3    0.0006269570766804625     8.01068244465012e-08   -0.0046468991317823935        6.046569808747703     0.003136025531256236   -0.0019967742026548397   -5.020157236647691e-07      -13.485258569709321    -0.024861297343295896       0.7222351258949493      0.19757095385359907       0.2719733182758574       0.5838493781576174     0.003676934571450019       54226.720783166464    8.232224618209174e-12        54226.72078316647
                        4    0.0006269567507514693    8.010682446075359e-08    -0.004646910833966461        6.046569808749437     0.003136025531262964   -0.0019967742026409697   -5.020157236607948e-07       -13.48525862330175     -0.02486129738285789       0.7222351260785516      0.19757095385194773      0.27197331827585974       0.5838493781576088     0.003676931025276886        54226.87256609633   2.2215831417324657e-17        54226.87256609633
                        5    0.0006269421368755224    8.010594353021292e-08    -0.004646903969026654        6.046569609118155    0.0031360250552354774    -0.001996775310326413   -5.020160203943176e-07      -13.485041805109836     -0.02486085541094235       0.7222351285130135      0.19757096739582763       0.2719733202372103       0.5838493779712514    0.0036672573893854477        54226.36024219522   2.0299843459478206e-09        54226.36024219725
                        6    0.0006269567148621754    8.010682230844965e-08    -0.004646910769252671        6.046569806352812    0.0031360255267159874   -0.0019967742110071902   -5.020157260417752e-07      -13.485256910172591    -0.024861293892928137       0.7222351247759018       0.1975709537921704      0.27197331829213006       0.5838493781550731    0.0036768609401232055        54226.87116969175    7.992254277834949e-14        54226.87116969175
                        7    0.0006247300161181434     7.97705374021071e-08    -0.004641147323983513        6.046494238349153     0.003135844925520986   -0.0019971951979011458    -5.02128458731161e-07      -13.402860648518303    -0.024693351736412707       0.7222364556774972      0.19757615565362435       0.2719740632991897       0.5838493077083279                      0.0        54106.67836528911   0.00021082437325983604        54106.67857611348
                        8    0.0006247300028169056    7.977053694339768e-08    -0.004641147172421649         6.04649423830719     0.003135844925489545   -0.0019971951980829765   -5.021284587500561e-07      -13.402860584793197    -0.024693351698688835       0.7222364554732044      0.19757615566642117       0.2719740632988396       0.5838493077083597                      0.0        54106.67573734101   0.00021082469774830293       54106.675948165706
                        9    0.0006247300097337653    7.977053715923544e-08    -0.004641147332891145        6.046494238310929    0.0031358449254697933   -0.0019971951980600577   -5.021284587602374e-07      -13.402860631954713    -0.024693351702149008       0.7222364556632017       0.1975761556596342       0.2719740632991588       0.5838493077083258                      0.0        54106.67824768565   0.00021082447719707574       54106.678458510134
                       10  -0.00030469090225878443   4.6221699782009955e-08    0.0005653132002833858        6.042369831944066     0.003131267652904492    -0.002014623892676457   -5.047679110220356e-07       -9.874714165796222    -0.020992107444260378       0.7134843440503531      0.19846159953721215       0.2719586402601811       0.5838503910181972                      0.0        2146.113372253912        4.419808034732263       2150.5331802886444
