                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1   0.00012277959037897165  -1.8914722721021142e-07    -0.002407285591585508        3.593952667418665     0.001790131719188654   -0.0012877045572110347    8.706874750336805e-07      -29.481164722853215     0.007572412093502104       0.6343635117558357      0.09516586774855251       0.6795818185364394      0.47986556876136605      0.26359688188736974                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0             9288772.551757459            -14720217193.06418             -8581830.00543541            137.56015241264197            -6101.741243215338            -797463.2822961867            -424126804.8458172           -444.83604106029884           -218296.16812943193             2427.885794657836           -59739.397886661216            459.68623681474594            -987.9101005914791            -6214.613156885849
                        2    0.0001227581911051349   -1.891472261637982e-07   -0.0024072657305263248        3.593952667404015    0.0017901317191927162    -0.001287704556615935    8.706874753501813e-07       -29.48116455892488      0.00757241260392802       0.6343635116215733      0.09516586782594832       0.6795818185353806      0.47986556876154957      0.26359688510792445           -0.1386672944620501          0.006780757710388804         0.0022879940178965885        -1.302227461666108e-11         9.026826354298202e-10        2.9754985367974607e-07        0.00015825037144213288         5.245706688583596e-10         1.134279813207955e-06        -4.296396127756452e-09        1.5479162396303533e-08       -2.3529326635222482e-11        1.6312876975158965e-11         7.156788248449983e-08             9287787.647945216           -14720422800.349684            -8581775.774238069            137.52527134772643            -6110.215031647986            -797473.8840262148           -424135056.83977205            -444.8345752937323           -218298.16125847094            2427.9246032029837           -59739.031891759194             459.6584480980206            -987.8630262795726            -6214.524904408038
                        3   0.00012278131910912205  -1.8914722520061437e-07   -0.0024072541687515116       3.5939526674558957    0.0017901317192895736    -0.001287704556074851    8.706874756704796e-07         -29.481164455229    0.0075724130325784305       0.6343635114934738      0.09516586787125181       0.6795818185357201       0.4798655687615299       0.2635968865594034          0.011202171374615107          0.013022188879892047          0.003619910476371224         3.309392266399098e-11        2.2426553284191382e-08         5.680917975620092e-07         0.0003183995260542139         8.563974915887229e-10        2.0868362805539743e-06        -8.395581119202689e-09         2.453985903372313e-08        -1.598474439232531e-11        1.4566126083082054e-11        1.0382296997432958e-07              9288850.77826487           -14720202029.339441            -8581745.824470844             137.5641739972448            -6101.570072839128            -797462.3153744555           -424126358.74114597           -444.83166605548934            -218293.7963725578             2427.852604139838           -59739.418389434024             459.6877889660556            -987.9135800618922            -6214.574281553495
                        4   0.00012277958994071035   -1.891472260181638e-07    -0.002407285594359088       3.5939526674268967    0.0017901317192763975    -0.001287704556549697    8.706874754225787e-07      -29.481164714994502     0.007572412175800876       0.6343635117532065      0.09516586782047776       0.6795818185361218       0.4798655687614627       0.2635968825077297       -2.8399332104717123e-06          0.007724468609609799         -3.19516413327392e-07         7.317011194471788e-12         1.949853280379542e-08         3.306688690224435e-07        0.00019444906559687425        2.5147880933218404e-11        1.8288615991994087e-07        -8.413536534135346e-11        1.4385048707765689e-08         -7.05855127433905e-12         8.590659048321767e-12        1.3785777457858076e-08             9288772.553929245           -14720217078.770243            -8581830.005448334            137.56015702032042             -6101.73420199669            -797463.2759643734            -424126800.8898106           -444.83604111623004           -218296.16827253476            2427.8858137170323             -59739.3978024004             459.6862350146292            -987.9100892369576            -6214.613150263763
                        5  -0.00016612340589907545   5.5148402365266376e-08   0.00022281526911350526       3.5956414096711606    0.0018081082284863385   -0.0011521692746135706    9.503852646085539e-07       -27.84479135817417      0.02451886572210838       0.6337989569781455      0.10990644014925943       0.6795167010197523      0.47988538214397236       0.3911074986327199           -1872.0914158817452            1583035.6796490964             302.9876191525263          0.001501104224440534            3.9947798439298623             67.76764129873204              39848.8947874367         0.0052363947669729445             37.65878584134728         -0.018065752886087694            2.9481144801413834        -0.0014470559263809097         0.0017611895650057915            2.8335692610077805            -5072071.304051187            11513482774.429071            451434.51658779883            -358.8264085523987            -554285.0284261813              584381.668607748             321619609.1259873            14.368367802633282             18755.20996184238            -317.8107358967155           -51870.968337484184           -325.12424557901875            -335.0310782847074            -638.6846047137665
                        6  -0.00016612340263158035    5.514840024944245e-08   0.00022281526531794287       3.5956414096951015     0.001808108228726216   -0.0011521692754950894    9.503852641018571e-07      -27.844791350523835      0.02451886567371863       0.6337989569790292      0.10990644016497725       0.6795167010205428       0.4798853821439647      0.39110749877995943           -1872.0913947083768            1583035.6659385574             302.9876187152775         0.0015011042457212889             3.994779897235987             67.76764085797264              39848.8945340883          0.005236394791454018            37.658785733814504         -0.018065752857808093            2.9481144832849466        -0.0014470559088122473         0.0017611895643248547            2.8335692642797707            -5072071.120346011             11513482523.94461             451434.4980868826           -358.82639796577917            -554285.0155715517             584381.6554155869            321619600.68990827            14.368366841413286            18755.209281547566           -317.81073024264543           -51870.968306771865           -325.12423683520876           -335.03107906490806            -638.6846125773925
                        7  -0.00016612340637429932    5.514840186643512e-08   0.00022281527070919672       3.5956414096766958    0.0018081082286211525    -0.001152169274709947    9.503852645907732e-07       -27.84479135336284       0.0245188657299358       0.6337989569890055       0.1099064402456113       0.6795167010198885       0.4798853821440586      0.39110749919373866           -1872.0914189611958            1583035.6764166697            302.98761933634995         0.0015011042293606477            3.9947798738885365             67.76764125054382             39848.89477854635          0.005236394782369201             37.65878585874155         -0.018065752538568347            2.9481144994117576        -0.0014470559233537017         0.0017611895726737318            2.8335692734748648           -5072071.3324674675            11513482718.445822             451434.5226890965            -358.8264103883898            -554285.0302040837             584381.6655877297             321619607.0476987            14.368368131383784             18755.21016471285           -317.81074157811975           -51870.968295212355            -325.1242454092734            -335.0310787967242            -638.6845982311315
                        8   -0.0001661234057156119    5.514840250995146e-08   0.00022281526912718572        3.595641409702028    0.0018081082289015888    -0.001152169274412981    9.503852648451049e-07      -27.844791354734156      0.02451886571327498       0.6337989570370517      0.10990644037226704       0.6795167010198404       0.4798853821441978      0.39110749966487823           -1872.0914146929015            1583035.6805866556            302.98761915410233         0.0015011042518781417            3.9947799362077068             67.76764139902681              39848.8949057122         0.0052363947779809905             37.65878582171751          -0.01806575100108887             2.948114524742906         -0.001447055924421983         0.0017611895850440835             2.833569283944633            -5072071.294536847             11513482790.54542             451434.5164572278           -358.82640786488884            -554285.0272658681             584381.6694320185            321619609.56993884            14.368367803923597            18755.209947586412           -317.81073862390946            -51870.96824386902            -325.1242450966882            -335.0310773411507             -638.684597919712
                        9  -0.00016612340671662607   5.5148402210845705e-08    0.0002228152649031423       3.5956414096825164    0.0018081082286447994   -0.0011521692745953224    9.503852647638896e-07      -27.844791358836478      0.02451886568848949       0.6337989571071296       0.1099064402901761       0.6795167010193778       0.4798853821441131       0.3911074980622109           -1872.0914211794732            1583035.6786484504             302.9876186674925          0.001501104234534583            3.9947798791433997             67.76764130785615             39848.89486510454           0.00523639476485356             37.65878576663864          -0.01806574875859468             2.948114508324717        -0.0014470559347026482         0.0017611895775143042            2.8335692483298036            -5072071.342262003            11513482751.826244             451434.5014662812           -358.82640936822213            -554285.0260385616             584381.6675068925             321619609.0778868            14.368366997720239            18755.209454914082            -317.8107235901793            -51870.96825683512             -325.124246213138            -335.0310760551101            -638.6846150476498
                       10   -8.601113454523784e-05   -4.170279819237531e-08    6.900793451680969e-05        3.608830126496391     0.001990528795890614   -0.0011238964089245302   1.0223804851909735e-06       -25.76308407323129     0.018819105073430365       0.6630863634117441      0.20978409078469654       0.6795742865193382       0.4799839904726562       0.8056916831910046           -1352.9638975088774             955439.9000355781              285.269014206987          0.013224408069089656             44.53268371154663             81.90407414325225             75846.50507864649           0.01189785807879016            24.992651066507246            0.9191312529890681            22.923644607228802        -0.0001673781578053695          0.010526374336904275            12.046551140080775           -1401299.6498351765             703187121.5577179             46915.12040535315           -107.51722581315533           -102656.80475486659            27453.010877653134              4997129.38041427            -1.416582059387851             3223.738343405245           -1408.0341448062043            -8739.888198348219            116.06557354725561            -83.43057926869734            1837.3929251519194
                       11   -8.601113390565947e-05  -4.1702798293616925e-08    6.900793426319789e-05       3.6088301265164513     0.001990528796093437   -0.0011238964089271173   1.0223804852463138e-06      -25.763084069086723     0.018819105064980746       0.6630863635149049       0.2097840910166986       0.6795742865190779       0.4799839904727529       0.8056916819640412           -1352.9638933644096             955439.8993795324             285.2690141777709           0.01322440808692112            44.532683756618404             81.90407414195867             75846.50510631662          0.011897858092052776            24.992651047730313            0.9191312562902141            22.923644653629214       -0.00016737816358839788          0.010526374345499868            12.046551112814921           -1401299.6197110785             703187112.4324236             46915.11754333219           -107.51722432248931           -102656.80370365163             27453.01044622839             4997129.189648779           -1.4165821928710305             3223.738273774303           -1408.0341374319148            -8739.888105383636            116.06557500679024             -83.4305791098919             1837.392915379945
                       12   -8.601113499499444e-05   -4.170279816425805e-08    6.900793640558919e-05        3.608830126478148    0.0019905287956344135   -0.0011238964089559493    1.022380485085672e-06      -25.763084073219794      0.01881910508692658       0.6630863634395543      0.20978409076844584       0.6795742865185624       0.4799839904725135       0.8056916809681374           -1352.9639004233002             955439.9002177779             285.2690144245744          0.013224408052873886            44.532683654613194              81.9040741275427             75846.50502599576           0.01189785807882695            24.992651096498832            0.9191312538789944            22.923644603978662       -0.00016737817504343234          0.010526374324218126            12.046551090683725           -1401299.6735313758             703187121.4889774             46915.12326268308           -107.51722697201909            -102656.8055265193            27453.010859435708             4997129.365216853           -1.4165819276376066             3223.738414862099           -1408.0341359924992            -8739.888202390448            116.06557287218193            -83.43057926676602            1837.3929119970003
                       13   -8.601113452385675e-05    -4.17027981548274e-08    6.900793482717731e-05       3.6088301265019735    0.0019905287959435403   -0.0011238964089008076    1.022380485214038e-06       -25.76308407164398      0.01881910507060431       0.6630863634204276       0.2097840907929854       0.6795742865188668      0.47998399047267903       0.8056916832198642            -1352.963897370328             955439.9002788885             285.2690142427413          0.013224408074052008            44.532683723308054             81.90407415511352             75846.50509017873          0.011897858083869551             24.99265106022712              0.91913125326694            22.923644608886576       -0.00016737816828094054          0.010526374338932281            12.046551140722098           -1401299.6486440299             703187125.8960711            46915.121298941085           -107.51722572896395           -102656.80473487703             27453.01109556356             4997129.477689321            -1.416582014292031            3223.7383635792758           -1408.0341451505083            -8739.888195252348            116.06557353897817            -83.43057921323323             1837.392925809667
                       14   -5.205276913475474e-05   -4.711769096510166e-08   0.00019395139331602985       3.6099605578254432    0.0019968455530146034   -0.0011246115235962685    1.022311031310712e-06      -25.242675949679043      0.01870362208760009       0.6757360628161129      0.23209913370940366       0.6794628909140665      0.47998544049004166       0.5362575159322427            -1132.913689648947             920351.3948683114            299.66250066065714          0.014229235917136169             45.93640751687763             81.54651680738307             75811.77813851576          0.013563164074157351            24.736022209106636            1.3239216339288689            27.386653192170225        -0.0026428360527303634          0.010655264771165641             6.059125200997176             56680.48633469878            171431434.34528628             2332.492112871864            -32.53308128837184            -53772.41525282342            3104.8724381970183            -5561926.725590295           -3.3768081023254504            2281.0095528772745            -155.3441454945747            232.48002318176313            211.28580178282186            -76.29128900042903             24.11389044005549
                       15   -5.208042353821373e-05  -4.7117693545991783e-08   0.00019395025008842916        3.609960558559225    0.0019968455605948177    -0.001124611524086965   1.0223110321897232e-06       -25.24267568613667     0.018703620958054595       0.6757360646354413      0.23209913364561666       0.6794628908110055      0.47998544049304315       0.5362575132857303           -1133.0928901833613             920351.3781441434            299.66236896083757          0.014229236569386768            45.936409201369685             81.54651656203484             75811.77857802135          0.013563164917492942            24.736019699005535            1.3239216921473798            27.386653179412825         -0.002642838342974901           0.01065526503796457             6.059125142185791             55304.59069138497            171259105.48757723            2342.4039246745238            -32.59481440888864            -53799.10196704372            3096.4313373845175            -5564310.618518516           -3.3764683307804795            2281.3056729072814            -155.3240528598829            232.76851339004287             211.2481722795862            -76.27649767394402            24.123844796448655
