                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1  -0.00012461969755408122    7.429207372279954e-07     0.003676525678295418        4.642728972828458     0.005941759816042851   -0.0001277706525595546    7.407940300781895e-07       -12.92933403169554     -0.02023805807679862       0.7889826396543574      0.34353026493931077      0.41652748923195815      0.41349418326206117      0.33956432101908934        55335.76402601904                      0.0        55335.76402601904
                        2  -0.00012461727755958848    7.429207291815823e-07     0.003676500495654031        4.642728972773373     0.005941759815886125  -0.00012777065616128956     7.40794028941012e-07       -12.92933420132843     -0.02023805840297721       0.7889826398072866       0.3435302648699156      0.41652748923640115      0.41349418326187154      0.33956431741710436        55335.53803124227    5.550310085884073e-11        55335.53803124233
                        3  -0.00012466581039985528    7.429206845125358e-07    0.0036763774298977183         4.64272897237759     0.005941759814917572  -0.00012777067593701792    7.407940229559475e-07      -12.929335020177096    -0.020238059914675924       0.7889826405118063       0.3435302644981739      0.41652748925954136       0.4134941832608837       0.3395642997802675        55334.48498467795    8.155446875472169e-09         55334.4849846861
                        4   -9.474956247292881e-05    7.418309488472606e-07    0.0003462868489128609        4.642721079757068     0.005941738115926249  -0.00012825741066242272    7.406415895077716e-07      -12.951718145539207     -0.02028079735956692       0.7890026576290055      0.34352093110963683       0.4165280836547262      0.41349415789434085       0.3390878177526151        40501.37584869641        0.641712353281819        40502.01756104969
                        5   -9.474956237966563e-05    7.418309412904804e-07     0.000346286847886978        4.642721079751011    0.0059417381159699535  -0.00012825741419008623    7.406415884504084e-07      -12.951718145241559     -0.02028079735759771        0.789002657540915        0.343520931051986       0.4165280836589465       0.4134941578941969       0.3390878184128798         40501.3751291273       0.6417123537405994        40502.01684148104
                        6   -9.474956879239124e-05    7.418309472285778e-07    0.0003462868479470072        4.642721079570019    0.0059417381153791665  -0.00012825741103011812    7.406415898422338e-07      -12.951718149299642     -0.02028079736645249       0.7890026575350755       0.3435209310412559      0.41652808365483224       0.4134941578942811       0.3390878183330628        40501.37569606627       0.6417123524355205        40502.01740841871
                        7  -0.00040449629024418975   3.6084002921769154e-08   0.00021299695415454793        4.632824237541713     0.005917867284431324   -0.0004382270426473285    6.700707458764548e-07       -13.11602555155298     -0.02046396842808737       0.7770050435640221       0.3353220544334116      0.41688214605307305       0.4134792613805525      0.42280540413832846        5637.542923599119        2.675116184151919        5640.218039783271
                        8  -0.00040449628638494176    3.608400120177897e-08   0.00021299695241755933        4.632824237571667     0.005917867284430426  -0.00043822704321491826    6.700707457487002e-07      -13.116025549805176    -0.020463968423176753       0.7770050434726978       0.3353220543436707        0.416882146054813       0.4134792613803931      0.42280540460045035        5637.542849472989       2.6751161868499445        5640.217965659838
                        9   -0.0004044962901077981   3.6084003105686265e-08   0.00021299695435447958        4.632824237518532    0.0059178672843807935    -0.000438227042576358    6.700707459243101e-07      -13.116025551660979    -0.020463968427840862       0.7770050435003284      0.33532205436081186      0.41688214605276197       0.4134792613804494       0.4228054044533289        5637.542919932088       2.6751161836963764        5640.218036115784
                       10   -3.471206104397508e-05  -2.6317426602305826e-08   0.00015591990359883987        4.625550546979431     0.005896648575558737  -0.00045451784052378326     6.79745593316251e-07      -13.019600490667745     -0.01996291155131164       0.7429506403718691       0.2976689218306927      0.41689292798309074      0.41342318764413816       0.5920714489468581       1812.4984887675894        3.638070451373836       1816.1365592189632
                       11   -3.471206141713581e-05  -2.6317427487511583e-08   0.00015591989890188524        4.625550546915251     0.005896648575426419  -0.00045451784088435394    6.797455933033473e-07      -13.019600496790593     -0.01996291155664312        0.742950640255394       0.2976689213409382      0.41689292798313804      0.41342318764386365       0.5920714490452683        1812.498464797656       3.6380704627499014        1816.136535260406
                       12   -3.471206184251467e-05  -2.6317426873054825e-08   0.00015591990982763123        4.625550546957234     0.005896648575522152  -0.00045451784065537933    6.797455933036782e-07      -13.019600482363405    -0.019962911540056236       0.7429506403419994      0.29766892157005626       0.4168929279831296       0.4134231876441051       0.5920714491575971       1812.4984801165203       3.6380704533761747       1816.1365505698966
                       13  -0.00011094329003533756  -1.2339135550353042e-07    3.630951894456353e-05        4.618379958994936     0.005882338737083346   -0.0004951584473161084     6.77885513193669e-07      -13.165996858704917    -0.019882762371409363       0.7304746199758876      0.23824277629310522        0.416899376446644      0.41339570430299394       0.6121828211216824        474.2604696391331        5.220206952357107        479.4806765914902
                       14  -0.00011091846004871752  -1.2339133737355146e-07    3.630174170421918e-05         4.61837995855751     0.005882338736731879   -0.0004951584411642075    6.778855148224236e-07      -13.165996933890757    -0.019882762372953482       0.7304746228558787       0.2382427757738388       0.4168993764593957       0.4133957043050456       0.6121827903184869       474.25768411423434       5.2202121323204675        479.4778962465548
                       15  -0.00011094332549191432  -1.2339133543123693e-07   3.6300902501195265e-05       4.6183799584670755     0.005882338736653203   -0.0004951584405133532    6.778855150025743e-07      -13.165996942268288     -0.01988276237240416       0.7304746232388042      0.23824277571848937       0.4168993764601522       0.4133957043053913       0.6121827866537544       474.26013044397604        5.220210245820684        479.4803406897967
                       16  -0.00011094329646598109   -1.233913331647898e-07    3.630956452396316e-05        4.618379958437613     0.005882338736681772   -0.0004951584397140269    6.778855152251216e-07      -13.165996893711107     -0.01988276229386698       0.7304746235287658      0.23824277565718013      0.41689937646165093       0.4133957043057928       0.6121827845864667        474.2603941186059        5.220206591317026       479.48060070992295
                       17  -0.00011094317591673402    -1.23391357203541e-07    3.630953510982537e-05        4.618379958221179     0.005882338735961555   -0.0004951584493476552    6.778855130762859e-07      -13.165996887445386     -0.01988276231580423       0.7304746209698194      0.23824277577934283      0.41689937647014724      0.41339570430326933       0.6121828069045128        474.2604526217052        5.220206888536753         479.480659510242
                       18   -0.0001155855683464316   -9.454554828916218e-08    7.995230729042216e-05        4.617652058764357     0.005881808506120741   -0.0004853565802156819    6.805090526455472e-07      -13.211607886674178    -0.019782141289040364       0.7350752239443608      0.23741596534402942      0.41691900221001843      0.41339932311466915       0.5648317888985863       425.32538658879344        4.787986926368889        430.1133735151623
                       19  -0.00011558556834375108   -9.454554852857774e-08     7.99523071186416e-05        4.617652058055148     0.005881808505037254  -0.00048535658221687757     6.80509052318799e-07       -13.21160789081525    -0.019782141271687665       0.7350752245053536      0.23741596478511723       0.4169190022321028      0.41339932311489513       0.5648317874784743         425.325384118501        4.787986931943861       430.11337105044487
                       20  -0.00011558556839056888   -9.454554823879188e-08    7.995230826903172e-05        4.617652058074392     0.005881808505157614  -0.00048535658142046445    6.805090526062108e-07      -13.211607871678435    -0.019782141202276945       0.7350752241454981       0.2374159652933783       0.4169190022337884      0.41339932311573546       0.5648317889188252       425.32538631430816        4.787986926836163        430.1133732411443
                       21  -0.00011653312264940583    -9.67917546073328e-08    9.937971694816503e-05        4.592265083801952    0.0058450543173486635   -0.0005404253974018921    6.750307750572136e-07      -12.935153109435197     -0.01760098914531958        0.747463277714697      0.22841656214454403      0.41776054443719973       0.4134263079436461        0.545290396057613        404.8553168738142        4.898362469197502        409.7536793430117
                       22  -0.00011653312267190301   -9.679175461728269e-08    9.937971675323459e-05        4.592265082978531     0.005845054316190729   -0.0005404253983107934      6.7503077500917e-07      -12.935153116118272    -0.017600989154721226       0.7474632779523767      0.22841656216011882       0.4177605444594582       0.4134263079443209       0.5452903958399178       404.85531673239774        4.898362467857762        409.7536792002555
                       23   -0.0001165331226622268   -9.679175452476043e-08    9.937971718727628e-05        4.592265082083937     0.005845054314976686   -0.0005404253990864062    6.750307750963177e-07      -12.935153111500647    -0.017600989109277782       0.7474632779079751      0.22841656215071726       0.4177605444857295       0.4134263079453104        0.545290396115707        404.8553166986949        4.898362469202543        409.7536791678974
                       24  -0.00011653312235875002   -9.679175402951361e-08    9.937971747353731e-05       4.5922650730026735     0.005845054301878925   -0.0005404254075020516    6.750307753882592e-07       -12.93515314185791    -0.017600989020184282       0.7474632782564954      0.22841656211700329       0.4177605447401606         0.41342630795226       0.5452903968869407       404.85531579690314        4.898362473189859         409.753678270093
