                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1    0.0009267046085166894     5.14367675540069e-07     0.004408319893845921        2.819491479376298     0.007499245397094243  -0.00013763397512435915   -2.219689935799984e-06       -66.57747296354941    -0.003900491181671419      0.44044912718010176      0.34731648808643084       0.5927445563829671       0.4072608369709598     0.062307570507912996        54965.32166325923                      0.0        54965.32166325923
                        2    0.0009266785504230454    5.143676745399419e-07    0.0044083168519628005       2.8194914793013583    0.0074992453970034794   -0.0001376339755294379   -2.219689935866659e-06       -66.57747298003517    -0.003900491198236262       0.4404491271735784      0.34731648807512344       0.5927445563827072      0.40726083697086035      0.06230756990840014        54963.91197203937    2.200571535609279e-09        54963.91197204157
                        3    0.0009267046884414192    5.143676747603227e-07      0.00440831788609956        2.819491479348496     0.007499245396957682  -0.00013763397555842217  -2.2196899359335046e-06       -66.57747298053694    -0.003900491214015107      0.44044912717637974      0.34731648807087345       0.5927445563831665       0.4072608369709845      0.06230757077832649       54965.313449322864   2.5288970102685666e-13       54965.313449322864
                        4  -0.00019037315898766426    5.137120747148126e-07    0.0026991057661836723        2.819466325745847     0.007499134398766591  -0.00013799206400531527  -2.2197974635756424e-06       -66.59151580350465    -0.003926557218283143      0.44044591880964434      0.34730379908008435       0.5927447007064146       0.4072608517596518      0.06249208968622533       20205.075526230776        4.211351552457245       20209.286877783234
                        5  -0.00019034732713133341    5.137120567584142e-07     0.002699102579851357        2.819466325673327      0.00749913439810875  -0.00013799207238427571   -2.219797466285178e-06       -66.59151581346453    -0.003926557284256464      0.44044591822656676      0.34730379881449003       0.5927447007157092       0.4072608517590877     0.062492093225994694       20205.006771994926         4.21116519398405        20209.21793718891
                        6  -0.00019037312327541166    5.137120561894813e-07     0.002699102194070112        2.819466325617395     0.007499134398008618  -0.00013799207260927209  -2.2197974662865244e-06       -66.59151581591665    -0.003926557287887003       0.4404459182196341       0.3473037988093136       0.5927447007151594       0.4072608517590878      0.06249209333940353         20205.0731736693        4.211351997404115       20209.284525666706
                        7  -0.00019037316107627545    5.137120403146536e-07    0.0026991057578196007        2.819466325541442    0.0074991343974754225  -0.00013799207994351847  -2.2197974685747225e-06       -66.59151577991254    -0.003926557258323515      0.44044591765042895      0.34730379858294147       0.5927447007225475       0.4072608517586447      0.06249209752663276       20205.073435271122       4.2113515694069905        20209.28478684053
                        8  -0.00019037286264579807    5.137120745756759e-07    0.0026991057693478244       2.8194663256997994     0.007499134398495033  -0.00013799206370675214   -2.219797462910963e-06       -66.59151579197807    -0.003926557217893039       0.4404459184017959      0.34730379881013107       0.5927447007051247       0.4072608517592418       0.0624920918646783       20205.074738398773        4.211349406724952       20209.286087805496
                        9  -0.00016885036226172866    7.228300274450394e-09    0.0023229812238790173        2.816455377555217     0.007480118500812864   -0.0003726547099550619  -2.2933984679750476e-06       -66.24588590235135    -0.004519491707338967       0.4233788371072813       0.3399826533192701       0.5929822294405532       0.4072460200536072       0.1778990274328658       3494.7122774137324        5.146872705759423        3499.859150119492
                       10   -0.0001688503610428586    7.228298871596545e-09     0.002322981223163388       2.8164553776713235    0.0074801185008408055    -0.000372654710505039   -2.293398468128116e-06       -66.24588589102996    -0.004519491715246411       0.4233788368416489       0.3399826527511567       0.5929822294421957      0.40724602005351784       0.1778990298546459       3494.7122362814725        5.146872709180442        3499.859108990653
                       11   -0.0001688503617919304    7.228301330914355e-09     0.002322981220999728        2.816455377670711     0.007480118500853812   -0.0003726547094225095    -2.29339846787078e-06       -66.24588590832407    -0.004519491756615613       0.4233788373045808       0.3399826527415487       0.5929822294418217       0.4072460200539479      0.17789902712965233       3494.7122538933804        5.146872699599395         3499.85912659298
                       12  -0.00016885036278370652    7.228300685669855e-09    0.0023229812285916122        2.816455377659148     0.007480118500922298    -0.000372654709689089  -2.2933984679094487e-06       -66.24588586594874    -0.004519491682804075      0.42337883738346394      0.33998265308793374       0.5929822294418352      0.40724602005423416       0.1778990279604038       3494.7122704375856        5.146872708495563       3499.8591431460814
                       13     -5.3790959365808e-05  -3.1104717940806766e-08      0.00229647551686496       2.8392731871315755     0.007490464785185033   -0.0003750712728514493  -2.2973077203796767e-06       -63.88680800634945    -0.007246180393903498        0.425354231399111       0.2406753577671297       0.5932724943153935       0.4072897350046297      0.40094085707148874        731.1903233285125        6.790587756260632        737.9809110847731
                       14   -5.379096010322702e-05    -3.11047182615432e-08    0.0022964755150540945       2.8392731871358583     0.007490464785103414   -0.0003750712729715926  -2.2973077204108047e-06      -63.886808008245374    -0.007246180426026289       0.4253542317544192      0.24067535762555925       0.5932724943168349       0.4072897350050622      0.40094085603554497        731.1903192146001       6.7905877578105365        737.9809069724106
                       15  -5.3790959693654906e-05   -3.110471797293324e-08      0.00229647551785248        2.839273187211517     0.007490464785242074   -0.0003750712728005802  -2.2973077203586914e-06       -63.88680798532753    -0.007246180394789388      0.42535423173560183      0.24067535770804493       0.5932724943175216       0.4072897350052729       0.4009408572415971        731.1903222600495        6.790587760776742        737.9809100208262
                       16   -5.379095932711738e-05   -3.110471787770302e-08      0.00229647551643772       2.8392731872353463     0.007490464785234125  -0.00037507127275629177   -2.297307720355762e-06       -63.88680799307648    -0.007246180418821561       0.4253542317358687       0.2406753577459206       0.5932724943180856      0.40728973500528204       0.4009408571818218        731.1903228660491        6.790587757304742        737.9809106233538
                       17  -5.3790959157850866e-05  -3.1104718228745875e-08     0.002296475515155361        2.839273187461341     0.007490464785306012   -0.0003750712727777531  -2.2973077203651877e-06       -63.88680796251167    -0.007246180473813594       0.4253542322894672       0.2406753577984227       0.5932724943234308       0.4072897350065515      0.40094085796903656        731.1903220702387       6.7905877629976725        737.9809098332364
                       18  -5.3790959429436355e-05  -3.1104717917663285e-08     0.002296475516348456       2.8392731871976213    0.0074904647851748475  -0.00037507127280466616  -2.2973077203641023e-06      -63.886807997386576   -0.0072461804128996134      0.42535423140044104      0.24067535776909102       0.5932724943152117      0.40728973500486165       0.4009408573602391        731.1903231908295        6.790587759052608        737.9809109498822
                       19   -8.940218902074245e-05    -5.99258221340162e-08    0.0019383988181933872        2.910695778560645     0.007511870778232965   -0.0003420397951246794   -2.288311656784251e-06       -53.87798957102642    -0.025096280789588806       0.6264256197454372      0.22932838433830816       0.5948431507921804      0.40772271061074455       0.5256600171206101        437.2655204245834         9.86883519945214       447.13435562403555
                       20   -8.939819443126512e-05   -5.992579324343718e-08    0.0019383841905202901       2.9106957945925283      0.00751187077650485  -0.00034203977685451435   -2.288311651551406e-06      -53.877985891715355      -0.0250962849348564       0.6264256583413723       0.2293283849687858       0.5948431505968369       0.4077227106689551        0.525659768223484       437.26538401061237        9.868810948226969        447.1341949588393
                       21   -8.944289045556195e-05    -5.99253895182113e-08     0.001938199717852594        2.910696019216515     0.007511870752549361   -0.0003420395211820801   -2.288311578227004e-06      -53.877934198674325    -0.025096342788070217       0.6264261991866082      0.22932839384863657       0.5948431478565459       0.4077227114853796       0.5256562844999504       437.26307044782834        9.869128191059072        447.1321986388874
                       22   -8.940221195581817e-05   -5.992572070476145e-08     0.001938399201851244       2.9106958357846406     0.007511870773285172   -0.0003420397304052949  -2.2883116380806683e-06       -53.87797616700305    -0.025096294909042416       0.6264257564366984       0.2293283866411464        0.594843150097969       0.4077227108184572       0.5256591439874754        437.2651444398674        9.868827839696774        447.1339722795642
                       23   -8.940274033473322e-05   -5.992585685476025e-08    0.0019383986552200102        2.910695800290261     0.007511870771420849   -0.0003420398041686182  -2.2883116590914103e-06        -53.8779841161251     -0.02509628657964934        0.626425647545211       0.2293283850712215       0.5948431505128129      0.40772271068597465       0.5256599802134021         437.265468004496        9.868839270353169       447.13430727484916
                       24   -9.233309320931342e-05   -5.468599859906925e-08    0.0019538661111120183        2.913788655337484     0.007511586926406126  -0.00033865304842517285  -2.2873319024209733e-06      -53.152334199406326    -0.025860890856999247       0.6337338906810752      0.22945237705634175        0.594805577186172       0.4077339251376062       0.4794424377708033       427.38879563492543        9.520503701326087       436.90929933625154
                       25   -9.233309321780142e-05   -5.468599889538361e-08    0.0019538661113077766        2.913788661002993    0.0075115869241954795   -0.0003386530528806825  -2.2873319060149717e-06       -53.15233416175482     -0.02586089093436772       0.6337338913837736      0.22945237718569447       0.5948055770059495       0.4077339251859154      0.47944243755820715       427.38879467530023        9.520503708170944        436.9092983834712
                       26   -9.233309312839616e-05   -5.468599899436661e-08     0.001953866110242401        2.913788677856793     0.007511586914095627   -0.0003386530510028683   -2.287331905358817e-06       -53.15233409874871    -0.025860891241645506       0.6337338931234793       0.2294523764082485       0.5948055762929901       0.4077339253351129       0.4794424388911107       427.38879247070474        9.520503768539113        436.9092962392439
                       27   -9.233309303285887e-05   -5.468599857055685e-08    0.0019538661073564612        2.913788695019221     0.007511586895247829   -0.0003386530385717146  -2.2873318959596658e-06       -53.15233408054658    -0.025860891669386384       0.6337338947173234      0.22945237742880248       0.5948055752695465       0.4077339255107101      0.47944244244646406        427.3887902243828        9.520503807355304       436.90929403173806
