                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1   0.00012794402321238731    1.710819721580983e-07    -0.003068038569774819      0.26550264891518705     0.003003161557767277    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1243845642027508       0.3325571260119913      0.44597412845879525       0.4136953376776641       0.6187851580960042                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            11297015.197635878             37485937955.68757            -7187549.867164248                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0             7220.325884872798             18762.21796863693            -76.36686198607148            123.90768274621455            -17498.25480724028
                        2   0.00012791976203870335   1.7108196967404835e-07   -0.0030680230430939785      0.26550264891518705    0.0030031615577672775    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1243845638305427       0.3325571259893321      0.44597412845895923      0.41369533767764266       0.6187851665490696          -0.15721240547212148         -0.016096643709407398          0.001788673632807658                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0       -1.1910657349289977e-08        -4.531830466447672e-09         3.643998683047458e-12       -1.9046492778013796e-12        1.8784589686207355e-07            11296246.728390248             37485492547.32821            -7187508.589441992                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0             7220.306927709517            18762.970088480386              -76.397738527059            123.93561822019862            -17498.13867516286
                        3   0.00012794503095449404   1.7108196947076235e-07    -0.003068019865155406      0.26550264891518705    0.0030031615577672775    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264        1.124384563731143       0.3325571259639152      0.44597412846033807      0.41369533767753897       0.6187851681280252          0.006530168851557987         -0.017413936999236913          0.002154772156354179                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0        -1.509145164391157e-08        -9.615219731529122e-09         3.428492058156331e-11       -1.1121967544467124e-11        2.2293379981558954e-07            11297045.540903201            37485962411.963615            -7187502.512230255                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0             7220.285927301025            18762.219458136085             -76.3656500907389            123.91004389132381           -17498.143387999018
                        4    0.0001279440243871867   1.7108197004526033e-07    -0.003068038569750625      0.26550264891518705    0.0030031615577672775    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1243845641267562       0.3325571259708881       0.4459741284599367       0.4136953376774908       0.6187851581959221         7.612699982114529e-06         -0.013691190096011174        2.7871205343643624e-09                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0       -2.4318254077115853e-09        -8.220635283606724e-09        2.5366128950407883e-11       -1.5404961257243284e-11        2.2203967060047742e-09            11297015.196760263             37485937799.43462           -7187549.8671807265                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0             7220.325884767738             18762.21799939429            -76.36685765709531            123.90767869672443           -17498.254806975212
                        5    0.0001279444199554619     1.71081969919866e-07    -0.003068038572690663      0.26550264891518705    0.0030031615577672775    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264        1.124384564045392       0.3325571259183503      0.44597412845922746      0.41369533767744937        0.618785158272253         0.0025708951233507915         -0.014503745380299119       -3.3590525361226753e-07                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0        -5.035481365212036e-09       -1.8728196771178315e-08         9.604662744146076e-12        -1.908596737444491e-11         3.916639851948073e-09            11297027.705071434             37485945129.69769           -7187549.9051397955                           0.0         9.637352644315595e-14                           0.0                           0.0                           0.0                           0.0             7220.325667103696            18762.206143040592            -76.36635500826438            123.90726867449236           -17498.255195532114
                        6   3.0666546544620224e-05  -2.7301140942730436e-07   -0.0002376613685937043      0.26550264891518705     0.003003161557767276    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1083541831819685       0.3239180502449307       0.4462140338860099       0.4136589291385811       0.6412860753613661            -630.3580488071308           -2877725.1126734097             326.0594535760644                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0           -0.5129721926650319           -1.7278151534121153          0.005331231715880827        -0.0032363145851545105            0.5000203836747078            120458.07571314229           -1675822483.0664046             98915.20718862546                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0             134.9497828883649             40479.18071772434             349.6665268345502            27.196511496766398           -211.72760462937677
                        7    3.064450626239046e-05   -2.730113999659544e-07   -0.0002376795737309128      0.26550264891518705     0.003003161557767276    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264        1.108354182589269       0.3239180460798411       0.4462140338220476      0.41365892913817986       0.6412860840756176            -630.5008698359796           -2877725.0513638617              326.057356344258                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0           -0.5129722116314142           -1.7278159864300366           0.00533123029449683        -0.0032363146208198084            0.5000205773247421            119723.29199173416           -1676197490.8303277             98874.09006944534                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0             135.0343657880038            40479.833480344234            349.64378015218034            27.239499939012898           -211.81743135569803
                        8    3.066804836300128e-05  -2.7301139367291294e-07   -0.0002376884917326223      0.26550264891518705     0.003003161557767276    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1083541821295777       0.3239180435465653      0.44621403378456787      0.41365892913776375       0.6412860903505901            -630.3483170240215           -2877725.0105849532            326.05632899046105                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0           -0.5129722263415388            -1.727816493085199          0.005331229461613685         -0.003236314657807505            0.5000207167685764            120515.54555983614           -1675796412.2321007             98845.58962091243                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0            135.01615766767443             40479.07007761766             349.6682787445045            27.185264363599245            -211.8894534243347
                        9    3.066653666922354e-05   -2.730113983665186e-07  -0.00023766141364688596      0.26550264891518705     0.003003161557767276    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264        1.108354181991312       0.3239180455554018       0.4462140338148245      0.41365892913817803       0.6412860957197282            -630.3581127997013            -2877725.040999518            326.05944838593786                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0           -0.5129722307660387           -1.7278160913178906          0.005331230133983252        -0.0032363146209826413            0.5000208360827546            120458.07690598232            -1675821504.979516             98915.20834661808                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0            134.94977658935704             40479.17857385204            349.66650013010906             27.19656357254306           -211.72747936438228
                       10   3.0664360670118517e-05  -2.7301143103790857e-07  -0.00023766137432826946      0.26550264891518705     0.003003161557767276    -0.005204374714673936   1.8579700282816033e-07       -46.31951560095781     0.023337596051244264       1.1083541801582886       0.3239180395787544        0.446214033738449      0.41365892913032126       0.6412860835090077            -630.3722132739018            -2877725.252710125             326.0594529154425                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0            -0.512972289422791           -1.7278172866473704         0.0053312284367495405        -0.0032363153193622667            0.5000205647334116            120384.70232909417           -1675861204.6522982             98915.75692748255                           0.0       -2.8912057932946783e-13                           0.0                           0.0                           0.0                           0.0             134.9534719049222             40479.24575292146            349.66427395393754            27.201228188968297            -211.7257458581547
