                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1   -0.0006940435279995321  -1.4462856313965704e-07     0.001599138750553962        3.621807789644859     0.010581657051880022    6.158590639587336e-05   -3.353684555432267e-07        -68.5002837433781    -0.018958955701072783       1.1443605175726594      0.23752422845734594       0.8936843591924798       0.4741719775006701      0.43408570126490975       10014.752330289055                      0.0       10014.752330289055
                        2    -0.000694016847437449   -1.446285629223396e-07    0.0015991412404513998        3.621807789703823     0.010581657051961228    6.158590650131654e-05   -3.353684555221093e-07       -68.50028372695178    -0.018958955679455238         1.14436051752553      0.23752422845233373       0.8936843591925002       0.4741719775006512       0.4340857020659019       10014.021422147884    2.306758858167227e-09        10014.02142215019
                        3   -0.0006940435771912479  -1.4462856307705418e-07    0.0015991404910972295        3.621807789655661     0.010581657051878449    6.158590642665651e-05   -3.353684555379796e-07       -68.50028373366247     -0.01895895569441653       1.1443605175247413      0.23752422845663335       0.8936843591916426       0.4741719775006716         0.43408570220328       10014.749257630625   1.8234894037673633e-13       10014.749257630625
                        4  -0.00011527084265562074   -1.445994772980537e-07     0.002328219052150327        3.621813289377993     0.010581658262577068     6.16001767505194e-05   -3.353659526827783e-07       -68.49615740961632      -0.0189558965119918       1.1443409254166357      0.23752384050411446       0.8936840357955204       0.4741719776570541       0.4344666370661656       1083.5769408985432       1.1159475457389074        1084.692888444282
                        5  -0.00011524424609434512  -1.4459947566042265e-07     0.002328215916821109        3.621813289462526     0.010581658262556906    6.160017735967377e-05   -3.353659525935272e-07       -68.49615741496179     -0.01895589654915753       1.1443409245868392      0.23752384043341573       0.8936840357732054       0.4741719776566257      0.43446664975332183       1083.5520750100063       1.1160470337963064       1084.6681220438027
                        6  -0.00011527073727923202  -1.4459947590884768e-07     0.002328215115707734        3.621813289423898     0.010581658262520902    6.160017726453151e-05  -3.3536595260712923e-07       -68.49615741923033    -0.018955896553235665       1.1443409245895708      0.23752384043819252       0.8936840357718869       0.4741719776566571      0.43446664993100104       1083.5763899336519        1.115947610435672       1084.6923375440874
                        7  -0.00011527084307656841   -1.445994759506892e-07    0.0023282190382371147       3.6218132894572803     0.010581658262567321    6.160017728331725e-05   -3.353659525989211e-07       -68.49615739686166    -0.018955896530674927       1.1443409245344072      0.23752384044139582       0.8936840357709065       0.4741719776567023       0.4344666513452813        1083.576908093363       1.1159475431133303       1084.6928556364765
                        8  -0.00011527036727771724  -1.4459947793501529e-07    0.0023282190638741537        3.621813289427614     0.010581658262484306    6.160017652165345e-05   -3.353659527319948e-07         -68.496157395415    -0.018955896534026066       1.1443409248450487      0.23752384042296906        0.893684035767049       0.4741719776563073       0.4344666415868712       1083.5764953330613        1.115949329642507       1084.6924446627038
                        9  -0.00010012826734560616  -1.1494494280973208e-07     0.001964760523608852        3.623557921182687     0.010581442976620822    7.332617799027287e-05  -3.3352048669522866e-07       -68.21575117830072     -0.01936744803548815        1.124924066455503      0.23614332453064762       0.8931422920353642      0.47416423391377516        0.748721310303547        710.4229056378296        2.259957963198498        712.6828636010281
                       10  -0.00010015441689688364  -1.1494496522234965e-07     0.001964762225957529        3.623557921745019     0.010581442974928546    7.332616957731151e-05   -3.335204882874337e-07       -68.21575095503695    -0.019367448356958448        1.124924060504988       0.2361433233099527       0.8931422916002906      0.47416423390137985       0.7487213163569368        710.4218195778257       2.2598574412169103        712.6816770190426
                       11  -0.00010012836560564331  -1.1494496588768535e-07    0.0019647633152706945        3.623557921812724     0.010581442974899708    7.332616932827755e-05   -3.335204883408956e-07       -68.21575093988697    -0.019367448364762688       1.1249240602350237       0.2361433232534693        0.893142291582993      0.47416423390083373       0.7487213168222802        710.4228558648483        2.259957748453119        712.6828136133014
                       12   -0.0001001282390751555   -1.149450274850006e-07     0.001964760389857918        3.623557923412079     0.010581442970130982    7.332614610504525e-05  -3.3352049277130897e-07       -68.21575035819365     -0.01936744931168586        1.124924043591489        0.236143319807846       0.8931422903684846       0.4741642338659162       0.7487213319350801        710.4227691266877        2.259958218585423        712.6827273452732
