                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1   -7.280675408161392e-05  -1.1147005698195813e-07     -0.00704217870810553        3.008372285384233     0.008184004989353361    0.0036728108128614326   -6.423023898361642e-06      -24.849765231917477      0.05238504023815536       0.5777151873625002       0.2233811521357809      0.16532407676847288       0.3392602032328839      0.20734971233183552                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0             7541892.999558746            3710484355.2976627            -18987712.91332629             1497.975023876116             833407.6332914482            358139.03032950376            176080338.38866356            -796.8111667896351           -197060.33903296173             13793.95083450115             10047.40904279032            -622.1152556473415            2131.8500533834417           -17104.084546241993
                        2   -7.281772534269008e-05  -1.1147005714852916e-07   -0.0070421507001811766       3.0083722852834853     0.008184004989003039     0.003672810812692657  -6.4230238984446205e-06      -24.849765046483913      0.05238504055559525        0.577715186880781      0.22338115212756057      0.16532407676937777      0.33926020323263384       0.2073497179293513           -0.0710937717735081        -0.0010793802584975493          0.003226512885468047        -8.955364844748853e-11        -7.784937817846405e-08        -8.438779189323675e-08        -4.148936782241014e-05         5.933874035690679e-10         7.054219862566589e-07       -1.5415011489494646e-08       -1.6440682149010397e-09         2.010860613823853e-11       -2.2229132115272578e-11         1.243892396492659e-07             7541393.909604682             3710359461.814447           -18987629.741695452            1497.9573198294297             833410.3251107805            358134.21528929844             176080715.5797388            -796.8093178306359            -197061.0324905358            13793.869054620889            10047.596258218364            -622.1298327225151            2131.8601635791397           -17103.944147732294
                        3   -7.279081187527279e-05  -1.1147005716653814e-07    -0.007042083078586603        3.008372285099271     0.008184004987947233     0.003672810812405671  -6.4230238986875945e-06      -24.849764568691764      0.05238504151952709       0.5777151857764833       0.2233811520928125      0.16532407677354466       0.3392602032318503      0.20734972975598875           0.10330549709048914        -0.0011960784440363213          0.011016520580375833       -2.5329980088726084e-10        -3.124730412689618e-07       -2.2788086521952078e-07       -0.00016297633883177905        2.1223222802291278e-09        2.8474927354298843e-06        -5.075253994846207e-08        -8.593681322111023e-09        1.1270614071653047e-10        -9.187712319342406e-11         3.872034051413367e-07             7542515.534240308            3710740613.0128927             -18987469.2077791            1497.9766843278135             833390.6150883076            358146.35438340134            176078264.71096405             -796.798790852537           -197055.69361971016            13793.849039809535            10046.889103290057            -622.0961838482168             2131.792488780036            -17103.98783745586
                        4   -7.280675391177094e-05  -1.1147005729398589e-07    -0.007042178708812465       3.0083722853715744     0.008184004989278982    0.0036728108126952465   -6.423023898408751e-06      -24.849765227357633     0.052385040261694764       0.5777151872871538      0.22338115213720472      0.16532407676963218        0.339260203232885      0.20734971269509384          1.10058251574785e-06         -0.002021939887477295         -8.14389555792161e-08       -1.1252233712689809e-11        -1.652883077321279e-08        -8.309303765885456e-08        -2.355471571372121e-05         1.459150098526152e-11        5.2309792300222725e-08        -2.411084665254748e-09        2.8476110358610635e-10         2.576210849585752e-11          9.86864910777917e-14         8.072406940426744e-09             7541893.004179416            3710484325.4083457            -18987712.91345487             1497.975024165229             833407.6331376964            358139.02911017823            176080338.03389353            -796.8111667461083           -197060.33898718513            13793.950836379281             10047.40904731074            -622.1152551035606             2131.850053862116           -17104.084545597983
                        5   -7.663293859579202e-05   -1.974114848060219e-07  -0.00015043481217963915       3.0048640856266124      0.00816342482054362    0.0036270138759980654   -6.436018952025151e-06      -23.545729888086285      0.05895717052800281       0.5568492016279165      0.22377036655621949      0.16564361883328155      0.33926043743187845      0.30870547842672824           -24.793675651874132            -556900.4522999332             793.9288968106625         -0.003118399784551763            -4.573370846609208            -22.89846843168356            -6497.526831754575          0.004172913100259814            14.604733977438787           -0.6677115435066767           0.07784288408771432          0.007100934773525876         2.081768840274852e-05            2.2523503576642825             684669.4281228515           -1529259531.5741293             45912.48863986342             7.584287370521764           -14883.849814978175            -33049.47042513816           -28131061.745140277           -1.3813356296876285            1564.6098151183878            -677.5922220764929            -4415.345936971041            -655.7994288724252           -1131.3355132175259            -854.6756093212811
                        6   -7.666280267595503e-05  -1.9741148274756793e-07  -0.00015043684281116926        3.004864085611318     0.008163424820731215     0.003627013876465063   -6.436018951627652e-06       -23.54572987844746      0.05895717045243091       0.5568492023374378      0.22377036666453537      0.16564361886188222        0.339260437435858      0.30870548681338317            -24.98719489133042            -556900.4389611515             793.9286628819103         -0.003118399798146814             -4.57337080492149           -22.898468198184794             -6497.52663300507          0.004172913131104053            14.604733809501225           -0.6677115208019941           0.07784290575089113          0.007100935409096484        2.0818042139541462e-05             2.252350544034392             683302.0679887866           -1529564839.8425238             45933.46527182196             7.537924734681259           -14894.563239338138            -33060.96886379964             -28133879.6010455           -1.3805375510232998            1564.8815463823028            -677.5049921427819            -4414.819081745496            -655.8346451059286           -1131.2300058062224            -854.6500173541284
                        7   -7.663297744410121e-05   -1.974114825251265e-07   -0.0001504373254182503       3.0048640856583084     0.008163424820800647     0.003627013876550413   -6.436018951604618e-06      -23.545729881181092      0.05895717044525325       0.5568492022967251      0.22377036665883374      0.16564361886286988       0.3392604374357008       0.3087054867495791           -24.793927388917655             -556900.437519731             793.9286072855746         -0.003118399756377559            -4.573370789492088            -22.89846815550973            -6497.526621487963          0.004172913122356431            14.604733793550865           -0.6677115221048027           0.07784290461056441           0.00710093543104436        2.0818028165534327e-05            2.2523505426165236             684669.8829092897           -1529260940.9096963            45905.780210180405             7.584801429978211           -14883.531973828336            -33049.45638879489           -28131016.703731053           -1.3816171814722988            1564.5386193948548            -677.5863504981238            -4415.338715835488            -655.7994400783587           -1131.3339593585213            -854.6809920696011
                        8   -9.203429572018449e-05  -1.9738958507445147e-07   -0.0001744456954067223       3.0048643678313827     0.008163427266003147     0.003627019163434034    -6.43601490528085e-06      -23.545661872195808     0.058956375568937895       0.5568556764829726      0.22377135970857248      0.16564390387804268       0.3392604743984276      0.30878583031783524           -124.59446981793728            -556758.5420393569             791.1628430629027         -0.003118148935867124            -4.572827411158634            -22.89582471369923            -6495.503459604052          0.004173130751109341            14.602967401738972            -0.667504348144881           0.07804151455831353          0.007107269101550942        2.4103603883200243e-05             2.254135955244438            -837.2451077392873           -1695659302.6003957            -4843.537780908931           -11.184172060503924           -17402.828124792137            -38724.11990287906            -29141730.02337633           -3.5585150696958094             1045.355079910644            -580.9725857298524           -4085.0792684511703            -673.6774080944257           -1064.6709583406764            -890.6618494835839
                        9   -9.203288064205974e-05  -1.9738949663253416e-07  -0.00017443739455654406       3.0048643687053316     0.008163427274502429     0.003627019184636732   -6.436014889324818e-06       -23.54566091002239      0.05895637361244746       0.5568557000558374      0.22377136359175295      0.16564390501649945        0.339260474543544       0.3087861689747369           -124.58530011168892            -556757.9689357327             791.1637993208432        -0.0031181481590236457            -4.572825522429491           -22.895814112350223            -6495.495481587916          0.004173133830064273            14.602963053982451           -0.6675035938132083           0.07804229119440785          0.007107294400590349        2.4116503120434153e-05            2.2541434809533634            -779.2027316335459            -1695631410.443254            -4821.706244906197           -11.183791298191947            -17403.38073700078            -38723.23931255615           -29141643.873452317           -3.5575917399264245            1045.5872868544952            -580.9965898787343             -4085.12354037637            -673.6759120361503           -1064.6796519921252            -890.6425122153374
                       10   -9.215951251708823e-05  -1.9738546204646378e-07  -0.00017413139009718383       3.0048644085435954     0.008163427663025403     0.003627020151611634   -6.436014161015164e-06      -23.545617472940197      0.05895628345041081       0.5568567780685905       0.2237715409431037      0.16564395698274614       0.3392604811704994       0.3088016145150174           -125.40587466187353            -556731.8248179967             791.1990510345614         -0.003118112747233602            -4.572739183990778           -22.895330624899195            -6495.131326761255          0.004173272828727295            14.602762693901008           -0.6674690974051103           0.07807776146455668         0.0071084492060724536        2.4705565820287093e-05              2.25448671518182            -6849.573298292659           -1696331467.7879698           -3851.2271542478247           -11.452507263661822           -17490.441194079714            -38756.30683886964            -29154753.57982288           -3.5171358665085584            1056.1550458663512             -581.417772096173            -4083.650159957872            -673.8330390244195            -1064.384408955101            -889.7213099246874
