                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1   -0.0006031281129447562    5.540808036575476e-07    0.0011790770752166334       1.9405579291228623    0.0018641992440943907    0.0025028730741943023   -6.053358486786147e-06       -54.72281572140443      0.03797808776116602       0.7833148994337246      0.18211138483779454       0.5715873093189326      0.38416470049730234      0.09680541210618038       22232.918112828243                      0.0       22232.918112828243
                        2   -0.0006030986362928042    5.540808026277461e-07     0.001179073428687226       1.9405579291894464    0.0018641992446720278    0.0025028730735237397   -6.053358487665275e-06       -54.72281575085262      0.03797808744168959       0.7833148994002799      0.18211138484839356       0.5715873093204834       0.3841647004972742      0.09680541247873098       22231.933553982275    2.815914590890487e-09        22231.93355398509
                        3    -0.000603128216064581    5.540808027645721e-07    0.0011790746712325812       1.9405579291067443    0.0018641992438869822    0.0025028730736107777   -6.053358487415785e-06      -54.722815739002804      0.03797808759878692       0.7833148994111658      0.18211138484870504       0.5715873093196552       0.3841647004973368      0.09680541268675924       22232.911638789938   3.6736793761524205e-13       22232.911638789938
                        4   -8.950886176637275e-05    5.536837827254466e-07    9.372940571058521e-05       1.9405523730594154    0.0018641224702177573    0.0025026136812600335  -6.0536413189316195e-06       -54.73081307193161     0.037903393891426905       0.7833047291466366      0.18211619821253736       0.5715876441376104       0.3841647145419958      0.09705792598430119       11687.044748764478       0.9225865269194741       11687.967335291398
                        5   -8.953667454673615e-05    5.536837407364565e-07    9.373414365334166e-05        1.940552371256263    0.0018641224012406078    0.0025026136536139194   -6.053641362025587e-06      -54.730812830390065     0.037903394101108365       0.7833047265035651      0.18211619845842564        0.571587644169723       0.3841647145394724      0.09705795473801793       11687.021662764322       0.9224933693100724       11687.944156133632
                        6   -8.950865552362212e-05    5.536837357155424e-07    9.373316044338355e-05       1.9405523711377137    0.0018641223939535947     0.002502613650306104   -6.053641367258188e-06       -54.73081281461667      0.03790339401332619       0.7833047262181985      0.18211619849163876       0.5715876441745354       0.3841647145392325      0.09705795808013562       11687.041897529436       0.9225867441741092        11687.96448427361
                        7   -8.950877236656629e-05     5.53683444779564e-07    9.372857065153943e-05       1.9405523594738519     0.001864121934922731    0.0025026134587932914   -6.053641663659086e-06       -54.73081148487838     0.037903392746931774       0.7833047083702005       0.1821162002536368       0.5715876444015128      0.38416471452258283      0.09705815478710722       11687.026815894282       0.9225869312731033       11687.949402825554
                        8   -8.950908117709465e-05    5.536837829664935e-07    9.372940453881789e-05       1.9405523730451741    0.0018641224741694625    0.0025026136791276915   -6.053641322153293e-06       -54.73081287730201     0.037903393896620625        0.783304727751652      0.18211619866410433       0.5715876441349077       0.3841647145418339      0.09705794465508699       11687.044526708978       0.9225857969116648        11687.96711250589
                        9  -2.1490345271959555e-05   2.8335761373266083e-07   -0.0002887697881214027       1.9296822762702246    0.0014358743032703881    0.0023246132941430035   -6.329490001516256e-06      -53.454643156671246      0.03700872384733232       0.7666539922973246      0.18375773697402642       0.5717987064292718      0.38414917771306106       0.2804817726258175        7549.131136663746       1.8882959410990963        7551.019432604845
                       10   -5.549960351916615e-05    4.185206982290536e-07   -9.752019120540874e-05       1.9351173246648201    0.0016499983867440723    0.0024136134877015183   -6.191565660223938e-06       -54.09272811430142      0.03745605886937962       0.7749793607219806      0.18293696759328187       0.5716931752834411      0.38415694612752843       0.1887698493050598        6493.866669391818       1.2330450076035635        6495.099714399421
                       11  -3.8494974395562854e-05    3.509391559808573e-07   -0.0001931449896634056       1.9323998004675222    0.0015429363450072293    0.0023691133909222607   -6.260527830870098e-06       -53.77368563548634     0.037232391358355967       0.7708166765096525      0.18334735228365417       0.5717459408563565      0.38415306192029475      0.23462581096543822        5847.269252013544       1.5175714177498982        5848.786823431295
                       12   -3.849497276062555e-05    3.509391499705741e-07   -0.0001931449995211307       1.9323998011966792     0.001542936359154935    0.0023691133813431614  -6.2605278277596774e-06      -53.773685614963284     0.037232391257207835       0.7708166767460696      0.18334735300223737       0.5717459408677141      0.38415306192493825      0.23462585821542792        5847.268925369148       1.5175715775294454        5848.786496946677
                       13    -3.84949735259231e-05    3.509391531034917e-07  -0.00019314498495901574       1.9323998009521235    0.0015429363466253482      0.00236911338632476   -6.260527831761949e-06       -53.77368546172598      0.03723239149066778       0.7708166771920326       0.1833473529162265       0.5717459408609319      0.38415306192256005      0.23462581507377323        5847.269191163412       1.5175714370310154        5848.786762600443
