                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10                     data               background                    Costf
                        1   -0.0004631471239626024  -3.0117826770682217e-07   -0.0035840557835071602       3.4473052234885437    0.0066400967614934775    0.0006878058258570433   -4.386190029295349e-06        -41.8062039920036    0.0009968080536518886        0.607624903450333       0.2681070991268838       0.2766870198590032       0.4498193760182743     0.014004674828600377        42068.76399244195                      0.0        42068.76399244195
                        2  -0.00046312395314826167   -3.011782669397192e-07    -0.003584041262469911       3.4473052235845234     0.006640096761712738    0.0006878058262479809   -4.386190029170321e-06       -41.80620389341973    0.0009968082177992383       0.6076249033264738      0.26810709912296554      0.27668701985954075        0.449819376018428     0.014004677868925341       42068.067211437505   1.7516584210825707e-09        42068.06721143926
                        3   -0.0004631479348245072  -3.0117826695750755e-07   -0.0035840381081078724        3.447305223569875     0.006640096761644427    0.0006878058262405376   -4.386190029203252e-06       -41.80620388361944     0.000996808177180426        0.607624903301204      0.26810709912867925       0.2766870198588288      0.44981937601858984     0.014004679411877774       42068.543310916386   2.0125938770696413e-11        42068.54331091641
                        4   -0.0004631471238427341   -3.011782670345562e-07   -0.0035840557834328265       3.4473052235076103    0.0066400967615055225    0.0006878058261513761   -4.386190029231797e-06       -41.80620399866506    0.0009968080054913715       0.6076249034215884       0.2681070991205867      0.27668701985901567       0.4498193760184081     0.014004675961103885        42068.76396956903   1.8450057805587016e-17        42068.76396956903
                        5   1.8919416663328893e-05    -7.01543306000948e-08    0.0013941774232602861       3.4538749515978147     0.006644277297383077    0.0007889689610243809   -4.364343454785408e-06       -44.06265157484509    -0.015501816772035803       0.5977140464048845      0.26594547164587407       0.2766912906836465      0.44986539397572506      0.40409223864963195         958.392564070013         4.35944563182211        962.7520097018352
                        6   1.8919413992181465e-05   -7.015433096634507e-08    0.0013941774224461275         3.45387495158507     0.006644277297369277    0.0007889689608915277  -4.3643434548110715e-06       -44.06265156941472     -0.01550181675073037       0.5977140464180724        0.265945471640862       0.2766912906839326       0.4498653939757069      0.40409223848834497        958.3925506493956        4.359445620235218        962.7519962696308
                        7      1.8919416638449e-05   -7.015433061235073e-08    0.0013941774239653376       3.4538749515975296     0.006644277297377661    0.0007889689610216995   -4.364343454784506e-06      -44.062651574822844    -0.015501816775018865       0.5977140464067783       0.2659454716373742       0.2766912906840363       0.4498653939757488       0.4040922388242034         958.392563821573        4.359445633755829        962.7520094553289
                        8   -8.222075506843912e-05   -8.512019386033425e-08    0.0014518351623457005       3.4533717467996525     0.006643098268920118    0.0007837593405246818   -4.365173553912189e-06       -43.86055446932795    -0.015090144049291722       0.5984332705353494       0.2647060974364969       0.2767501949488141       0.4498676782057848      0.41984764992309653        697.8058148000923        4.211463863373923        702.0172786634663
                        9   -8.220802120844576e-05   -8.512019460766083e-08    0.0014518114011772528        3.453371746571941     0.006643098268005292    0.0007837593393363166   -4.365173554003738e-06       -43.86055459017375    -0.015090144355701182       0.5984332713040788      0.26470609654138416       0.2767501949920137      0.44986767820733314      0.41984765215530917        697.7995906115141        4.211481542708167        702.0110721542222
                       10   -8.222728974976692e-05   -8.512019682336095e-08     0.001451760307140686       3.4533717459890836      0.00664309826585488    0.0007837593364029787  -4.3651735542375865e-06       -43.86055484377028     -0.01509014502369674       0.5984332731305888      0.26470609446968574      0.27675019509137255       0.4498676782111176      0.41984765818735426        697.7914047414287       4.2114044162390964        702.0028091576678
