                   sim_nr                 advtheta                     advq                   advCO2               deltatheta               gammatheta                   deltaq                   gammaq                 deltaCO2                 gammaCO2                  sca_sto                    alpha                    FracH                       wg                      R10          backgr_grad_advtheta              backgr_grad_advq            backgr_grad_advCO2        backgr_grad_deltatheta        backgr_grad_gammatheta            backgr_grad_deltaq            backgr_grad_gammaq          backgr_grad_deltaCO2          backgr_grad_gammaCO2           backgr_grad_sca_sto             backgr_grad_alpha             backgr_grad_FracH                backgr_grad_wg               backgr_grad_R10           Costf_grad_advtheta               Costf_grad_advq             Costf_grad_advCO2         Costf_grad_deltatheta         Costf_grad_gammatheta             Costf_grad_deltaq             Costf_grad_gammaq           Costf_grad_deltaCO2           Costf_grad_gammaCO2            Costf_grad_sca_sto              Costf_grad_alpha              Costf_grad_FracH                 Costf_grad_wg                Costf_grad_R10
                        1    0.0004668577457123657    5.672041259996796e-07    0.0013429967315800957        4.011871445709122     0.002210507829554528   -0.0006990358758451886    4.236556636239506e-07       -58.14418587254961    -0.004522515794274442       0.8166527387594353      0.16100451786252923       0.7455599166525793       0.5064349926505826      0.13502939481017726                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            31470771.365961153             69737453524.38033            -3182023.190244925            1140.0694733177654             442309.1338560173             3254595.492283741            1293402509.4040117           -159.14064386714367           -57755.923736579876            2896.2361948241364           -41866.871351140464            302.47493518595894            -49.58347453521252            -5346.192179348617
                        2    0.0004668295393411172    5.672041240723522e-07    0.0013429995885356689        4.011871445661917    0.0022105078294400666   -0.0006990358767894156   4.2365566324870715e-07      -58.144185849749576    -0.004522515742088887       0.8166527386971678      0.16100451788361686       0.7455599166523084       0.5064349926505861      0.13502939588729035          -0.18277728569023824         -0.012489081805476643         0.0003291212820277778        -4.195991702241978e-11       -2.5435864834142148e-08       -4.7211350497414206e-07       -0.00018762171534420858         7.296011972357519e-11        1.1596789886405803e-07       -1.9925607830373337e-09          4.21752632817629e-09        -6.019875955745293e-12         3.157967714489334e-13          2.39358465147098e-08             31469228.52848431             69737329190.79617           -3182051.1711356463            1139.9919098671537             442275.2718901666             3254607.196239749            1293437606.5907943           -159.14318390846972            -57758.20665652366             2896.178562621732            -41866.64179643828             302.4257137326017           -49.601049495323416            -5346.168137601428
                        3   0.00046685768369735176    5.672041241154188e-07     0.001343000148605045        4.011871445727547    0.0022105078296193485   -0.0006990358768731893    4.236556630330285e-07       -58.14418584190557    -0.004522515698741876       0.8166527387218512      0.16100451788153453       0.7455599166532145       0.5064349926506124      0.13502939580285833       -0.00040185729037380685         -0.012210009919637074          0.000393641274151757        1.6377220567341686e-11        1.4404565503352748e-08        -5.140003548655125e-07        -0.0002954610532793998         9.806094567466062e-11        2.1229458970083313e-07        -1.202693056256976e-09         3.801059467178901e-09          1.41171025486781e-11        2.6546666099925963e-12        2.2059579471742392e-08            31470772.278818782             69737449974.07758           -3182014.1892222445             1140.070809423819            442310.19189562474             3254595.571634531            1293402763.7640948           -159.14021860559657            -57755.75470779921            2896.2349322553905           -41866.856819071414              302.474800801095            -49.58261101358747            -5346.186525998571
                        4  -0.00014173255236262443    5.663689418819133e-07      0.00284438965992168        4.011878248455361     0.002210532828072316   -0.0006994893143629354   4.2339847421016355e-07      -58.130779565834956    -0.004481111845614845       0.8166355880628187       0.1610129758450567       0.7455601792338633       0.5064350053213845      0.13547066842119815            -3943.665131525936            -5411.993083125447             172.9604653449505        6.0468855451745185e-06          0.005555226175095308          -0.22671925887341554           -128.59470689351366         4.290018148690251e-05           0.09200877479910402        -0.0005488222917335861          0.001691596505493109         5.835139645545458e-06        1.1262935078409303e-06          0.009806080244908724            -4023162.277102706             71496666675.09793             206161.3279909995            -280.8162801115503           -337368.85524836887            3662154.8249953464             2297498594.565426           -2.7521641593320547            14124.852576730445             2146.797562802353            -34041.08277529936           -1012.2516089329007            221.77700474133007           -3053.1616740742784
                        5    -0.000141732550533742     5.66368939895147e-07    0.0028443896574218575        4.011878248461029     0.002210532828139146   -0.0006994893154125286   4.2339847357383783e-07       -58.13077956329119    -0.004481111851732757       0.8166355880150864      0.16101297586257673       0.7455601792346502       0.5064350053213705      0.13547066907713567            -3943.665119674778            -5412.005957370955            172.96046505697097        6.0468905837120065e-06          0.005555241026255733           -0.2267197836700388            -128.5950250563734        4.2900189626948305e-05           0.09200876120374461        -0.0005488238191659889         0.0016916000095013037         5.835157132791677e-06        1.1262922643911427e-06          0.009806094821298201            -4023162.108512944             71496666368.19435            206161.32508759922            -280.8162710757981            -337368.8453487953            3662154.8082763553            2297498579.3945932           -2.7521642799413306            14124.852441969924            2146.7975529527102            -34041.08275211278           -1012.2515987929696             221.7770008567118           -3053.1616718964583
                        6  -0.00014173256048637968    5.663689376246083e-07     0.002844389661246143        4.011878248448567    0.0022105328279719725   -0.0006994893166187222    4.233984729390065e-07       -58.13077956999173     -0.00448111188425252       0.8166355879730247      0.16101297589027502       0.7455601792353728       0.5064350053213784       0.1354706699110375             -3943.66518416787             -5412.02067046193            172.96046549752865         6.046879506350756e-06          0.005555203876574254          -0.22672038676682138           -128.59534247204422        4.2900168185224176e-05           0.09200868893760479        -0.0005488251651399878         0.0016916055491589253        5.8351731890837755e-06        1.1262929650652293e-06          0.009806113352450123            -4023162.755600958             71496666255.38026            206161.32575522937            -280.8163048273484            -337368.8716278742            3662154.8041768386            2297498587.8695745            -2.752164303217505            14124.852541909133            2146.7975650394465             -34041.0826744215           -1012.2516177896532            221.77700814245065            -3053.161659958781
                        7  -0.00014173255233534623    5.663689418444009e-07    0.0028443896642021222       4.0118782484575215     0.002210532827951671     -0.00069948931434635   4.2339847435011055e-07       -58.13077956207883    -0.004481111838409517       0.8166355880485519      0.16101297585813934       0.7455601792337039       0.5064350053214022      0.13547066882644287           -3943.6651313491734            -5411.993326206073            172.96046583805744          6.04688746600838e-06          0.005555199365136734           -0.2267192505807326             -128.594636920016         4.290019350651164e-05           0.09200879081094479        -0.0005488227482715047         0.0016915991220223245         5.835136102700429e-06        1.1262950769561383e-06          0.009806089250347094            -4023162.271239329             71496666666.82239            206161.34111998463            -280.8162786998747            -337368.8534765742             3662154.824710104            2297498594.5728025           -2.7521634690709407            14124.853002722606            2146.7975591352774           -34041.082756982214           -1012.2516087746657             221.7770052363944           -3053.1616655397843
                        8  -0.00024657055632074017   2.2122339223025684e-08    0.0026997270601286615        4.012575571752828    0.0022108422619193987    -0.000985628976642767    2.609014672663021e-07        -57.7420350035494    -0.007095091388067229       0.8035572536675293      0.16680000523743643       0.7457586147872671       0.5064331997045197      0.33793051276688324            -4623.015397174526           -3532129.9783127178            156.29533384879477         0.0006258898166275154           0.07431830330460897            -143.2965503987892            -81377.09817882424         0.0012868827808006928             -5.71683465287286           -0.4190555229409938            1.1590974749814407          0.004415514104174869       -0.00015937298336352355             4.508913732371244            -7228723.028413962             6045710418.496592             321338.0864919803             -457.401658542283            -170484.9011300518            282702.37493438117             150849275.2549711             6.879908471599093            12645.597261236671             989.7475885327799            -24644.63750959702            -7.607064962467425            14.584627977118325           -1546.0082657666173
                        9  -0.00024657055302432126   2.2122337743483377e-08     0.002699727054063313        4.012575571763113      0.00221084226192236    -0.000985628977382356   2.6090146689950853e-07       -57.74203499950546     -0.00709509139436971       0.8035572536101601      0.16680000526727562       0.7457586147875025       0.5064331997045188      0.33793051381129047            -4623.015375813731            -3532129.987900152            156.29533315006665          0.000625889825769832           0.07431830396264741            -143.2965507685837            -81377.09836222103         0.0012868827937413017            -5.716834666878374          -0.41905552477680885             1.159097480949278          0.004415514109405253       -0.00015937298344247274             4.508913755580293            -7228722.867778648             6045710272.971918            321338.07701071247           -457.40165232442064           -170484.89879194432             282702.3674234308            150849270.55830273               6.8799080342891            12645.596973169384             989.7475853731161           -24644.637522344357            -7.607057229779562            14.584626053538086           -1546.0082651956304
                       10   -0.0002465705563276435   2.2122339166035825e-08     0.002699727060926113         4.01257557176108     0.002210842261938307   -0.0009856289767148376   2.6090146723382364e-07       -57.74203500169304    -0.007095091388972127       0.8035572536444457      0.16680000525407157       0.7457586147870174       0.5064331997045245      0.33793051325573664            -4623.015397219259           -3532129.9786820123            156.29533394066118         0.0006258898239626849           0.07431830750649472           -143.29655043482452            -81377.09819506347         0.0012868827867410346            -5.716834654883744           -0.4190555236796669            1.1590974783084682         0.0044155140986262215       -0.00015937298293917162             4.508913743234653            -7228723.028076236             6045710410.605593             321338.0895903888            -457.4016580799591           -170484.90061294293             282702.3746051821            150849275.15135404             6.879908629232818             12645.59733652235             989.7475865109964           -24644.637496136223            -7.607064878759209            14.584628417905332            -1546.008260943488
