                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta
                        1                    650.0                     0.45                      0.5                     0.14                    0.005           0.33957576724593797             19219.54265813494           -15930.612963427324             490.9355312096341            163407.93654551436
                        2        649.9999999872565       0.4499999964217645        0.500000003173985      0.13999999994350318     0.004999985385123973            0.3395808516673937            19219.542953080876           -15930.612903389749            490.93546411661544            163408.37831216192
                        3        649.9309182989228       0.4306026050301321       0.5172059778711058      0.13969373418568193     -0.07422634573432071           -3.4425935658001943            15525.057630876081           -15508.519601693863            204.05510188793758             5132.850856184097
                        4        649.9654591494615      0.44030130251506605       0.5086029889355529      0.13984686709284097     -0.03461317286716036              52.1008998255006            148362.86371486136            -7515.880033727698            11759.569162921642             1759362.878795056
                        5        649.9827295747307        0.445150651257533       0.5043014944677764       0.1399234335464205    -0.014806586433580179            11.945935890751937             47673.32724155348           -13969.783706548327             2979.646702298196             756740.1674277665
                        6        649.9913647873653       0.4475753256287665       0.5021507472338882      0.13996171677321026     -0.00490329321679009            3.2995720744400465             27310.68177401142           -15326.683576863697            1207.5348326473713            448490.91773285606
                        7        649.9956823936827      0.44878766281438326       0.5010753736169441      0.13998085838660512    4.835339160495517e-05            -465.8241020563027            -669730.7487439016            -68904.87876878583            -69461.88312216262           -146897959.84382495
                        8        649.9978411968414      0.44939383140719164       0.5005376868084721      0.13999042919330257    0.0025241766958024776            1.2537239419033972            18062.466380089285           -16039.156428927698             333.6383385153734            170766.54996451593
                        9         649.996761795262      0.44909074711078745        0.500806530212708      0.13998564378995385     0.001286265043703716           0.45585130838873905            10956.220067826118           -16734.375021389813            -536.1634603111924           -1333031.3139065448
                       10        649.9973014960517      0.44924228925898957       0.5006721085105901      0.13998803649162822    0.0019052208697530972            1.2653582735285795            16256.293243848348           -16214.438422719955            111.82939232449715           -56862.692532503446
                       11        649.9975713464465       0.4493180603330906       0.5006048976595311       0.1399892328424654    0.0022146987827777877            1.3022010730771327             17370.39216155002           -16106.147779243647            248.20664414145884            100952.85835379873
                       12        649.9974364212491      0.44928017479604004       0.5006385030850605       0.1399886346670468     0.002059959826265442            1.2984520353767375            16881.796195976684           -16153.582376092947             188.3010807665353             37842.04179406858
                       13        649.9973689586503      0.44926123202751483       0.5006553057978254      0.13998833557933751     0.001982590348009269            1.2862529570690466            16588.771785808112           -16182.074279139999             152.4558505989322            -4693.256512255886
                       14        649.9973689090695      0.44926122878269714       0.5006553091704172      0.13998833555995543    0.0019825903927313364            1.2862529640141438            16588.771657643018           -16182.074165394095            152.45584544295883            -4693.241056028726
                       15        649.9973684796275      0.44926122252907974       0.5006553195729941      0.13998833579694023       0.0019825901681602            1.2862529111607046             16588.77022109213            -16182.07390742041             152.4556964984479            -4693.398190495788
                       16          642.37499353418      0.13320586058574235       0.8618033615385557      0.14039537412419112     0.003739057252010211            1.4637419642130851            -5932.849623634572            -4502.175593700946           -2358.2793112336717             11300.52054749684
                       17        642.3749934630642      0.13320586170328846       0.8618033633681379      0.14039537447618036     0.003739057228342396            1.4637419655574804            -5932.849538372826            -4502.175523872895            -2358.279281492806            11300.517930283184
                       18        642.3749934684475      0.13320586101295417        0.861803362334992      0.14039537433743013    0.0037390572895661662            1.4637419544712165              -5932.8495354257            -4502.175553355725           -2358.2792865342385            11300.528227932387
                       19        637.3696799493736       0.2013910256036291       0.9751094288581009      0.16323147458567366    0.0031005875471889514            1.3010956832753178             -878.116480858504            -949.4292659930982             -929.987549303069            -7413.491406110146
                       20         637.369678517302      0.20139103039855238       0.9751094344061292      0.16323147772459456      0.00310060699400223            1.3010928873924932            -878.0836421516744            -949.4236697285473            -929.9820990081319            -7407.809579936696
                       21         637.369678385893      0.20139103059666655       0.9751094348854853      0.16323147799595253     0.003100587508353891            1.3010956627162777            -878.1161386127395            -949.4291220956732             -929.987465562198            -7413.491546655212
                       22        629.2654315492236       0.2272725834123802       1.0063522107792537      0.18090856145273235    0.0029271689254786017            1.1913025812425537             862.0499799503162            -272.7836568869855            -553.9975782691413            -677.0044939251122
                       23        629.2654300774971      0.22727258293992825       1.0063522111467709      0.18090856283931867    0.0029271689260717136            1.1913025758776508             862.0499583208422            -272.7836432442183             -553.997571360163            -677.0045167850878
                       24        629.2654289935747      0.22727258360014407        1.006352209350129       0.1809085628746541     0.002927168924445577            1.1913025724266744             862.0500171660148            -272.7836897849903            -553.9975663414435            -677.0042244928046
                       25       402.97787941480203      0.19010383072102932       0.9901193997757778       0.3594158630042673     0.002945776055323177            0.1921773666170284           -429.43462543997686           -196.46023663414115             22.24639396295738           -25611.366218269846
                       26       402.97787869179984      0.19010383083195553        0.990119399929132        0.359415862900901     0.002945776057128507            0.1921773629054116           -429.43461413347165            -196.4602320655939             22.24639545441421            -25611.36512869992
                       27        402.9778791617639      0.19010383080392573       0.9901193998860286      0.35941586267289416     0.002945776053592305           0.19217736539621189             -429.434624710928           -196.46023486245946            22.246393864202652           -25611.366908111133
                       28       363.51499015735897       0.1978542375193173       1.0006667768009332      0.34241568787182514     0.002953405125008307         -0.016797206034886995             54.07539883635925            55.319691929528815             82.38824470681308            -7772.338984424152
                       29       363.51499002578146      0.19785423753239806       1.0006667767930082      0.34241568713655357     0.002953405125427451          -0.01679720591956826            54.075398065920616            55.319691459843085             82.38824416647624            -7772.338925635582
