                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                     data                    Costf
                        1                    650.0                     0.45                      0.5                     0.14                    0.005         6796.64916296535         6796.64916296535
                        2        649.9999999872565       0.4499999964217645        0.500000003173985      0.13999999994350318     0.004999985385123973        6796.646655407785        6796.646655407785
                        3        649.9309182989228       0.4306026050301321       0.5172059778711058      0.13969373418568193     -0.07422634573432071        8593.917625549686        8593.917625549686
                        4        649.9654591494615      0.44030130251506605       0.5086029889355529      0.13984686709284097     -0.03461317286716036        8276.404471289983        8276.404471289983
                        5        649.9827295747307        0.445150651257533       0.5043014944677764       0.1399234335464205    -0.014806586433580179        8526.676868036984        8526.676868036984
                        6        649.9913647873653       0.4475753256287665       0.5021507472338882      0.13996171677321026     -0.00490329321679009        8363.508985167316        8363.508985167316
                        7        649.9956823936827      0.44878766281438326       0.5010753736169441      0.13998085838660512    4.835339160495517e-05        6935.034566368875        6935.034566368875
                        8        649.9978411968414      0.44939383140719164       0.5005376868084721      0.13999042919330257    0.0025241766958024776        6301.292607082123        6301.292607082123
                        9         649.996761795262      0.44909074711078745        0.500806530212708      0.13998564378995385     0.001286265043703716        6553.046750649382        6553.046750649382
                       10        649.9973014960517      0.44924228925898957       0.5006721085105901      0.13998803649162822    0.0019052208697530972        6242.886192926757        6242.886192926757
                       11        649.9975713464465       0.4493180603330906       0.5006048976595311       0.1399892328424654    0.0022146987827777877        6255.342357622954        6255.342357622954
                       12        649.9974364212491      0.44928017479604004       0.5006385030850605       0.1399886346670468     0.002059959826265442        6243.084250689965        6243.084250689965
                       13        649.9973689586503      0.44926123202751483       0.5006553057978254      0.13998833557933751     0.001982590348009269         6241.15734242496         6241.15734242496
                       14        649.9973689090695      0.44926122878269714       0.5006553091704172      0.13998833555995543    0.0019825903927313364         6241.15723374522         6241.15723374522
                       15        649.9973684796275      0.44926122252907974       0.5006553195729941      0.13998833579694023       0.0019825901681602        6241.156962207973        6241.156962207973
                       16          642.37499353418      0.13320586058574235       0.8618033615385557      0.14039537412419112     0.003739057252010211        818.9588889263458        818.9588889263458
                       17        642.3749934630642      0.13320586170328846       0.8618033633681379      0.14039537447618036     0.003739057228342396        818.9588728573729        818.9588728573729
                       18        642.3749934684475      0.13320586101295417        0.861803362334992      0.14039537433743013    0.0037390572895661662        818.9588826313533        818.9588826313533
