                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                     data                    Costf
                        1                    650.0                     0.45                      0.5                     0.14                    0.005         6796.64916296535         6796.64916296535
                        2        649.9999998185419       0.4499999993820274       0.5000013328239596      0.13999999999772794      0.00499999999509272        6796.627917557671        6796.627917557671
                        3         649.999997077228      0.44999999924872863        0.500000001135156       0.1399999999925865     0.004999999995056403        6796.649128638501        6796.649128638501
                        4         648.897519638974      0.44955136165791953       0.8859240330747333       0.1399966795476986     0.004996804613060743        3139.860926103329        3139.860926103329
                        5        643.3851178338434      0.44730816994751715       2.8155441984483858       0.1399800772861914    0.0049808276783644585       12925.462397187082       12925.462397187082
                        6        646.1413187364087      0.44842976580271837       1.8507341157615613        0.139988378416945     0.004988816145712602        5438.745742062198        5438.745742062198
                        7        647.5194191876913       0.4489905637303189       1.3683290744181456      0.13999252898232178     0.004992810379386673        3063.194346747071        3063.194346747071
                        8        647.5194192000531       0.4489905628164707       1.3683290704740827      0.13999252898088455      0.00499281037377816        3063.194321660897        3063.194321660897
                        9        647.5194181031575      0.44899051980574933       1.3683288912192317      0.13999252891774208     0.004992810107427735       3063.1931608995474       3063.1931608995474
                       10        644.4786851527992      0.22317994744392256       0.4169018931817092       0.1396537348723327    0.0035983021709706763        6456.628494991908        6456.628494991908
                       11        645.9990521702455      0.33608525558712077       0.8926154837999292      0.13982313192732726     0.004295556275178674        1278.809156205106        1278.809156205106
                       12         645.999052157109      0.33608525409342377       0.8926154857004036      0.13982313192600695     0.004295556267092561       1278.8091324021514       1278.8091324021514
                       13        645.9990522580565      0.33608524338641454        0.892615502407331       0.1398231319218577     0.004295556211153705        1278.808951708206        1278.808951708206
                       14        646.4324464039883      0.18139869118970203        1.117782139086593      0.13973526546610168     0.003476765004078522         476.139403464846         476.139403464846
                       15         646.215749287117      0.25874197338841143        1.005198811443261      0.13977919869671446     0.003886160639628598        437.2365101611949        437.2365101611949
                       16        646.3240978455526       0.2200703322890567       1.0614904752649252      0.13975723208140808     0.003681462821853561       345.90468757581743       345.90468757581743
                       17         646.324097842311      0.22007033201896453       1.0614904742836444        0.139757232084736    0.0036814628172980625        345.9046856532972        345.9046856532972
                       18         646.324097879731       0.2200703269361497       1.0614904559981042      0.13975723214585112    0.0036814627353178985       345.90465028836076       345.90465028836076
                       19        646.3151795246595      0.19356819061757902       0.9657731459544472      0.14007902551638693    0.0032462415133967283       317.74826375130425       317.74826375130425
                       20        646.3196386851062      0.20681926145331786        1.013631810609688       0.1399181287988975    0.0034638521676251446        289.8842927991946        289.8842927991946
                       21         646.319557804544      0.20681926288494656         1.01363101035572       0.1399181293381376     0.003463851872270992       289.88410443607245       289.88410443607245
                       22        646.3193421517526      0.20681926630783387        1.013631592305721      0.13991813069735481     0.003463851140581918        289.8838203046839        289.8838203046839
                       23        610.9043528781353       0.2074004054246148       0.9781641339628422      0.14014513533611947    0.0033409982201925426       250.96709866941663       250.96709866941663
                       24        433.8279238432817      0.21030612528109943       0.8008257507286132      0.14128016802222937    0.0027267284830295342        732.8536389120408        732.8536389120408
                       25        522.3661383607084       0.2088532653528571       0.8894949423457277       0.1407126516791744    0.0030338633516110384       332.95790632305926       332.95790632305926
                       26        566.6352456194218        0.208126835388736       0.9338295381542849      0.14042889350764695    0.0031874307859017896        257.4990564924706        257.4990564924706
                       27        588.7697992487788       0.2077636204066754       0.9559968360585636       0.1402870144218832     0.003264214503047166       246.16175538752591       246.16175538752591
                       28        588.7697998463364      0.20776362117927238       0.9559968386001572       0.1402870149801016    0.0032642144102182514       246.16174778861281       246.16174778861281
                       29        609.4603223511024      0.23451490110746498       1.0439998714314456       0.1596154062804856                    5e-05        831.1069379087656        831.1069379087656
                       30        599.1150607999407       0.2211392607570702       0.9999983537450028       0.1499512103511844    0.0016571072515235829        965.3179555863652        965.3179555863652
                       31        593.9424300243595      0.21445144058187277       0.9779975949017832       0.1451191123865338    0.0024606608772853745       293.33209669370336       293.33209669370336
                       32        591.3561146365691       0.2111075304942741       0.9669972154801734       0.1427030634042085    0.0028624376901662703       235.56028507427263       235.56028507427263
                       33         590.062956942674      0.20943557545047475       0.9614970257693685      0.14149503891304588     0.003063326096606719       234.73527038540837       234.73527038540837
                       34        590.7095357896217      0.21027155297237438       0.9642471206247727      0.14209905115862717    0.0029628818933864955       233.38032373518482       233.38032373518482
                       35        590.7095332645713      0.21027155514400536       0.9642471214790653      0.14209905197665226    0.0029628818856919006       233.38031792997748       233.38031792997748
                       36       500.05556559687966       0.2882371201509287       0.9949178540383485       0.1714676637151958     0.002686631737939581       289.67486291921665       289.67486291921665
                       37        545.3825506932506      0.24925433656165158       0.9795824873315624       0.1567833574369115    0.0028247568156630383        196.8923436015754        196.8923436015754
                       38        568.0460432414361      0.22976294476701298       0.9719148039781658      0.14944120429776933     0.002893819354524766       198.41411710595565       198.41411710595565
                       39        556.7142969673432       0.2395086406643323       0.9757486456548641      0.15311228086734044     0.002859288085093902       193.54785652450465       193.54785652450465
                       40        556.7142842748731         0.23950863879369       0.9757486505805666       0.1531122846657008      0.00285928805629127       193.54783339582744       193.54783339582744
                       41        344.2796270857207      0.20819958370596464        1.058190456127864       0.2166856765274676    0.0023772166169545913       151.93934079642173       151.93934079642173
                       42       450.49696202653195       0.2238541121851485        1.016969550891364      0.18489897869740402     0.002618252351024246        76.52768193397888        76.52768193397888
                       43        405.7952752445815      0.22325121550499855       0.9609026640728899       0.1852123645557351    0.0033992899111746373        93.78752509948161        93.78752509948161
