                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta
                        1                    650.0                     0.45                      0.5                     0.14                    0.005            0.3396012289158534            19219.542570226622           -15930.612958072743             490.9354665869614             163407.9373516215
                        2        649.9999998185419       0.4499999993820274       0.5000013328239596      0.13999999999772794      0.00499999999509272             0.339618964062538            19219.556795633252           -15930.557839965331             490.9393046546029            163407.94061989072
                        3         649.999997077228      0.44999999924872863        0.500000001135156       0.1399999999925865     0.004999999995056403            0.3395684871065896            19219.542692098912           -15930.612999000004             490.9355093332124            163407.93857671088
                        4         648.897519638974      0.44955136165791953       0.8859240330747333       0.1399966795476986     0.004996804613060743          -0.05875313036085572            19496.249329222337             -4229.30851664205             857.4593880439352            170393.60101944112
                        5        643.3851178338434      0.44730816994751715       2.8155441984483858       0.1399800772861914    0.0049808276783644585           -1.3454819054459222           -17559.380984494055             8453.915146674262           -2630.2575452064048            255464.45077361568
                        6        646.1413187364087      0.44842976580271837       1.8507341157615613        0.139988378416945     0.004988816145712602            -1.043473730533151            3719.0892799117137             6405.618116787082            -646.1614016188832            210450.76392647388
                        7        647.5194191876913       0.4489905637303189       1.3683290744181456      0.13999252898232178     0.004992810379386673            -0.631746843282599            13204.888387690517             3030.858375950629             287.2073966955213            188430.11155240674
                        8        647.5194192000531       0.4489905628164707       1.3683290704740827      0.13999252898088455      0.00499281037377816           -0.6317402494460111             13204.88837677658            3030.8583391160937             287.2073873732006            188430.11183480485
                        9        647.5194181031575      0.44899051980574933       1.3683288912192317      0.13999252891774208     0.004992810107427735            -0.631768898529117            13204.888303562257              3030.85729092345             287.2075594950729            188430.12684760653
                       10        644.4786851527992      0.22317994744392256       0.4169018931817092       0.1396537348723327    0.0035983021709706763            1.2324894669291098            -4636.745384232199           -24459.338512770046           -4013.7293158295506             4740.090632822103
                       11        645.9990521702455      0.33608525558712077       0.8926154837999292      0.13982313192732726     0.004295556275178674            0.6419146529879072            10552.755287562832            -3429.303039979459            203.43531514299684             187281.5318802168
                       12         645.999052157109      0.33608525409342377       0.8926154857004036      0.13982313192600695     0.004295556267092561            0.6418814564312925            10552.755210028408           -3429.3029345917603            203.43528603916639             187281.5317567529
                       13        645.9990522580565      0.33608524338641454        0.892615502407331       0.1398231319218577     0.004295556211153705            0.6418790690077003             10552.75423459534            -3429.302488484609             203.4352924056293            187281.53109304913
                       14        646.4324464039883      0.18139869118970203        1.117782139086593      0.13973526546610168     0.003476765004078522            1.2506717723681504           -2761.0046338395478              2674.40684777398           -1113.0822065013035             76810.42931403681
                       15         646.215749287117      0.25874197338841143        1.005198811443261      0.13977919869671446     0.003886160639628598            0.9472382487274444            3891.8104325773584           -317.57040451907415            -398.0125832185877            162523.52541096116
                       16        646.3240978455526       0.2200703322890567       1.0614904752649252      0.13975723208140808     0.003681462821853561             1.099281462302315             560.6434583569353            1195.2023494075092            -742.2609524496693            129984.53918640963
                       17         646.324097842311      0.22007033201896453       1.0614904742836444        0.139757232084736    0.0036814628172980625            1.0992707188961504             560.6434343121691            1195.2023409946833            -742.2609178888706            129984.53832935297
                       18         646.324097879731       0.2200703269361497       1.0614904559981042      0.13975723214585112    0.0036814627353178985            1.0992937120590796             560.6431419096225            1195.2019153227411            -742.2609944569558            129984.52303907016
                       19        646.3151795246595      0.19356819061757902       0.9657731459544472      0.14007902551638693    0.0032462415133967283            1.3625005692574632            -1517.195869638499           -1196.8389722483153           -1241.0784586620593             8985.968703910885
                       20        646.3196386851062      0.20681926145331786        1.013631810609688       0.1399181287988975    0.0034638521676251446            1.2435718872438883           -365.79565275474124             78.58178034325647            -957.2463535505449             80799.69621488203
                       21         646.319557804544      0.20681926288494656         1.01363101035572       0.1399181293381376     0.003463851872270992             1.243587377075528           -365.79226676280996             78.56173564846358            -957.2472817183098             80799.49881314974
                       22        646.3193421517526      0.20681926630783387        1.013631592305721      0.13991813069735481     0.003463851140581918            1.2435626501883235            -365.7945739803381             78.57627946350476            -957.2463417839572             80799.57060712673
                       23        610.9043528781353       0.2074004054246148       0.9781641339628422      0.14014513533611947    0.0033409982201925426            1.1937200667944126           -245.56711980494583            -842.7820332599367            -978.6098831057188             59676.01562615244
                       24        433.8279238432817      0.21030612528109943       0.8008257507286132      0.14128016802222937    0.0027267284830295342            0.6243368488867418           -1352.8552817660966            -6451.279739906113           -1529.4170776769533           -253964.66101614124
                       25        522.3661383607084       0.2088532653528571       0.8894949423457277       0.1407126516791744    0.0030338633516110384            0.9980636548334587            -404.0131783540346           -3418.8152745002753           -1146.0411873258636            -40987.53099577835
                       26        566.6352456194218        0.208126835388736       0.9338295381542849      0.14042889350764695    0.0031874307859017896            1.1117208487121388           -236.96881027035488           -2079.2393636384077           -1039.7579121104172            19502.843437521733
                       27        588.7697992487788       0.2077636204066754       0.9559968360585636       0.1402870144218832     0.003264214503047166             1.155978736733232           -220.56884488108608           -1448.7418902859872           -1004.0245243487789             41761.73381382853
                       28        588.7697998463364      0.20776362117927238       0.9559968386001572       0.1402870149801016    0.0032642144102182514            1.1559537966832067           -220.56891069155427           -1448.7418380610961           -1004.0245139038007             41761.71349030256
                       29        609.4603223511024      0.23451490110746498       1.0439998714314456       0.1596154062804856                    5e-05            25.048831332696864             23994.76861091898            1851.6467409881443             2122.239513596469             5985400.021199837
                       30        599.1150607999407       0.2211392607570702       0.9999983537450028       0.1499512103511844    0.0016571072515235829            0.3390401275282784            -5721.562069822994           -1191.9311496626506           -1779.4595788132028            -1897775.929487807
                       31        593.9424300243595      0.21445144058187277       0.9779975949017832       0.1451191123865338    0.0024606608772853745            1.1266357660133508            -1518.718821444054           -1148.1184622255114           -1165.1591208305945           -315471.93339471845
                       32        591.3561146365691       0.2111075304942741       0.9669972154801734       0.1427030634042085    0.0028624376901662703             1.183617996503017            -684.3535897189668           -1272.9720560002988           -1054.7819788797597             -80432.5349676276
                       33         590.062956942674      0.20943557545047475       0.9614970257693685      0.14149503891304588     0.003063326096606719             1.177338972979669           -416.87821335756325           -1355.5683692914045           -1023.5549414261413            -9776.389394218655
                       34        590.7095357896217      0.21027155297237438       0.9642471206247727      0.14209905115862717    0.0029628818933864955            1.1826484609400723             -540.640606786269           -1312.8395032424578           -1037.5456694333707           -42288.459083252405
                       35        590.7095332645713      0.21027155514400536       0.9642471214790653      0.14209905197665226    0.0029628818856919006            1.1826675745396642            -540.6404278716082           -1312.8394748775918            -1037.545592708966           -42288.457018827336
                       36       500.05556559687966       0.2882371201509287       0.9949178540383485       0.1714676637151958     0.002686631737939581            0.7279053875208774             5292.152654106985            -859.5328888816312           -34.957940812319066             35929.50741372647
                       37        545.3825506932506      0.24925433656165158       0.9795824873315624       0.1567833574369115    0.0028247568156630383            0.9460256222837415            2425.6772989161846           -1026.8587790278616            -465.4404101813725            -3716.344468699617
                       38        568.0460432414361      0.22976294476701298       0.9719148039781658      0.14944120429776933     0.002893819354524766            1.0622039781083004             957.1744145233652            -1153.693120755861            -732.1334972658633           -23139.805651524628
                       39        556.7142969673432       0.2395086406643323       0.9757486456548641      0.15311228086734044     0.002859288085093902            1.0035365392013773             1694.799581784423           -1086.4106339028012            -594.1339025099523           -13461.875829250403
