                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1       272.05265798242925       0.3879611727697113       1.7078839822371708      0.31232926414833095     0.008508285191958738   -5.406027850696135e-06       416.12388204984825     0.006065823674968082      0.03238488406238098      0.00833773408976259       0.6934870382902026        1.100115732742288                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0              117.159725318617             29901.74955957176             3136.135406088798             2266.347164922321            1236762.7949067892             80307740.97941016             2409.462560501037            18870699.186291564            -46593.25339136444            -63076.69599077405            5671.3400641913595            -670120.1952852122
                        2        272.0526564196223      0.38796117274647196        1.707883980594442       0.3123292641479243     0.008508283543071395   -5.406027850738242e-06        416.1238815003125     0.006065798637730206      0.03238488412747662     0.008337734173829794       0.6934870382827685       1.1001157366165124        -7.814034859165986e-11       -2.0657204342139974e-09       -1.4602034149725618e-09         -3.61488616817951e-11       -0.00036641940947484345        -9.357078853546338e-06        -4.396285930852173e-10          -0.03244826028707404        1.3019128830560332e-08        1.6813440917307076e-06        -3.717082197596255e-10          8.60938777059851e-08            117.15954458865714            29901.721984686625            3136.1378937036366            2266.3457366926054            1236761.6103422923             80307497.98866262             2409.459054260509             18870665.89297689             -46593.1982862349           -63076.600325223146             5671.340867598073            -670119.2214703035
                        3       272.05265778896614        0.387961172758634        1.707883979851399      0.31232926414806955     0.008508284439394082   -5.406027850665827e-06        416.1238819545029     0.006065823732524912      0.03238488408376472     0.008337734101409772       0.6934870382821607        1.100115733418883        -9.673155432210479e-12        -9.846493990532204e-10        -2.120686046522577e-09       -2.3235734324266053e-11        -0.0001672365903167735         6.735229537478527e-06        -7.627627383044456e-11         7.459365163053899e-05        4.2767483998673575e-09        2.3294366435777647e-07         -4.02095023943616e-10        1.5035444494376154e-08            117.15972329304562            29901.749535426185            3136.1355556922495             2266.347168848078            1236762.8938371844             80307740.34923694            2409.4625569098225             18870699.18015435            -46593.25220647468            -63076.69567414386             5671.340079954312            -670120.1941313719
                        4       271.16378400560416       0.3879479549893513       1.7069496509872977      0.31232903282983177     0.007570451493828529   -5.406051800275035e-06        415.8113239380502    -0.008174546040384742      0.03242190835683766      0.00838554879212886       0.6934828099865336       1.1023192661742716        -4.444369884125479e-05        -0.0011749138097785464        -0.0008305166665538463        -2.056164437232629e-05           -208.40748847337974            -5.322128644434935       -0.00025004648943845496            -18455.51915109726          0.007404858891336962            0.9562940473254247       -0.00021141518345424434          0.048967409599636684            17.225036984859475            13495.316796800675             3694.226704705416            1426.7555814212617            402091.14579625864            -79436586.80122605            414.23006591430783            -81643.09646718987           -16922.765571755084           -13267.227101969227             6165.903477818147           -116706.68098961315
                        5       271.16377555779445       0.3879479546037246        1.706949579841094      0.31232903282041813    0.0075704317838545965   -5.406051798743655e-06         415.811320464494    -0.008174542057709823     0.032421909226112704      0.00838554944225077       0.6934828096893675       1.1023192909818729        -4.444412123174004e-05          -0.00117494808770719        -0.0008305799076237086       -2.0562481140018463e-05           -208.41186846758697            -5.321788337654603       -0.00025004926828341926           -18455.513989550567         0.0074050327463451296            0.9563070497636134       -0.00021143004175772082           0.04896796087966572             17.22505680350935             13495.32527393593             3694.226932276422            1426.7564174591864              402092.029300287            -79437042.28202264            414.23020082633315            -81640.78065164236            -16922.76226262371           -13267.249331091312             6165.904139119766            -116706.7190552459
                        6       239.65502825908243       0.3865096391648225        1.441587575040126      0.31229392186589855     -0.06594407683310136   -5.400340035799245e-06       402.85560691210884    0.0066800889415516455      0.03566414221574162     0.010810382312750416       0.6923744356887469       1.1948469944522775        -0.0016198814861673413          -0.12902520932344982           -0.2367079175084843        -0.0031415362162137386            -16544.96933890224            1263.9588659755552         -0.010614620110191528             796.0877854922983            0.6558516306721287            49.452964459756544         -0.055630130072786825            2.1051391491108795              285.670992551784            65473.266643186675            -6321.022984645466             4011.674400909479            483648.42055892374               87164685.956866            1907.4837339913668            15853838.015950006           -364667.43675065413           -186752.72798046083             4673.220313714914            -538654.5729993694
                        7       255.40940613234352       0.3872287970770869       1.5742686130137127      0.31231147734786513    -0.029186812669636415   -5.403195918037141e-06        409.3334654250795   -0.0007472285494165495      0.03404302528628964      0.00959796555243964       0.6929286228376402       1.1485831303132745        -0.0008321625925042866          -0.06510006156661419          -0.11876921708751828        -0.0015810489302954995            -8376.688413687812             629.3183686654661         -0.005432333299814991            -8829.715682802482            0.3316282447817328               25.204629253541         -0.027920772628120535             1.077053279355258            1952.9434830751252             675471.4950509287               22265.203236278            28790.570364986943            13018850.637179106            2238081102.7278156            1079.9025670270357             7907171.119206969           -3566504.2735053003           -2065113.3101919761            4645.8656701518885             -319788.361559639
                        8       263.28659506897384       0.3875883760332191        1.640609132000506       0.3123202550888485    -0.010808180587903941   -5.404623859156087e-06       412.57239468156484    -0.004460887294900647      0.03323246682156365     0.008991757172284249       0.6932057164120868       1.1254511982437732       -0.00043830314567277074          -0.03313748768819637          -0.05979986687703527        -0.0008008052873314458            -4292.547951080595             311.9981200107038         -0.002841189894626723           -13642.617416949872           0.16951655183653488            13.080461650433195         -0.014066093905790165            0.5630103444774498            119.49802121289939              40384.1006214552            2648.9626411281242            2402.6418982555165              929668.220885269             162359796.4335283             927.8230726146071             5123101.644219139            -164152.5834195048           -121253.76643980865             4911.418640137859           -260768.80320995252
                        9         267.225189537289      0.38776816551128523       1.6737793914939019       0.3123246439593401   -0.0016188645470377062   -5.405337829715561e-06        414.1918593098075    -0.006317716667642695     0.032827187589200654     0.008688652982206554       0.6933442631993102       1.1138852322090222       -0.00024137342225701277          -0.01715620074898499          -0.03031519177179456       -0.00041068346585188605           -2250.4777197769877            153.33799568313444         -0.001545618192032589           -16049.068284023566           0.08846070536393523             7.018377848879292         -0.007138754544622205            0.3059888770385408             434.6958211011201            192001.36327760658              9070.68079227167             9135.231004110652            11825510.108269133            1996834063.1334143             618.7421171726987            2392897.7097485275           -407426.09670077433            -587082.1466135925             4957.547299374126           -178074.35648798817
                       10        269.1944867714467      0.38785806025031827       1.6903645212405998       0.3123268383945859    0.0029757934733954123   -5.405694814995298e-06       415.00159162392885     -0.00724613135401372      0.03262454797301916     0.008537100887167708       0.6934135365929219        1.108102249191647       -0.00014290856054912808         -0.009165557279381767         -0.015572854219174204       -0.00021562255511457332           -1229.4426041251834             74.00793351934975        -0.0008978323407355219           -17252.293717560417           0.04793278212763679             3.987335948102376         -0.003675084864035449            0.1774781433190912            17.250318962612614            10596.066025575661            3656.2751820969784            1507.1766554282037            -30970.93020740967            -614951564.2295814             421.8460839769694             299082.9867510909           -11822.245431768206            -7571.827710226091             6726.621415458551           -118930.48754978979
                       11        269.1944687580931      0.38785805953693464       1.6903643706253018      0.31232683837383857      0.00297577919627514  -5.4056947982555055e-06        415.0015841405102    -0.007246147115242797       0.0326245494828828     0.008537101907841913       0.6934135359245618       1.1081023026587224       -0.00014290946121680862         -0.009165620691259984         -0.015572988099439102       -0.00021562439932330967           -1229.4457768185773             74.01165347328418        -0.0008978383274704356           -17252.314144113298           0.04793308410036417            3.9873563615864733        -0.0036751182820426993           0.17747933147632305             17.25017452244985            10595.978192804943             3656.271474828868            1507.1737146026237           -30990.125233956896            -614959311.6950234             421.8430682690946            299056.43082935276           -11822.168452845366           -7571.6472406155635             6726.627326383098           -118929.65431536677
                       12       269.19446437506053        0.387858059366286       1.6903643240263158       0.3123268383675385    0.0029757949702576628   -5.405694788968093e-06       415.00158223376764    -0.007246129104592451     0.032624549861247555     0.008537102034161569       0.6934135357030489       1.1081023163522734       -0.00014290968036843594          -0.00916563586002993         -0.015573029520759993       -0.00021562495932967192           -1229.4422714891277             74.01371734265791        -0.0008978398528644903            -17252.29080231045           0.04793315977331541             3.987358887979596        -0.0036751293576886552            0.1774796357774555            17.250310994302012            10596.070936477276            3656.2753178585103            1507.1768443433023            -30969.70736025714            -614950934.4457823             421.8458544943252             299082.2136878504            -11822.24404819019            -7571.840451521143             6726.620671754905           -118930.42325503226
                       13        269.1944841181071      0.38785805998271283       1.6903644261159112      0.31232683837706243     0.002975793241550434   -5.405694775110825e-06       415.00159071549007    -0.007246130850087803      0.03262454747510058     0.008537101188187582       0.6934135361034292       1.1081022559891847       -0.00014290869321610843         -0.009165581066531795         -0.015572938774452932       -0.00021562411275747687           -1229.4426556462897              74.0167967356434        -0.0008978330674865447           -17252.293064472426           0.04793268254392052            3.9873419684998552         -0.003675109338674431            0.1774782943754833            17.250318440188284            10596.066128061753             3656.274878750543            1507.1767153693768           -30971.175572102795            -614951679.4603841            421.84608890816463             299083.2065952764           -11822.245316296454            -7571.832587472906             6726.621357731913           -118930.48969004325
                       14       269.19448809538903      0.38785805958871244       1.6903644691230557      0.31232683837475955    0.0029757924392202215   -5.405694798599459e-06          415.00159146329     -0.00724613245746275     0.032624548349130304     0.008537104493254514       0.6934135362289345       1.1081022519817718       -0.00014290849435201098         -0.009165616088788495         -0.015572900545880033         -0.000215624317457931           -1229.4428339418926             74.01157703910154        -0.0008978324692465777           -17252.295147630357          0.047932857349865236             3.987408069838494         -0.003675103063405238           0.17747820532186448             17.25030881213355            10596.059877845422             3656.275073632711            1507.1765013390248           -30972.324631087526            -614952138.8529081            421.84588410452596            299081.20934106724           -11822.239886771114            -7571.814229201646             6726.621755750661           -118930.43256709172
