                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data               background                    Costf
                        1        499.8770565488254       0.6474535987067729       2.3692100429651455       0.4188175537268832     0.005262763928797411  -3.1569665892742026e-06        407.7735818327325    0.0048032021389484226      0.08196785345197788     0.016054459206938657        0.409669889315603       1.1082568179336263       138422.98485552194                      0.0       138422.98485552194
                        2       499.87705547363635       0.6474535986531492       2.3692100422975306       0.4188175537267398     0.005262761764008856  -3.1569665893986817e-06       407.77358128544614    0.0048031765811670695      0.08196785351488554     0.016054459265876026       0.4096698893106759       1.1082568219808833       138422.53965923158    4.237947888513861e-10       138422.53965923202
                        3       499.87705646189124       0.6474535986815365       2.3692100416196666       0.4188175537268387     0.005262763115602265    -3.15696658930975e-06        407.7735817319019     0.004803202214581062       0.0819678534673851     0.016054459204688593      0.40966988931038223        1.108256818679883       138422.98427860104     7.71943639350115e-14       138422.98427860104
                        4        499.3328401487936       0.6474264566240886        2.368872124022058      0.41881748113953454     0.004167037147529163  -3.1570295956198726e-06       407.49656804889804    -0.008133093850267385      0.08199969472062753     0.016084290874291644       0.4096673954186649       1.1103053727206769        25806.38492030679       108.57484026168001       25914.959760568472
                        5       499.33283617389134       0.6474264555820362        2.368872077025589      0.41881748113778877     0.004167022168764595  -3.1570295960447646e-06        407.4965634478584     -0.00813308779541359      0.08199969542997121      0.01608429092041165       0.4096673951772939       1.1103054069066296       25806.375352293606       108.57474239942778       25914.950094693035
                        6       499.31950380006424       0.6474229821505846        2.368715655761503       0.4188174753071283     0.004116751756140996   -3.157031019948101e-06       407.48122916293494    -0.008114359181938324      0.08200206154734366     0.016084452692992714      0.40966659154870744       1.1104193409667207        25774.50405710988       108.27350731526649       25882.777564425145
                        7        478.9250822732995       0.6420763999049517        2.127585045666261       0.4188085182517225     -0.07273623754243544  -3.1592110555048292e-06        383.8741249612528      0.02295345419760306      0.08564157398826548     0.016321078066250227      0.40842815952990236       1.2858212973405063        417225.9023709989        890.0735059240524       418115.97587692295
                        8       489.12896121104654       0.6447514282645201        2.248228584844159       0.4188129996956285     -0.03428460019745313   -3.158120325562351e-06        395.6853465050754    0.0074101801736678385       0.0838206343544465     0.016202684470270935      0.40904777747428367       1.1980633350305916       126847.72859204533       178.33949099889148       127026.06808304421
                        9       494.23090067991984       0.6460889424443044        2.308550354433108       0.4188152404175815    -0.015058781524961984   -3.157574960591112e-06        401.5909572769867  -0.00036145683829977293      0.08291016453753702     0.016143487672281288       0.4093575864464743       1.1541843538756342        51476.15201396007        63.21099510679206        51539.36300906686
                       10        496.7818704143567       0.6467576995341965       2.3387112392275835        0.418816360778558   -0.0054458721887164115  -3.1573022781054923e-06       404.54376266294236    -0.004247275344283578      0.08245492962908227     0.016113889273286466      0.40951249093256964       1.1322448632981557       29158.290694838983         65.8313750533626       29224.122069892346
                       11       498.05735528157516       0.6470920780791425         2.35379168162482      0.41881692095904627   -0.0006394175205936235  -3.1571659368626824e-06        406.0201653559202    -0.006190184597275481       0.0822273121748549     0.016099090073789055       0.4095899431756173       1.1212751180094163        23004.94530946476        82.18772199980296       23087.133031464564
                       12       497.41961284796594       0.6469248888066694       2.3462514604262017       0.4188166408688021   -0.0030426448546550192   -3.157234107484087e-06        405.2819640094313    -0.005218729970779529      0.08234112090196859     0.016106489673537762       0.4095512170540935        1.126759990653786        24332.79872638128        72.75570211215317       24405.554428493433
                       13       497.73848406477055        0.647008483442906       2.3500215710255112      0.41881678091392416   -0.0018410311876243214   -3.157200022173385e-06        405.6510646826757    -0.005704457284027505      0.08228421653841175      0.01610278987366341      0.40957058011485536        1.124017554331601        23406.55831879628        77.15825045237067       23483.716569248652
                       14       497.89791967317296       0.6470502807610243       2.3519066263251656      0.41881685093648524   -0.0012402243541089729  -3.1571829795180337e-06       405.83561501929796    -0.005947320940651492      0.08225576435663333     0.016100939973726233       0.4095802616452363       1.1226463361705088       24314.470753607104        79.59462082518496       24394.065374432288
                       15       497.97763747737395       0.6470711794200834       2.3528491539749936       0.4188168859477657   -0.0009398209373512991   -3.157174458190358e-06        405.9278901876091    -0.006068752768963486      0.08224153826574411     0.016100015023757644       0.4095851024104268       1.1219607270899625       23932.250674535237        80.87158006226849       24013.122254597503
                       16       498.01749637947455        0.647081628749613       2.3533204177999076        0.418816903453406   -0.0007896192289724617    -3.15717019752652e-06        405.9740277717646   -0.0061294686831194845      0.08223442522029951      0.01609955254877335        0.409587522793022       1.1216179225496894        24036.87069247125        81.52475319347938        24118.39544566473
