                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data               background                    Costf
                        1        753.8951681228325       0.2596874428867646       0.8606300392943155      0.14260161494403772     0.006183181492941499    8.373967921583723e-07       412.98681871907695      0.00543429855849835      0.24657890264579024    0.0058107327446222596        0.893261180793959       1.0650347567764529       192499.84676055086                      0.0       192499.84676055086
                        2        753.8951674257447      0.25968744285667644        0.860630043298821      0.14260161494292828      0.00618317897820822    8.373967919795103e-07       412.98681813295985     0.005434271938339101       0.2465789026672611     0.005810732928772307       0.8932611807917301       1.0650347608625708       192499.28232683367   4.5989744034781586e-10       192499.28232683413
                        3        753.8951680308796       0.2596874428750675       0.8606300408099923      0.14260161494353576    0.0061831806341685796    8.373967920883029e-07       412.98681861063784     0.005434298647430762      0.24657890265215315     0.005810732835046744       0.8932611807910422        1.065034757578622       192499.84599343807    8.716331396250615e-14       192499.84599343807
                        4         753.487896228966       0.2596698639586883       0.8629696621306309      0.14260096675518527     0.004713954366270735    8.372922925177435e-07        412.6443811480259    -0.010118468177367224       0.2465914469412972     0.005918321985885922       0.8932598785428207        1.067422061703431       27806.368455990563        156.9838626241805       27963.352318614743
                        5         753.487892310735      0.25966986347370746       0.8629697686839979        0.142600966732618     0.004713942419810417    8.372922910116758e-07       412.64437614434377     -0.01011846051176906      0.24659144724318427     0.005918325757382513        0.893259878401631       1.0674220988592316        27806.35652745736       156.98371202570036        27963.34023948306
                        6        753.4877577860634       0.2596698474064677       0.8629732524167046       0.1426009659888109     0.004713528561756083    8.372922395785213e-07       412.64420947972695    -0.010118363191758677      0.24659145723429463    0.0059184493716403245       0.8932598737764511       1.0674233348794913       27805.973749505974       156.98188594327638       27962.955635449252
                        7        751.8511382811016       0.2594672734681601       0.9074800733546802      0.14259153974720135  -0.00027642628040712176    8.366631646568021e-07        410.5541989547507    -0.006916326982211775       0.2467175538621604     0.007493784766672088       0.8932008995020773        1.082943110042037        24139.41143331413       103.51621514360815        24242.92764845774
                        8        743.6673485417797       0.2584543210155193       1.1300321294749232      0.14254440470728164    -0.025228329513796405    8.335175253520955e-07        400.1032879883744     0.009094378993565466       0.2473480884664765     0.015371098670602913       0.8929060042983599       1.1605483517350665       191024.23554753562       119.42894607970565       191143.66449361533
                        9        747.7592434114406      0.25896079724183974       1.0187561014148017       0.1425679722272415    -0.012752377897101763    8.350903450044488e-07        405.3287434715625     0.001089026005676846      0.24703282116431846     0.011432441718637502       0.8930534519002187       1.1217457308885517         85161.0527098644       52.461962207707046         85213.5146720721
                       10        749.8051908462711       0.2592140353549999       0.9631180873847409      0.14257975598722142    -0.006514402088754443    8.358767548306256e-07        407.9414712131566    -0.002913650488267466      0.24687518751323942     0.009463113242654794        0.893127175701148       1.1023444204652944        49609.00789573304        63.23643407467015        49672.24432980771
                       11        750.8281645636863      0.25934065441158005       0.9352990803697097       0.1425856478672114   -0.0033954141845807815    8.362699597437138e-07       409.24783508395365     -0.00491498873523962       0.2467963706876999     0.008478449004663442       0.8931640376016126       1.0926437652536656        36636.50608381571        79.68816095889228         36716.1942447746
                       12         751.339651422394       0.2594039639398701       0.9213895768621949      0.14258859380720637   -0.0018359202324939516     8.36466562200258e-07       409.90101701935214    -0.005915657858725699      0.24675696227493016     0.007986116885667765        0.893182468551845       1.0877934376478513       30585.713927008834        90.68014713868851       30676.394074147523
                       13        751.5953948517478       0.2594356187040151       0.9144348251084384      0.14259006677720384   -0.0010561732564505358      8.3656486342853e-07        410.2276079870514    -0.006415992420468738       0.2467372580685453    0.0077399508261699265       0.8931916840269611       1.0853682738449442        26947.93590767612        96.86767091300791        27044.80357858913
                       14        751.7232665664246       0.2594514460860876       0.9109574492315584       0.1425908032622026   -0.0006662997684288288    8.366140140426661e-07       410.39090347090104   -0.0066661597013402555      0.24672740596535286     0.007616867796421007       0.8931962917645193       1.0841556919434905        26284.31737130533        100.1343154712729       26384.451686776603
                       15        751.7872024237631      0.25945935977712387       0.9092187612931202      0.14259117150470196   -0.0004713630244179744    8.366385893497342e-07       410.47255121282586    -0.006791243341776015      0.24672247991375665     0.007555326281546548       0.8931985956332983       1.0835494009927638       24065.393615421395       101.81085841818175       24167.204473839578
                       16         751.755234495094      0.25945540293160574       0.9100881052623393      0.14259098738345227   -0.0005688313964234025    8.366263016962001e-07       410.43172734186345    -0.006728701521558136      0.24672494293955474     0.007586097038983777       0.8931974436989087        1.083852546468127       24768.295264194105       100.96898522241264       24869.264249416516
                       17        751.7712184594286       0.2594573813543648       0.9096534332777289      0.14259107944407712   -0.0005200972104206893    8.366324455229672e-07       410.45213927734466    -0.006759972431667076       0.2467237114266557     0.007570711660265163       0.8931980196661036       1.0837009737304455       24172.684261577942       101.38902138971852        24274.07328296766
                       18        751.7792104415958       0.2594583705657444       0.9094360972854254      0.14259112547438954   -0.0004957301174193319    8.366355174363507e-07       410.46234524508526   -0.0067756078867215455      0.24672309567020617     0.007563018970905855       0.8931983076497009       1.0836251873616045        25705.87351183059       101.59971479630546       25807.473226626895
                       19        751.7832064326795       0.2594588651714341       0.9093274292892719      0.14259114848954577  -0.00048354657091865313    8.366370533930424e-07       410.46744822895556     -0.00678342561424878       0.2467227877919814     0.007559172626226201       0.8931984516414996       1.0835872941771842       26016.418424050626       101.70523033033244       26118.123654380957
                       20        751.7852044282213        0.259459112474279        0.909273095291196      0.14259115999712388  -0.00047745479766831377    8.366378213713883e-07        410.4699997208907    -0.006787334478012399      0.24672263385286902     0.007557249453886375       0.8931985236373989        1.083568347584974        23372.50612951605        101.7580303050293        23474.26415982108
                       21        751.7862034259923      0.25945923612570143       0.9092459282921581      0.14259116575091293   -0.0004744089110431445    8.366382053605612e-07        410.4712754668583    -0.006789288909894207      0.24672255688331282     0.007556287867716461       0.8931985596353487       1.0835588742888689       23629.968623493685       101.78444084429859       23731.753064337983
                       22        751.7857039271067       0.2594591742999902       0.9092595117916762       0.1425911628740184  -0.00047593185435572914    8.366380133659748e-07       410.47063759387447    -0.006788311693953302      0.24672259536809094     0.007556768660801417       0.8931985416363737       1.0835636109369213       23414.646319918193        101.7712346953372        23516.41755461353
                       23        751.7854541776641       0.2594591433871346       0.9092663035414361      0.14259116143557113  -0.00047669332601202145    8.366379173686814e-07        410.4703186573826    -0.006787823085982852      0.24672261461047998     0.007557009057343896       0.8931985326368863       1.0835659792609476       23349.222728366003       101.76463228035159       23450.987360646355
                       24        751.7853293029426       0.2594591279307068        0.909269699416317       0.1425911607163475   -0.0004770740618401685    8.366378693700348e-07       410.47015918913667   -0.0067875787819976245       0.2467226242316745     0.007557129255615135       0.8931985281371426       1.0835671634229609       23344.463141415654       101.76133123773253       23446.224472653386
                       25        751.7853917403033       0.2594591356589207       0.9092680014788765      0.14259116107595932  -0.00047688369392609453    8.366378933693582e-07        410.4702389232596    -0.006787700933990237      0.24672261942107723     0.007557069156479516       0.8931985303870145       1.0835665713419542        23343.58949584761       101.76298174530257        23445.35247759291
                       26         751.785360521623       0.2594591317948138       0.9092688504475959      0.14259116089615342  -0.00047697887788313107    8.366378813696966e-07        410.4701990561981     -0.00678763985799393      0.24672262182637586     0.007557099206047325       0.8931985292620785       1.0835668673824574       23343.121662106085       101.76215648808265       23444.883818594168
                       27        751.7853761309631      0.25945913372686724       0.9092684259632353      0.14259116098605634  -0.00047693128590461323    8.366378873695273e-07        410.4702189897289    -0.006787670395992085      0.24672262062372655    0.0075570841812634204       0.8931985298245465       1.0835667193622058       23343.141615208428        101.7625691158339       23444.904184324263
                       28        751.7853683262931      0.25945913276084054       0.9092686382054165      0.14259116094110488   -0.0004769550818938713     8.36637884369612e-07        410.4702090229635    -0.006787655126993006       0.2467226212250512     0.007557091693655373       0.8931985295433125       1.0835667933723316        23343.07667528673       101.76236280174356       23444.839038088474
                       29        751.7853623235948      0.25945913264508585       0.9092687633795205      0.14259116093384794  -0.00047695869517087354    8.366378772350077e-07       410.47020650538803   -0.0067876536640767435      0.24672262104525783     0.007557091693705368       0.8931985294255715       1.0835668073890794       23343.073179743667       101.76234499430817       23444.835524737977
                       30        751.7853634326575      0.25945913226557726       0.9092688416848418      0.14259116091399843   -0.0004769550747823056    8.366378839419392e-07       410.47020665886697   -0.0067876548962152615      0.24672262142279514     0.007557095444921855         0.89319852930437        1.083566804409327       23343.072589695905       101.76235928543545        23444.83494898134
