                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data               background                    Costf
                        1        976.0396160687574       0.6151103840824501        3.593345184191809        0.209602401832314      0.00995619001381787   -2.222325376419009e-06        356.8417967034433    0.0041813531603571985      0.06946706204019823     0.021164921491332575        0.984983177675519       0.9239473001897555       156500.95039617992                      0.0       156500.95039617992
                        2        976.0396157482986       0.6151103840638379         3.59334518269048      0.20960240183222417     0.009956189442225134  -2.2223253764525884e-06       356.84179628188855     0.004181327715370259       0.0694670620657059       0.0211649214607145       0.9849831776664006       0.9239473035297479       156500.48590812364   4.1958239959682695e-10       156500.48590812404
                        3        976.0396160973761       0.6151103840698442       3.5933451833239385      0.20960240183224027     0.009956189963920843   -2.222325376416114e-06        356.8417966220732     0.004181353187924852      0.06946706203770903     0.021164921453561206       0.9849831776661979       0.9239473008077526       156500.95028003515    7.906228150528105e-16       156500.95028003515
                        4        989.8676381081091       0.6089333956786205       3.1679643318871573      0.20956627942950679    -0.014761810194785983   -2.220927281239473e-06       316.80763057391454     0.003964875004278503      0.06826305463582223     0.002670258363927702       0.9804182539186199       1.2280770188801173       17667.331820961947        73.09388645357188       17740.425707415518
                        5        989.8676380588391       0.6089333956721188       3.1679643316383936      0.20956627942946404     -0.01476181031546367  -2.2209272812652873e-06        316.8076306588887     0.003964874975724767      0.06826305465104879    0.0026702583181907047       0.9804182539179305       1.2280770181371814       17667.331719347796         73.0938871336872       17740.425606481484
                        6         987.963104580411       0.6086820785254781       3.1583483494634637      0.20956462596806574    -0.019426610368585232  -2.2219251347545892e-06        320.0923100684865     0.002861129325092732      0.06885163753755673    0.0009022931563404113         0.98039160301442       1.1993588112358546       15058.334996313059       102.63592023150852       15160.970916544567
                        7        986.9912205708524       0.6085538313096035       3.1534413108538155      0.20956378220621458    -0.021807059245314297   -2.222434339691714e-06         321.768482963777     0.002297887586042539       0.0691519915624012                    1e-07       0.9803780030503051       1.1847039015759666       16142.260110987016       120.21768426038206       16262.477795247398
                        8        987.3156784852512       0.6085966459086513        3.155079497610158      0.20956406389127963    -0.021012360011372612   -2.222264344537687e-06       321.20890223559456    0.0024859226171339106      0.06905172009016393   0.00030129202189980997       0.9803825433204909       1.1895963592943617       14586.420032910883       114.15977310604437       14700.579806016927
                        9         987.227020285696       0.6085849468096378        3.154631862703111        0.209563986920771    -0.021229511759388236  -2.2223107957525297e-06       321.36180779796433      0.00243454200174419      0.06907911929295972   0.00021899123280819457        0.980381302690621       1.1882594941002522       14525.529184193509       115.79635499652841       14641.325539190037
                       10        987.2270130061121       0.6085849458800366       3.1546318302570704       0.2095639869145732     -0.02122952923364315  -2.2223107994961625e-06         321.361820050461    0.0024345379276466033      0.06907912154871261    0.0002189893932076012       0.9803813026177217       1.1882593873210854       14525.514826397937       115.79648512375256        14641.31131152169
