                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data               background                    Costf
                        1        870.0645878463371       0.1526058875139214       3.7893745440685906       0.2455007129768167    0.0061545263737800456    2.251457414523343e-06        320.2465371268325     0.006366625309813837      0.10483208849219411     0.008287011476456779      0.49899459446781796       0.5894457904279968        357685.0909058799                      0.0        357685.0909058799
                        2        870.0645873440186      0.15260588751619836       3.7893745418495186      0.24550071297682127     0.006154524716735157    2.251457414425763e-06       320.24653681736925    0.0063666023482933055      0.10483208850303853     0.008287011329512789       0.4989945944653705       0.5894457924689562       357684.43422239315    3.419513611366337e-10        357684.4342223935
                        3         870.064587805879      0.15260588750950266        3.789374544262105       0.2455007129765867     0.006154525725537951    2.251457414491885e-06        320.2465370634665     0.006366625356508545      0.10483208849297733     0.008287011430270576       0.4989945944648949        0.589445790824333       357685.09025633003    4.812850650801507e-14       357685.09025633003
                        4        869.6022128026973      0.15260798340123527       3.7873319279156537      0.24550071719020328     0.004629246675660528   2.2513675937856936e-06       319.96168185841236    -0.014769036949247192      0.10484207058166573     0.008151752204540114      0.49899234162179307       0.5913244565009284        59627.09055522321        289.7308694021248       59916.821424625334
                        5        869.6022117494158      0.15260798349941024       3.7873319091532274      0.24550071718793137     0.004629244143960629     2.25136759364733e-06        319.9616799092171    -0.014769016551205596      0.10484207066300277     0.008151751131117692       0.4989923415235173       0.5913244698142218        59627.07152189049        289.7303115250311        59916.80183341552
                        6        869.6022107503837       0.1526079835244296        3.787331900797928       0.2455007171868119     0.004629240463328827   2.2513675934447747e-06        319.9616788331091    -0.014769035477819397      0.10484207070888182     0.008151750641373093      0.49899234148429006       0.5913244770217927       59627.082640862965        289.7308312085959        59916.81347207156
                        7        869.6021926596236      0.15260798291755245       3.7873319143042217      0.24550071718140504     0.004629244894453467   2.2513675924163856e-06        319.9616812793685    -0.014769036594107785      0.10484207131120665     0.008151752549830941        0.498992341584277       0.5913244594628714        59627.08905726842        289.7308602777665       59916.819917546185
                        8        858.9042225232157      0.15325059202830943       3.6459157949247327       0.2454830323629757    -0.027745198780348358    2.249590961293351e-06        304.1868494141893    -0.006851909488324289       0.1055054053625228                    1e-07      0.49827523826320397       0.6983275097322396        39804.59777185852       241.84670766539531        40046.44447952392
                        9        864.2532176629564      0.15292928771477238        3.716623861420193      0.24549187477658949    -0.011557976052343915   2.2504792775395223e-06        312.0742656363008    -0.010810473218785739      0.10517373797209426     0.004075926102270057       0.4986337899424985        0.644825983116584        46731.96035508078       226.29469264507333       46958.255047725856
                       10        861.5787200930861       0.1530899398715409       3.6812698281724634      0.24548745356978258    -0.019651587416346136   2.2500351194164366e-06         308.130557525245    -0.008831191353555014      0.10533957166730853    0.0020380130511350285      0.49845451410285124       0.6715767464244118        39566.32311842978        224.1971761830626        39790.52029461284
                       11        860.2414713081508      0.15317026594992517       3.6635928115485976      0.24548524296637914    -0.023698393098347245   2.2498130403548936e-06        306.1587034697172     -0.00784155042093965      0.10542248851491567    0.0010190565255675148       0.4983648761830276       0.6849521280783256        42485.19114372843       230.55356093118604        42715.74470465961
                       12        860.9100957006184      0.15313010291073303       3.6724313198605305      0.24548634826808086     -0.02167499025734669   2.2499240798856653e-06        307.1446304974811    -0.008336370887247332       0.1053810300911121    0.0015285347883512712       0.4984096951429394       0.6782644372513688         41980.8752071422       226.75827330886364        42207.63348045106
                       13        861.2444078968523      0.15311002139113694       3.6768505740164965      0.24548690091893172    -0.020663288836846413    2.249979599651051e-06        307.6375940113631    -0.008583781120401174      0.10536030087921032     0.001783273919743149      0.49843210462289533       0.6749205918378902        43525.72300176135       225.32345093389796        43751.04645269524
                       14        861.4115639949692       0.1530999806313389       3.6790602010944804      0.24548717724435715    -0.020157438126596275   2.2500073595337436e-06       307.88407576830406    -0.008707486236978096      0.10534993627325942    0.0019106434854390883       0.4984433093628733        0.673248669131151       43969.620364026385       224.72174510546407        44194.34210913185
                       15        861.4951420440276      0.15309496025143987        3.680165014633472      0.24548731540706986    -0.019904512771471202   2.2500212394750903e-06       308.00731664677454    -0.008769338795266554      0.10534475397028398    0.0019743282682870593      0.49844891173286227       0.6724127077777814       44166.408434289704       224.44981853100927        44390.85825282071
                       16        861.5369310685569      0.15309245006149041        3.680717421402967      0.24548738448842622     -0.01977805009390867   2.2500281794457633e-06        308.0689370860098    -0.008800265074410783      0.10534216281879626    0.0020061706597110443       0.4984517129178567       0.6719947271010965       33646.051857670434       224.32108682872237       33870.372944499155
                       17        861.5160365562923      0.15309370515646514       3.6804412180182187      0.24548734994774804    -0.019841281432689935    2.250024709460427e-06        308.0381268663922    -0.008784801934838668      0.10534345839454011     0.001990249463999052       0.4984503123253595        0.672203717439439        23688.30613029773        224.3848500477874       23912.690980345516
                       18        861.5264838124245      0.15309307760897778        3.680579319710594      0.24548736721808714    -0.019809665763299303    2.250026444453095e-06         308.053531976201    -0.008792533504624727      0.10534281060666818    0.0019982100618550483       0.4984510126216081       0.6720992222702677        29042.97668104373       224.35281778023534       29267.329498823965
                       19        861.5212601843584      0.15309339138272143       3.6805102688644062       0.2454873585829176    -0.019825473597994615    2.250025576956761e-06       308.04582942129656    -0.008788667719731698      0.10534313450060415      0.00199422976292705       0.4984506624734838       0.6721514698548534       25368.822423009402        224.3687962495065       25593.191219258908
                       20        861.5186483703253      0.15309354826959332       3.6804757434413133      0.24548735426533283    -0.019833377515342275    2.250025143208594e-06        308.0419781438444    -0.008786734827285182      0.10534329644757214     0.001992239613463051      0.49845048739942166       0.6721775936471461        23511.78271039188       224.37681373252073         23736.1595241244
                       21        861.5173424633088      0.15309362671302923        3.680458480729766      0.24548735210654044     -0.01983732947401611   2.2500249263345103e-06        308.0400525051183    -0.008785768381061926      0.10534337742105612    0.0019912445387310516       0.4984503998623906       0.6721906555432926        23053.37991282318       224.38082953612258       23277.760742359304
                       22        861.5166895098005      0.15309366593474721       3.6804498493739928      0.24548735102714425     -0.01983930545335302    2.250024817897469e-06       308.03908968575524    -0.008785285157950299      0.10534341790779812    0.0019907470013650523      0.49845035609387506       0.6721971864913657       23161.671342462392       224.38283920344713        23386.05418166584
                       23        861.5170159865546      0.15309364632388822        3.680454165051879      0.24548735156684234    -0.019838317463684564   2.2500248721159894e-06       308.03957109543677    -0.008785526769506113      0.10534339766442713     0.001990995770048051       0.4984503779781328       0.6721939210173292        23067.07713622611       224.38183422265786        23291.45897044877
                       24        861.5171792249317       0.1530936365184587        3.680456322890823       0.2454873518366914     -0.01983782346885033     2.25002489922525e-06        308.0398118002775     -0.00878564757528402      0.10534338754274163    0.0019911201543895522       0.4984503889202617       0.6721922882803109        23051.29528984125       224.38133184260846        23275.67662168386
                       25        861.5172608441203      0.15309363161574396        3.680457401810294      0.24548735197161592    -0.019837576471433218     2.25002491277988e-06        308.0399321526979    -0.008785707978172973      0.10534338248189888    0.0019911823465603015      0.49845039439132616       0.6721914719118017        23050.23647432972       224.38108068017007        23274.61755500989
                       26         861.517220034526      0.15309363406710136       3.6804568623505585      0.24548735190415366    -0.019837699970141773   2.2500249060025652e-06        308.0398719764877    -0.008785677776728496      0.10534338501232025    0.0019911512504749264       0.4984503916557939       0.6721918800960562       23050.224696910103       224.38120625909036       23274.605903169195
                       27        861.5172404393231      0.15309363284142263       3.6804571320804262       0.2454873519378848    -0.019837638220787494   2.2500249093912226e-06        308.0399020645928    -0.008785692877450737      0.10534338374710957     0.001991166798517615      0.49845039302356003        0.672191676003929       23050.097314546445       224.38114346905547         23274.4784580155
                       28        861.5172399081146      0.15309363331771464        3.680457109209809      0.24548735193845617    -0.019837640708803856   2.2500249112191883e-06        308.0399000233342    -0.008785691924590736       0.1053433828995922     0.001991155313622108       0.4984503928363571       0.6721916893802047       23050.092031706343        224.3811406212864        23274.47317232763
                       29        861.5172348617632      0.15309363313512708        3.680457108153311      0.24548735192954815     -0.01983764278257177    2.250024912118136e-06        308.0398999144306    -0.008785691474814769      0.10534338316623491      0.00199115466177174       0.4984503926960284       0.6721916916219912       23050.092291333556        224.3811438565621       23274.473435190117
                       30        861.5172311258248       0.1530936411920868        3.680456731097686      0.24548735194790272    -0.019837681842330056    2.250024941440317e-06       308.03986627590166    -0.008785676171281244      0.10534336888787671    0.0019909654377605673       0.4984503897413953       0.6721919105256096        23050.04954680215       224.38109354084375       23274.430640342995
                       31        861.5172302348786      0.15309364156804445       3.6804567078216213        0.245487351947331    -0.019837685177311187    2.250024942683735e-06       308.03986407264637    -0.008785675014276982      0.10534336830425785     0.001990956719113904       0.4984503894592753       0.6721919236351934       23050.045420611135       224.38109122939613        23274.42651184053
                       32         861.517231126139      0.15309364119195534       3.6804567311054326      0.24548735194792132     -0.01983768184114506   2.2500249414413992e-06         308.039866269191    -0.008785676128928025      0.10534336888809123     0.001990965441008856      0.49845038963278143       0.6721919110494463        23050.04944231058       224.38109270291469       23274.430535013496
