                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                 backgr_grad_h             backgr_grad_alpha           backgr_grad_sca_sto                backgr_grad_wg        backgr_grad_gammatheta            backgr_grad_gammaq               backgr_grad_CO2            backgr_grad_advCO2               backgr_grad_z0m               backgr_grad_z0h             backgr_grad_FracH  backgr_grad_obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                        1        695.6546179332169       0.6040335454744503      0.16651145846027215      0.41568568670719086   -0.0011596922691037214  -3.9425084548611525e-07        333.9632780214756      0.00571140826721505        0.315295689775556     0.010763796504690889       0.3507821446310416        1.360681692093125                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0                           0.0            -33.51783306367029            -31890.51589415132           -29116.032428358674           -1209.5323707757452           -5175971.3587671425            -853396466.1052417            -436.3320677659068            -811510.0377532451              9832.51297210575             45694.86131648786            -212.4270914062522             124326.2136507433
                        2        695.6546195930895       0.6040335455664657       0.1665115150809786      0.41568568670799666   -0.0011596670217375663   -3.942508438248908e-07        333.9632782597235     0.005711412261675735       0.3152956896927753       0.0107637962775035       0.3507821446320754       1.3606816887213773         8.299363116748282e-11         8.179146249176483e-09        5.0329516850429926e-08          7.16266552242612e-11          0.005610525812264128         0.0003691609929733024         1.905983026517788e-10          0.005176821047711555       -1.6556134241341166e-08        -4.543747773866347e-06         5.168920846898572e-11        -7.492772821946245e-08           -33.435277969869915           -31733.023984711224            -29106.35686940592           -1205.9840815989219            -5160065.337952575             -850693547.285174           -436.29578984825224            -811159.8241136728             9805.693733144315            45526.769357181794           -212.44703250615672             124315.2854746977
                        3         695.654618267246       0.6040335454161521      0.16651151053853575      0.41568568670722517   -0.0011596923822600194  -3.9425084554633177e-07       333.96327826062895      0.00571141180752564      0.31529568976628364     0.010763796552100817       0.3507821446321411        1.360681688713971        1.6701454796930195e-11        -5.182067121091273e-09          4.62917898581673e-08         3.049412574303763e-12       -2.5145843981515413e-05       -1.3381450029416415e-05        1.9132266970700585e-10           0.00458824252441703       -1.8544721314128763e-09         9.481985682735505e-07         5.497269306431462e-11        -7.509231261495744e-08            -33.51782420271717            -31890.51080828465            -29116.03169798552           -1209.5321994732624            -5175972.027571182            -853396566.3934599            -436.3316774118159            -811506.3268230824             9832.511427910267            45694.861992238715           -212.42689550393158            124326.10562566177
                        4        695.6546182811762       0.6040335453727151      0.16651154032774684       0.4156856867071845   -0.0011596922243409507   -3.942508455745513e-07       333.96327833279616     0.005711408083621052       0.3152956897673247       0.0107637965874408      0.35078214463248314       1.3606816876685286        1.7397968576915447e-11        -9.043126741264334e-09         7.277108861182391e-08        -5.674473236973023e-13         9.947282388221722e-06       -1.9652458454413627e-05         2.490564384061145e-10       -0.00023793782094605476       -1.6462609053746744e-09        1.6549982218005965e-06         7.207567875866515e-11        -9.832436593310629e-08           -33.517526475811025           -31889.928099469947           -29115.992141326864           -1209.5190357255174            -5175912.213230922            -853386414.2591445           -436.33193319040333            -811508.8132813658              9832.41370057718            45694.241996122146             -212.426917312079            124326.17250644148
                        5        695.6550601695541       0.6040334133959852       0.1666170923534125       0.4156856866949651   -0.0011597639432478091   -3.942509684167238e-07       333.96367979493056     0.005711166340094648       0.3152956795288693      0.01076390469852641      0.35078214649115436       1.3606759819676468         2.211181686107011e-08       -1.1740308014651646e-05         9.389679390251851e-05        -1.086735639748642e-09          -0.01592758757504463         -0.027317913009450516         3.214187639514421e-07          -0.31353754804090694       -2.0493373442675984e-06         0.0021638767104190104         9.300563652558934e-08       -0.00012689167729402267            -33.54457354468289           -31937.821702271518           -29113.547531980457           -1210.4790239422912            -5181038.242446896            -854255894.3818672            -436.3420769843265            -811703.4842260865             9841.628600816124            45755.753551137255           -212.09952764420515            124328.49542623335
                        6        695.6546182382834       0.6040335453512958      0.16651145681949941      0.41568568670647954   -0.0011596921366617767   -3.942508455636701e-07        333.9632782157033     0.005711408170106574       0.3152956897451061     0.010763796363035283        0.350782144623229       1.3606816894354146        1.5253328911057907e-11       -1.0947065476329954e-08       -1.4584646576862621e-09        -6.322843483354114e-11         2.943154328467294e-05        -1.723441467693239e-05        1.5538216757704505e-10       -0.00012585258460373616        -6.089984072588094e-09       -2.8331121129654413e-06        -3.906319712143613e-10       -5.9060233247186666e-08            -33.51739807114239           -31889.686145622374           -29115.981543792604           -1209.5136792525032            -5175887.549699428            -853382224.4575272            -436.3318740695916             -811508.216016713             9832.371655529232             45693.97606690784            -212.4272010175714             124326.1553057677
                        7        698.2433367155513       0.6032738430346631       0.7734647295773467      0.41568561214882815   -0.0015390984543819314    -3.94955498821904e-07        336.2900395364862      0.00547881340284514       0.3152345179197493     0.011379309129134986       0.3507926852712122       1.3276220059067287         0.0001294359391167234          -0.06752910575886042            0.5395140187707329        -6.627410018309219e-06            -84.31248561737999           -156.58963017527387          0.001861409212008448           -301.44294422340323         -0.012234371161334854             12.31025248888195         0.0005270320085293266           -0.7346596930310293            11.891115053688607             55884.60990848499            -7101.977555476076             806.0742677334666             2496966.336285796            434919231.26061463           -244.37971497241918            468341.48434798693             -5959.16362061935            -52234.67326848577             986.6633087471506             67986.69436078734
                        8        711.1869306272235       0.5994753308357275       3.8082310851627277       0.4156852393570145   -0.0034361293807729813  -3.9847876550084743e-07       347.92384711153886     0.004315839080995592        0.314928658640716     0.014456872251355474      0.35084538847206526       1.1623235749747467         0.0007766156347003346          -0.40517463455314284            3.2370841126244048        -3.976446011972396e-05           -505.87491370427995            -939.5377810515962          0.011168455272050596            -1808.657665340417          -0.07340622696799802              73.8615149332917          0.003162192051181511            -4.407958158186186             92.71383495676761             119098.7365866795              5264.49529879426            1258.6279015292605             8963204.276094114            1502215230.2078187             778.9252227483491             7184182.481429724           -42097.413711464054            -37815.39945472478            2335.8384679385763            -195956.4951684139
                        9        704.7151336713874       0.6013745869351954        2.290847907370037      0.41568542575292133   -0.0024876139175774564  -3.9671713216137565e-07        342.1069433240125     0.004897326241920366       0.3150815882802327      0.01291809069024523      0.35081903687163873       1.2449727904407377        0.00045302578690852897          -0.23635187015599177            1.8882990656975687        -2.319593506901659e-05              -295.09369966083            -548.0637056134233            0.0065149322420295           -1055.0503047819102          -0.04282029906466089             43.08588371108681          0.001844612029855419           -2.5713089256086077            109.21001358122736            187383.79750136982             5224.742082623798            2582.6787702003007             14404163.79927735             2410625588.403113             232.1315309823596            3575962.2349806353            -50285.09542348798            -206822.1876199917            2031.2582497138405             -58652.1841424647
                       10        704.7151336845817       0.6013745868903443        2.290847923129598      0.41568542575119355    -0.002487613927756896   -3.967171331000093e-07       342.10694327835023     0.004897326187796561       0.3150815884321392     0.012918090731114837      0.35081903686208604       1.2449727903788532        0.00045302578756824236          -0.23635187414275824            1.8882990797060673        -2.319608864986833e-05            -295.0937019229277            -548.0639141986746           0.00651493220549969           -1055.0503749263617          -0.04282026868336341            43.085884528478964         0.0018446115522208204           -2.5713089269838187            109.21004002823015             187383.8411000747            5224.7426440773115             2582.679430122502            14404167.564065963             2410626217.128115            232.13151596293778            3575962.1160153784           -50285.107722342305           -206822.24164377523            2031.2582632817325            -58652.18050580112
