                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h
                       21        644.4166376748076      0.15698489675315452       0.8442953421475002      0.14148505748655874     0.002776491161075884  -1.7103924073039815e-06        416.9513626002548  -0.00012780695028127668      0.10536046539808283      0.00865027054436919            2.0409254445475007            -5453.226442746707            -5496.647671498625            -2279.655331835077           -392762.58573886106            -28557834.96453171            15.263970943066148            24430.191579972532             767.0582493342313            15072.724453897437
                       22        644.4166376805459      0.15698489706126684       0.8442953417962468       0.1414850574851979    0.0027764911686899946  -1.7103924158761104e-06        416.9513625589032  -0.00012780694939642807      0.10536046539242118     0.008650270544429255            2.0409254353908763            -5453.226403336507            -5496.647679000678           -2279.6553247992374           -392762.58075956046            -28557834.55045707            15.263970526874038            24430.189215193273             767.0582434654266            15072.724349608903
                       23        644.4166376720085      0.15698489662187104       0.8442953423211597      0.14148505748783144    0.0027764911626127434  -1.7103924044695973e-06       416.95136261101044  -0.00012780695103318997      0.10536046540047113     0.008650270541221087             2.040925449092531            -5453.226444871493            -5496.647665645373           -2279.6553317485846           -392762.58407016995            -28557834.42562172            15.263971092473696            24430.192447950896              767.058247786977            15072.724453928195
                       24        644.4166376732247      0.15698489668750548       0.8442953422473155      0.14148505748755275    0.0027764911620356985  -1.7103924115850872e-06       416.95136260373584   -0.0001278069508910771      0.10536046539929259       0.0086502705412779            2.0409254430553365             -5453.22644657798            -5496.647668116156           -2279.6553322347318           -392762.58586263657           -28557835.290015433            15.263970922853792            24430.191235071736             767.0582496012007             15072.72446146586
                       25        644.4166376722834      0.15698489667081877       0.8442953423022341      0.14148505748884768    0.0027764911609191177  -1.7103924063065452e-06        416.9513625744924  -0.00012780694739341226      0.10536046539965595     0.008650270536238463             2.040925441767882            -5453.226448942145           -5496.6476668006735           -2279.6553324334186            -392762.5859086957           -28557834.929551348            15.263970820770746             24430.19171008907             767.0582508081416            15072.724474390825
                       26        644.4166376748252      0.15698489677552957       0.8442953421466373      0.14148505748726742     0.002776491161190523  -1.7103924085063755e-06       416.95136259880684  -0.00012780694944688944      0.10536046539769979     0.008650270540451362             2.040925446319932              -5453.2264393778            -5496.647671396614           -2279.6553311934185           -392762.58554798993            -28557835.02525017            15.263971035069003            24430.192508750013             767.0582486218589            15072.724448443209
                       27        643.5180108682504      0.12997771263692687       0.9003718688929829      0.14238205094874337     0.003565671343886887  -2.8387679540893046e-06        412.3044075620518    0.0003747654157730696       0.1058713845946351     0.005196482065143589            1.6256096307910912            -5402.708786730665           -3655.1691389012967           -2036.6814052155526           -105945.95295351012            -29044160.74699978             8.448571094752177            169085.87219086214             529.2215322098332            15905.179462832602
                       28        643.5178017056893      0.12996822867738755       0.9003848159416121        0.142382155323266     0.003565673019860289  -2.8339750629761774e-06        412.3050070332839    0.0003746461444360978      0.10587155934402175    0.0051961917426432405            1.6276393538293867             -5401.27513623714            -3654.854069083613            -2036.427897459036            -105415.9138648975           -28675779.888905928             8.464281509274267            169182.21654326664             528.4197029232097            15898.141752854383
                       29        643.5180108605308      0.12997771240497025       0.9003718693891097      0.14238205095569684    0.0035656713486938037  -2.8387679600741434e-06       412.30440753707205    0.0003747654162705571       0.1058713845994427     0.005196482037386036            1.6256096206252113            -5402.708793235227           -3655.1691248160196           -2036.6814044278153           -105945.95231424253           -29044160.805828486             8.448570753057927            169085.87005964716              529.221532229352            15905.179508052162
                       30        643.5180110417149      0.12997772056912715       0.9003718581804547      0.14238205086331635    0.0035656713444996713  -2.8387719914288528e-06        412.3044070711502   0.00037476551515115957      0.10587138444916123     0.005196482297077534             1.625607923007946           -5402.7099917205605            -3655.169398805736             -2036.68161751106           -105946.39893227525           -29044470.974221848             8.448558042430376            169085.79198704523              529.222205434086             15905.18538963196
                       31        642.8692285525776      0.11020147042168044       0.9420244767303003      0.14295904194828699     0.003958336234779812  -2.9052624014326405e-06        410.3174640579688    0.0004048812107920064      0.10627935224520031    0.0029043148430893647            0.9401892121090911           -5775.3331455516645            -2682.782218662932           -1965.1441776464767           -28088.841737061943            -6223242.329166517           -17.939007112508857            3601.4681504119862               412.09875971838             18624.21094189221
                       32        642.8692285512561      0.11020147046195211       0.9420244767503199      0.14295904195675713     0.003958336328871732  -2.8846225916119595e-06        410.3174640666052   0.00040488119870379924      0.10627935224354655    0.0029043147800797238            0.9479269931441621            -5769.030324950637            -2683.369821719057            -1964.242227155401            -26460.61726923869            -4958941.438055552            -17.85358543802622             4311.669524856491            408.66563689532677            18559.760999393326
                       33        642.8692285512026      0.11020147046173673        0.942024476750342       0.1429590419567382     0.003958336302026053   -2.905262478573099e-06         410.317464066403   0.00040488118696961096      0.10627935224361432    0.0029043147811515244            0.9401891482070052            -5775.333077056776           -2682.7822213004147            -1965.144161752731           -28088.833533843805            -6223242.311851803            -17.93900878225812             3601.449915578414             412.0987289850687            18624.210120654272
                       34        642.8692285433148      0.11020147069799008       0.9420244768693316      0.14295904200668144     0.003958336617838675  -2.9054373805923706e-06        410.3174641188879   0.00040488123099664645      0.10627935223457644    0.0029043144220190047             0.940123614730433            -5775.386166465277           -2682.7773124444434           -1965.1517397131895           -28102.601230931916             -6233952.33106389            -17.93971718587132            3595.5650122509614             412.1276141864028            18624.751979584893
                       35        642.8650633117513      0.11032280662273308        0.942085185658874      0.14298464186049015     0.004162034034734723  -3.0390530778204715e-06       410.34301252517923    0.0003327216502426976      0.10627454807306833     0.002716696336073544            0.7772528387815221            -5556.276297020192            -2698.055976530356           -1917.1281836015605            466.66648168930976            -746684.9375318461            -22.68025046962953           -48955.378991351885             305.2318685118045            15707.971989953152
                       36        642.8650633106696      0.11032280666505351       0.9420851856795249      0.14298464186882773     0.004162034034848014   -3.039053077966043e-06        410.3430125361383    0.0003327216531152505      0.10627454807186805      0.00271669626574625             0.777252853543985            -5556.276266235417            -2698.055992662631           -1917.1281798244124             466.6683075366096            -746684.5686665373           -22.680249727939927           -48955.372802441976            305.23184662859916            15707.971341038769
                       37        642.8650633096021      0.11032280668141514       0.9420851856933045      0.14298464187274568     0.004162034027219502   -3.039053076668008e-06        410.3430125331497     0.000332721647531801       0.1062745480734248    0.0027166963007767353            0.7772528296633482            -5556.276292927776            -2698.055984007565           -1917.1281836085063             466.6650848814009            -746685.3191003598            -22.68025079797892            -48955.38246963753             305.2318639188154            15707.971795737294
                       38        642.8650633087765      0.11032280670991218         0.94208518571516       0.1429846418792581     0.004162034033673564   -3.039053077628761e-06         410.343012540871    0.0003327216488843224      0.10627454807496771    0.0027166963408911515            0.7772528412087214           -5556.2762902822715           -2698.0559724466734           -1917.1281813258063              466.666425484571            -746684.9757181155           -22.680250364203008           -48955.378749500516            305.23186898089835            15707.972021734653
                       39        642.8650633082656       0.1103228066774295       0.9420851856992429      0.14298464187317816    0.0041620340370513735  -3.0390530758671152e-06        410.3430125246373    0.0003327216492097348      0.10627454807530343    0.0027166963347201346            0.7772528371194434           -5556.2762893197105           -2698.0559747166926            -1917.128181486931               466.66700060406            -746684.6905304539              -22.680250549111             -48955.3798249124            305.23186693807077            15707.971949113431
                       40        641.1972785973277      0.15331208423964054       0.9701569065619584      0.15231815349588543     0.003727616663166765   -2.674914089961912e-06         416.744483080321   -0.0003518537019955069      0.10724875206617518    0.0010350335923691462            1.4548589884136172            -1076.374390289562           -2027.6997611909094            -832.0038861951347             38668.33328090258            11184764.426036322             11.98273262221129            -53980.48787915852            -723.0094085226059           -48960.673283027085
                       41        641.1972785804527      0.15331208464743667       0.9701569068280386      0.15231815358183493     0.003727616655624266  -2.6749140833237313e-06        416.7444831240341   -0.0003518537067334262      0.10724875207643128    0.0010350336671597852            1.4548589893523054            -1076.374408914817            -2027.699703229155            -832.0038844516871             38668.33019522219            11184763.709076095            11.982732425962107           -53980.491113332355            -723.0093558003913            -48960.66449439838
                       42        641.1972785936881      0.15331208429390697       0.9701569066003659      0.15231815350639524    0.0037276166573513626   -2.674914086236904e-06       416.74448307209343   -0.0003518537000448971      0.10724875206849138    0.0010350335910114493            1.4548589896170159           -1076.3743907024984            -2027.699761174119            -832.0038862652281             38668.33248469464            11184764.285216229             11.98273261099026            -53980.48747464342            -723.0094069631082            -48960.67331630349
                       43        641.1972785920722      0.15331208430676269       0.9701569066144332      0.15231815350929206    0.0037276166637946586  -2.6749140885032124e-06        416.7444830701524   -0.0003518537004242152      0.10724875206952265     0.001035033592832739            1.4548589900312745           -1076.3743829455755           -2027.6997588472286             -832.003884478162             38668.33369855917             11184764.57247934            11.982732672326799            -53980.48695238818            -723.0094090339566            -48960.67327452133
                       44        641.1972785812833       0.1533120844386452       0.9701569067273854      0.15231815354033323     0.003727616663913554   -2.674914094018856e-06       416.74448305746176   -0.0003518537024853677      0.10724875207640379    0.0010350335909034246             1.454858975630178            -1076.374376947487           -2027.6997554157872             -832.003882304246             38668.33282532071            11184764.199710565            11.982732145104485           -53980.491396737896            -723.0094069977193            -48960.67335002606
                       45        641.1972785946361      0.15331208423442527       0.9701569065791249       0.1523181534990637    0.0037276166637206917  -2.6749140925496137e-06       416.74448307987853  -0.00035185370181215186      0.10724875206779584    0.0010350335920397778             1.454858988238695            -1076.374390075599           -2027.6997607870917            -832.0038859848527             38668.33326667072            11184764.328779822            11.982732641381293            -53980.48767781084            -723.0094085787265            -48960.67330489177
                       46        638.4941967815006       0.1818878137221645       0.9963199035262114       0.1590480480920646    0.0033927814487241083  -2.6914945726070073e-06         413.157776386939   0.00011288833938952799      0.10894980488246225    0.0013157667668519495            1.2076577368021129             493.7209513653507           -1086.4561821915865           -422.29297838146186            -8090.838933630461            -9985822.011447402           0.45072225980686553            12510.301141318754            -408.3193893516087           -25148.574276250052
                       47        638.4941967718958      0.18188781376790486       0.9963199036234898      0.15904804811195394    0.0033927814491593795  -2.6914945697108314e-06        413.1577763763511   0.00011288834072968688      0.10894980488877803    0.0013157667723819322            1.2076577375333275            493.72095234301264           -1086.4561778223754            -422.2929780691914            -8090.838570136379             -9985821.81644938            0.4507222491442647            12510.301565307842           -408.31938790985276            -25148.57404130904
                       48        638.4941967700871      0.18188781378727054       0.9963199036638628      0.15904804812461526    0.0033927814464334532  -2.6914945715476147e-06         413.157776391932   0.00011288833798124391      0.10894980488990363     0.001315766769400534            1.2076577328357745            493.72094951350806            -1086.456177952067           -422.29297825350835            -8090.839745971298            -9985822.197402287            0.4507221035143113            12510.299469650221            -408.3193867247602           -25148.574078656082
                       49        638.4941967723473      0.18188781374454482       0.9963199036407218      0.15904804811869888    0.0033927814482103977  -2.6914945714881564e-06        413.1577764059348   0.00011288833812518606       0.1089498048882329    0.0013157667675968796             1.207657741254451             493.7209544888957           -1086.4561788964718            -422.2929775038747            -8090.838732239497             -9985821.95520098           0.45072244972088527            12510.302023080782            -408.3193902485997           -25148.574249830686
                       50        638.4941967782654      0.18188781367477752        0.996319903550873       0.1590480480962238     0.003392781449461769  -2.6914945723991907e-06       413.15777638896805   0.00011288833887721818      0.10894980488402443     0.001315766766288513            1.2076577363291334             493.7209494859159           -1086.4561817379322            -422.2929785212579            -8090.838801419988            -9985821.956482057            0.4507222407644414            12510.300858347677            -408.3193894057339            -25148.57427601479
                       51         638.494196765571      0.18188781365792622        0.996319903648591      0.15904804811912845    0.0033927814487128135  -2.6914945738268855e-06       413.15777638415625   0.00011288833996725249      0.10894980489094777    0.0013157667646657347            1.2076577364099599             493.7209485336499           -1086.4561798501659           -422.29297814178847            -8090.839039916902            -9985822.100812202            0.4507222658979752            12510.301364967972            -408.3193887877504           -25148.574283586928
                       52        633.2340893300724      0.17086113099711586       1.0438303919157979      0.16937656122339664      0.00340941265234732   -2.504341990531841e-06        413.5291760479268    8.728024209190156e-05      0.11194607964155873    0.0014731575084611596            1.1749285632022786            -199.6233013112032            141.13096031862833            -336.3802050126884           -2506.5735946118984            -5798227.245549644            0.5722335171425976             3811.719520873074           -124.61806325119849            2219.7358868024758
                       53         633.234089318549      0.17086113103598138       1.0438303919922403      0.16937656124832545      0.00340941265211278  -2.5043419889439676e-06       413.52917604886545    8.728024180951373e-05      0.11194607964758907    0.0014731575069544343             1.174928563078844            -199.6232972197361            141.13096161340528            -336.3802041320453           -2506.5734505956143            -5798227.156788207            0.5722335054301997             3811.719339423292           -124.61806396296188            2219.7358440007833
                       54         633.234089324255      0.17086113099900974       1.0438303919214758      0.16937656123255593     0.003409412651903851   -2.504341989980535e-06       413.52917604841235    8.728024215095762e-05      0.11194607964412447    0.0014731575082444215             1.174928563450323            -199.6233013774943            141.13096033937092            -336.3802049795974           -2506.5736548360996            -5798227.246639431            0.5722335234456283             3811.719571468885            -124.6180631887981             2219.735887716449
                       55        633.2340893096474      0.17086113097829092       1.0438303918739509      0.16937656124518286     0.003409412652231011  -2.5043419885688044e-06        413.5291760450996    8.728024240905064e-05      0.11194607964939982     0.001473157508880895            1.1749285631911237           -199.62330256626237             141.1309594449682           -336.38020521675094            -2506.573526583094           -5798227.1501065325            0.5722334951967554             3811.719484021585           -124.61806312051809             2219.735890552316
                       56         633.234089292492      0.17086113099756767        1.043830391917749      0.16937656127245412     0.003409412652253588   -2.504341990604631e-06        413.5291760465694    8.728024227940955e-05      0.11194607965710032    0.0014731575085335982             1.174928562427458           -199.62330146220106            141.13096056917578            -336.3802046762829           -2506.5736486311184            -5798227.274597126            0.5722334949523684             3811.719423593794           -124.61806301314378              2219.73589028161
                       57        633.2340888328016       0.1708611310206843       1.0438303918013692      0.16937656185950237    0.0034094126545560393   -2.504341989498156e-06        413.5291760514974    8.728024612048371e-05      0.11194607984452062    0.0014731575099203205             1.174928571912301           -199.62328852102632            141.13096116845205            -336.3801988909277           -2506.5720498999735            -5798227.027879103            0.5722339714511055             3811.724175540629           -124.61806717191023             2219.735678261814
                       58        575.1873618398455       0.1724753302678721        1.042028033769388      0.24515969530919798    0.0032034434128471656  -1.9089990941682294e-06       412.25526650996585   0.00045667201793775716       0.1359025591444053    0.0014749305668227842            0.8015568714984217           -23.662530430576368            289.66245734933705           -1.8635544719026447            -6476.132069710963            -2407734.557861882           -5.6555644350966165             84034.17142522748           -23.494757646867388           -2529.1861203529734
                       59         575.187360656421      0.17247533210725635       1.0420280291183235      0.24515969726891423    0.0032034433934023995   -1.908999072202638e-06       412.25526659404807    0.0004566720129331363      0.13590255968256776    0.0014749305254527188            0.8015568821067313            -23.66238407804565             289.6623383042744           -1.8635444193407873            -6476.132799452264            -2407733.935649618            -5.655564091481911             84034.17183653596           -23.494791095620553           -2529.1895697465366
                       60         575.187361515683      0.17247533030695483       1.0420280336902725      0.24515969576007587     0.003203443411023684  -1.9089990900008552e-06        412.2552665172996    0.0004566720179086945       0.1359025592809665    0.0014749305720688343            0.8015568683321875             -23.6625337675952            289.66245766303365            -1.863554154743192            -6476.132492511605           -2407734.5620997534            -5.655564507494113             84034.17090308476             -23.4947563332014           -2529.1860688154043
                       61        575.1873611949472      0.17247533039643181       1.0420280334931689       0.2451596962326375     0.003203443414604584   -1.908999084061458e-06        412.2552665580572    0.0004566720158152267      0.13590255941760906    0.0014749305858634387            0.8015568797985817           -23.662525495617526              289.662458617266           -1.8635531140712807            -6476.130415825872            -2407733.870955183           -5.6555640582068865              84034.1735354406           -23.494760457720503           -2529.1861546032146
                       62        575.1873616747707      0.17247533039932345       1.0420280334956322      0.24515969558912348     0.003203443414454095  -1.9089991031059203e-06        412.2552665507442   0.00045667201298818863      0.13590255921729694    0.0014749305828492265            0.8015568683905876            -23.66253410120367            289.66245703856225           -1.8635547505834185            -6476.132673412392            -2407735.192151447           -5.6555644234467035             84034.16985065406           -23.494757009870188           -2529.1860134858084
                       63        575.1873616779262      0.17247533026986372         1.04202803367921       0.2451596955045131    0.0032034434152574103  -1.9089990959514235e-06        412.2552665046957    0.0004566720182770413      0.13590255920815886    0.0014749305706581225            0.8015568676139532           -23.662530467879037            289.66245737799693           -1.8635539972331516            -6476.131660990226           -2407734.5712918155            -5.655564530502813             84034.17095963222            -23.49475750342929           -2529.1861180016176
                       64       444.73131887624277      0.20207917699550984       0.9718765569194836       0.4302001614349027    0.0031496087510544434  -1.0321310697826375e-06       419.09894268524323    2.719453367082316e-05      0.19097138458195353      0.00483054341044409           0.29265014627481856             1107.939641227766             -823.610989984084             129.7426612672079             31301.63833639775            20844134.855470844            -3.075704802577412            -7566.824946921599           -126.92964185400449            -6982.080910128685
                       65        444.7313188831646      0.20207917680807064       0.9718765574891685      0.43020016141574635    0.0031496087493300866  -1.0321310749740291e-06         419.098942687845   2.7194533596300308e-05      0.19097138457785218     0.004830543413693354           0.29265014194463734             1107.939620703544             -823.610974897834            129.74266095325376               31301.637133535            20844134.147011384            -3.075704860104622            -7566.825421229476           -126.92963894736444            -6982.080820390428
                       66        444.7313185322793      0.20207917695103625       0.9718765570152468       0.4302001619125782    0.0031496087522091933  -1.0321310659211604e-06        419.0989427115512   2.7194533065828808e-05      0.19097138472593678     0.004830543424214386           0.29265015201766464            1107.9396392079657            -823.6109862238917            129.74266137965657             31301.63914122532            20844135.195392534           -3.0757045573235926            -7566.823248375373           -126.92964248900738            -6982.080885536803
                       67       432.19388357920485      0.19153060793106874       1.0024629579268909       0.4471589904746356     0.003111061985269308  -1.1337820458608172e-06        420.2062939790635   1.0328907566140716e-06      0.19616249334959696     0.005499628442784659            0.2942704770197703            47.691072224145074              26.8634650494702             119.3263911722411               2063.8908271968            -1759143.500124088            3.4674510033308072             34675.39816118805            -15.55137178178755            -2378.137639410776
                       68       432.19388355784525      0.19153060790986903       1.0024629579306696      0.44715899048926305    0.0031110619851067037  -1.1337820455154283e-06        420.2062939770946   1.0328901844268087e-06       0.1961624933558183    0.0054996284457404935           0.29427047278214463             47.69106873594109            26.863465342571995            119.32639100352873              2063.89055033489            -1759143.525167888            3.4674508625826306             34675.39698892201           -15.551371061107583           -2378.1376247986955
                       69        432.1938835527053      0.19153060792352816       1.0024629579209585      0.44715899049593694     0.003111061985577573  -1.1337820451735581e-06       420.20629398098083   1.0328906023104184e-06       0.1961624933582123    0.0054996284463477135           0.29427047732915157             47.69107169076249              26.8634651275778            119.32639112798363            2063.8909679486164           -1759143.4149265392            3.4674510098216853             34675.39817507692           -15.551371844155662           -2378.1376359505884
                       70        432.1938835165101       0.1915306079371008        1.002462957864048       0.4471589905191554     0.003111061985387702   -1.133782046372137e-06       420.20629398381845   1.0328904774354816e-06      0.19616249336898506     0.005499628451632257            0.2942704769062102             47.69107111709691             26.86346396580077            119.32639109231327             2063.890762640899           -1759143.5700950003             3.467451014507431             34675.39818392616           -15.551371595088979           -2378.1376303233696
                       71       432.19388353033344      0.19153060799605703       1.0024629579518076      0.44715899049275243    0.0031110619853547752   -1.133782045899868e-06       420.20629398153807   1.0328905342173178e-06      0.19616249336182048     0.005499628450790692            0.2942704765525275             47.69107474172533            26.863465646619947            119.32639122875113             2063.890902547383           -1759143.5121386317            3.4674509978087196             34675.39806642539            -15.55137193010443           -2378.1376418789037
                       72       432.19388355036006      0.19153060795504612         1.00246295793677       0.4471589904797546     0.003111061984703771  -1.1337820449702705e-06         420.206293980204   1.0328908343687146e-06       0.1961624933561738       0.0054996284476701           0.29427047721645705            47.691071903836246             26.86346511992954            119.32639105885832             2063.890703971857           -1759143.4652489724            3.4674510084133328              34675.3982333874           -15.551371594796876           -2378.1376339310946
                       73         410.700144270018      0.20224789785962036       0.9985730080560495        0.458702154359741     0.003103873836040527  -1.0117609413584248e-06        421.4194844860998    -9.23440771626793e-05      0.20218768055103592      0.00875328200268862           0.13896556776337068            200.32121342844823            -36.14266311646272            105.38510021034531             2598.789449273486            2011138.2729420736            0.9973637449307222           -2739.4553675192437            3.5866605697957414           -1374.4476918229318
