                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                  Costf_grad_h              Costf_grad_alpha            Costf_grad_sca_sto                 Costf_grad_wg         Costf_grad_gammatheta             Costf_grad_gammaq                Costf_grad_CO2             Costf_grad_advCO2                Costf_grad_z0m                Costf_grad_z0h              Costf_grad_FracH   Costf_grad_obs_sca_cf_CO2mh
                       31       441.51428640101494       0.2300693727866822        1.099621556043024      0.13418978693144837     0.003201812834382046   -8.277505792020983e-07       359.41478113121764    0.0003231725252387128      0.10798602004175252      0.11282445617084898       0.5214644232673248       1.1923215669059117          0.040477587162309286           -166.05911483733558           -11.168961891658114             128.6857586892452           -12328.914453339707             7049733.249885106           -2.1736532371363237            -7119.710068023009            110.12762209074342            136.12776376369868            133.81278895176646              508.980717749264
                       32         441.514285259972      0.23006937281199577       1.0996215551677047       0.1341897869173536    0.0032018072126415156   -8.277505822865254e-07        359.4147809172991   0.00032315018512311163       0.1079860199740522      0.11282445609337817       0.5214644231711272       1.1923215687998643           0.04038695992150033           -166.09518205967555           -11.171244916093103            128.68159699406021           -12335.377312135573             7048603.960120977           -2.1769240959787353            -7150.458280213737            110.14002595203051             136.1371269846847            133.81385940226824            509.88290546657004
                       33        441.5142859210184      0.23006937271914055       1.0996215482226521       0.1341897869285289    0.0032017900781681507   -8.277505810011913e-07        359.4147808868785    0.0003231592545652204       0.1079860200784036      0.11282445620286047       0.5214644232615342       1.1923215687916113          0.040410445728807344            -166.1203969871964           -11.177190413481972            128.67681409402036           -12340.530984528483             7047567.141228154             -2.17609515153514            -7141.665834767946            110.14592028446998            136.14492326298014            133.81226787105567             509.6560864759787
                       34       441.51428447504986       0.2300693727529643        1.099621550830312       0.1341897869110666     0.003201790101054972   -8.277505839762971e-07       359.41478069237405   0.00032315937940855573      0.10798602000678266      0.11282445610977808       0.5214644231372398        1.192321570767882          0.040410450244304626           -166.12038111842466           -11.177105379401977            128.67682089566395            -12340.51749162425             7047568.660822228            -2.176092809884258           -7141.6047522346735            110.14593264567547            136.14491498294487             133.8122782210088            509.65554618165527
                       35        441.5132467246483       0.2300694293035304       1.0996226803621614        0.134189766558182     0.003201789643909923   -8.277544268268744e-07        359.4148335751135   0.00032315653974184216        0.107985912247717      0.11282433426950637       0.5214642781188652        1.192321628982159           0.04039079284185718           -166.12271753424315           -11.150165071003759              128.680086204615           -12340.677780716322              7046702.84785809             -2.17637740136916            -7144.286200150348             110.1468033153929            136.14182358466834            133.82104193720036            509.74664695568003
                       36       441.51420649587794      0.23006937703290167       1.0996215471393196       0.1341897853629773    0.0032017870311098514   -8.277508727636856e-07       359.41478459744116    0.0003231599060581026      0.10798601184367036      0.11282444690506933       0.5214644120639121       1.1923215756251673          0.040409899201644235           -166.12560740152713           -11.177963475598116            128.67604732595288           -12341.640546358472            7047301.2258353615           -2.1760928012120475            -7141.425485398079            110.14745843486082             136.1464209289932             133.8124002742037             509.6557877725995
                       37        436.0289423349943      0.23038314700181725        1.104889119527412       0.1340785809401337    0.0032142345593833784   -8.488347992904778e-07         359.781422789651    0.0002956040803432248      0.10739054633777635        0.112155215366937       0.5206718088130133        1.192013763682989           0.05540127781382053           -105.80408664905677            116.00366089989998            155.32656878421938           -3326.7900718957444             4221515.649822723           0.06548971648286575             580.4543794259306              86.7840647094033            100.79151722390931            179.02131011581898            -75.91200695374556
                       38        436.0289421945572      0.23038314706794064       1.1048891194221113       0.1340785808986856     0.003214234559689215   -8.488348009860269e-07        359.7814227958436   0.00029560407985481773      0.10739054616019775       0.1121552151851719        0.520671808473048       1.1920137636787766           0.05540127879125533           -105.80407871309717            116.00365813698028            155.32656900733454           -3326.7898117131085             4221515.586264235           0.06548974863494639             580.4544244049177             86.78406388339201            100.79151611291421            179.02130983976738            -75.91201809850182
                       39       436.02894179626605       0.2303831468147907       1.1048891195608732      0.13407858079207852     0.003214234559684197   -8.488348033936811e-07       359.78142280803456   0.00029560407870790183      0.10739054585889651      0.11215521489818514       0.5206718076871605       1.1920137636782708           0.05540127298572895           -105.80410105663599            116.00366123191112            155.32656546734896            -3326.790379644143             4221515.389635964           0.06548958526321474             580.4529699035537              86.7840663609939             100.7915221697705            179.02130627881752             -75.9119682970535
                       40        436.0289422138326       0.2303831468821492       1.1048891195747128      0.13407858083324167    0.0032142345589788778   -8.488347973397028e-07        359.7814227915838    0.0002956040807824958        0.107390545845472      0.11215521467201135        0.520671808085152        1.192013763683869          0.055401282080492366            -105.8040875967184             116.0036608485094            155.32656739956064           -3326.7896566831573            4221516.0397410225           0.06548979934491836             580.4550040533155              86.7840639908693            100.79151803622331            179.02130760660958            -75.91202880041712
                       41       436.02894180631574      0.23038314667913054       1.1048891196932047      0.13407858062747469    0.0032142345561075618   -8.488348010315115e-07        359.7814227812555    0.0002956040824414908      0.10739054475913506      0.11215521265053915       0.5206718069694046       1.1920137637106398           0.05540127108727839           -105.80408084628709            116.00366373304084             155.3265696047097             -3326.79019407249             4221515.646419756           0.06548951581087555             580.4533200731303             86.78406447134873            100.79151538815707             179.0213112145819            -75.91194963887754
                       42         436.028941652439      0.23038314611808014       1.1048891194259447      0.13407858041291149    0.0032142345527805993   -8.488348104481367e-07        359.7814227950509   0.00029560408435556993      0.10739054374935479      0.11215521070110941       0.5206718058956353       1.1920137636789865           0.05540128834622764           -105.80409545940105             116.0036597526966            155.32656947007806           -3326.7910649007126             4221514.870652514           0.06549011018899077             580.4578574344469             86.78406399193643            100.79151808494208            179.02131077410849            -75.91211731337796
                       43        436.0289419763874      0.23038314679502234       1.1048891194089734      0.13407858085453306    0.0032142345591612102   -8.488347982826066e-07       359.78142280278996    0.0002956040794726035      0.10739054604846296      0.11215521446398045       0.5206718085409283        1.192013763673496           0.05540127659862291           -105.80408753877417            116.00366040313374              155.326570144698           -3326.7898974911914             4221515.725741772           0.06548972432082131             580.4541610152584             86.78406415971125            100.79151624607987            179.02131152710814            -75.91201118861028
                       44        408.3291454659311      0.21275194320097776       1.1045025508092667      0.12023669687611002    0.0031071246772286574   -9.596685335438428e-07         360.141846595706    0.0003339389884601182      0.04349924801340586   1.0000000000114084e-07       0.4399936577897111       1.1922253246164445           -1.2226511606901067             -89508.6631258604            -13279.15922437265            -38147.95745547278             612278.2610643754            145214706.25405902             62.35482353569323             428748.7670831486           -101316.33956431464            -22660895691.05899           -318.97885624546643           -25881.879549600773
                       45        422.1790439004626       0.2215675451013975       1.1046958351683394      0.12715763890812187     0.003160679618306018   -9.042516664171604e-07        359.9616346926785   0.00031477153440167063      0.07544489717559111       0.0560776576834685       0.4803327333013622       1.1921195441497168           0.07936831190415145            323.10166522424186             83.16866389900608             251.3215611807645            11349.141511265687              4923521.62932915            1.5011787564838612             8591.010062263978           -22.923799950170366            -177.6062645084442            259.39209653664756            -581.9475681349062
                       46       415.25409468319685      0.21715974415118763        1.104599192988804      0.12369716789211593    0.0031339021477673375   -9.319600999805017e-07       360.05174064419225    0.0003243552614308944      0.05947207259449848     0.028038878841734248      0.46016319554553664       1.1921724343830806           0.16188480444027503            1210.1757377820281           -19.230724891663176             468.5167463508703             41280.16520239836             8554910.997642009            4.3488214759567505            23452.576628998104           -337.82852912173297           -1517.5771890260426            437.47655060311934           -1617.0360997723894
                       47        418.7165692918297      0.21936364462629257       1.1046475140785716      0.12542740340011888     0.003147290883036678    -9.18105883198831e-07       360.00668766843535    0.0003195633979162834       0.0674584848850448      0.04205826826260139       0.4702479644234494       1.1921459892663986           0.10801827976214905             660.1506197394633            49.412036559052666            331.80880539324073             22738.89035924871             6089752.213921066            2.5881999657166412            14280.786668939078           -127.90153656764936            -545.7373089974247             327.3020158766788            -972.8214769016804
                       48       420.44780659614617      0.22046559486384507       1.1046716746234555      0.12629252115412037     0.003153985250671348   -9.111787748079958e-07       359.98416118055695   0.00031716746615897615      0.07145169103031795     0.049067962973034944       0.4752903488624058       1.1921327667080577           0.09152454503627275              472.119947797639             69.04772688468321            286.53261463921024            16385.856038048263             5400131.912658012            1.9830292716171383            11120.346563632978            -67.06214127491484            -322.7276787973034            289.39948366629113            -754.5287338609735
                       49        420.4478058678517      0.22046559446037295        1.104671674826541       0.1262925208574833    0.0031539852491303385   -9.111787790335003e-07        359.9841612009494   0.00031716746551863767      0.07145169009731063      0.04906796207858316       0.4752903467869283       1.1921327667019315           0.09152454515743931             472.1199378648228             69.04772611402504            286.53261139982095            16385.855861386786             5400131.771253133             1.983029269680406            11120.346195909655            -67.06214243555705            -322.7276790123764             289.3994792005861            -754.5287319178472
                       50       420.44780650357575      0.22046559496014473       1.1046716746702288      0.12629252114219894     0.003153985251316452   -9.111787757867373e-07        359.9841611865829     0.000317167465527274       0.0714516912821549      0.04906796390299547       0.4752903485887794        1.192132766703161            0.0915245428969115             472.1199154273076             69.04772761356183              286.532604778297            16385.855021295778             5400131.781668275             1.983029170467298             11120.34591647964            -67.06213242955378           -322.72764537466475            289.39947393018383            -754.5286974276376
                       51        393.2351444127289      0.20696853317291394        1.112484176607735      0.11548449194086247    0.0031054011399495865  -1.0737885823419778e-06        360.7828558386051   0.00028735483192495175     0.040552264479094526     0.026810345139841874       0.3976352617259381       1.1918598090171888           0.11441359669207522            163.65611234039045            -35.25618635006695            121.17263642555766            10365.542272221548            -826824.7513475455            2.1154100038434014           -2646.7026200222363           -125.08269464423415           -242.27037352915266             86.85422604241813            -771.1971050070892
                       52        393.2351443204391      0.20696853322686568        1.112484176718322      0.11548449192330823    0.0031054011403712873  -1.0737885831645988e-06        360.7828558406857    0.0002873548318015895      0.04055226478021909     0.026810346044540308       0.3976352615155664       1.1918598090166304           0.11441358827681124            163.65604532427875           -35.256177894625516            121.17261870789243            10365.539930456769            -826825.1571618731             2.115409759603542            -2646.703847822627           -125.08266417324579           -242.27027020576836             86.85421145028948            -771.1970168319101
                       53       393.23514409402287       0.2069685330959936        1.112484176714668       0.1154844918414003    0.0031054011394673463   -1.073788582789938e-06        360.7828558420444    0.0002873548318703357      0.04055226443477303     0.026810344953410406       0.3976352610873808       1.1918598090200687           0.11441359126048593            163.65611140591935            -35.25618737771787            121.17263516957702            10365.542080990681            -826824.8014447594             2.115409862898964           -2646.7035467800215           -125.08269356893732            -242.2703742562783              86.8542250179439            -771.1970656470861
                       54        393.2351442679519      0.20696853312909289       1.1124841767121207      0.11548449186502899    0.0031054011396623718  -1.0737885818770829e-06       360.78285584496456    0.0002873548323939108     0.040552264487655934      0.02681034502458559       0.3976352612356028        1.191859809014363           0.11441360085458176            163.65611239059314            -35.25618669176583            121.17263500523086            10365.542473400848            -826824.6184087888             2.115410127741028            -2646.701544809381           -125.08269535017982           -242.27037339871976             86.85422431290223            -771.1971384879316
                       55        393.2351443946138      0.20696853318878738       1.1124841766573184      0.11548449193492438    0.0031054011398225804  -1.0737885819954693e-06        360.7828558382347   0.00028735483220288134     0.040552264593212976     0.026810345115280874      0.39763526176144987        1.191859809018537           0.11441359590184026            163.65611267356684            -35.25618541333835             121.1726366667944            10365.542226110221            -826824.7583598744            2.1154099994874365            -2646.702497290913            -125.0826938595554           -242.27037377376672             86.85422654919788            -771.1971030809575
                       56          393.23514441719      0.20696853318003677       1.1124841766129645      0.11548449193628382    0.0031054011398983757   -1.073788582193707e-06       360.78285583824714   0.00028735483195237166      0.04055226446448912     0.026810345132089256       0.3976352617235497       1.1918598090181836            0.1144135967758893            163.65611352375606            -35.25618639500958            121.17263660668323            10365.542309447455             -826824.729880473            2.1154100028612244            -2646.702631793709           -125.08269511075049            -242.2703749397902             86.85422617507353            -771.1971049046873
                       57       379.28828668332585      0.20478390738608945       1.1211457425372728      0.11023276712006505    0.0030774514270461243  -1.0559873608140436e-06       361.01657437333006    0.0003118532339194515     0.045682484546977445     0.019443712458876217       0.3680673835082894         1.19196938925365         -0.004775783286088947             82.27294599790355           -24.868933723462067             32.61760104482988            4054.9555577920323             424190.5152496147           0.24476568195342102             84.84565046614924             -36.7882952302781           -114.13827603932414             17.12174219387181           -161.66516895742288
                       58       379.28828689981196      0.20478390747894887         1.12114574250797      0.11023276718799277      0.00307745142744042  -1.0559873601312933e-06       361.01657436822956    0.0003118532340905889      0.04568248482805567      0.01944371282716736       0.3680673839410773       1.1919693892550398          -0.00477578502785016             82.27291948545273           -24.868928009796115              32.6175951661964             4054.954652172432             424190.4143433275           0.24476562633096607              84.8455056465657            -36.78828346416829           -114.13822214441814            17.121737714127235            -161.6651442321813
                       59        379.2882866455425      0.20478390737252855       1.1211457425842166      0.11023276709552027    0.0030774514268874275  -1.0559873608501162e-06       361.01657437435625    0.0003118532340066135      0.04568248456804007      0.01944371242724773       0.3680673833912139       1.1919693892543304         -0.004775783376673621             82.27294576445892           -24.868933596084037            32.617600723736466            4054.9555231971453            424190.51187485456           0.24476568399842966             84.84571386948193           -36.788295037744106           -114.13827569334467            17.121741965285533           -161.66516915400925
                       60        379.2882866929415      0.20478390737977828       1.1211457425480642      0.11023276711553118    0.0030774514270078754  -1.0559873608720484e-06       361.01657437313673   0.00031185323387156183      0.04568248454907361     0.019443712452277946       0.3680673835058984       1.1919693892546093         -0.004775783567771681             82.27294581662113           -24.868933618238316             32.61760105210737             4054.955528516482             424190.5067814213           0.24476567148859113             84.84555409461886           -36.788295164811466           -114.13827598847719             17.12174224040527           -161.66516600130277
                       61       379.28828672592294       0.2047839073739615        1.121145742553331      0.11023276711099089     0.003077451427024234  -1.0559873607977943e-06        361.0165743733016    0.0003118532338776299     0.045682484551812265     0.019443712448803756       0.3680673835042852       1.1919693892549117         -0.004775782453628172             82.27294586855612           -24.868933598967722              32.6176010016601            4054.9555712675606            424190.53456494183           0.24476569571452525             84.84570910591913           -36.788295449317665           -114.13827612465562            17.121742100770938           -161.66517270101417
