                   sim_nr                        h                    alpha                  sca_sto                       wg               gammatheta                   gammaq                      CO2                   advCO2                      z0m                      z0h                    FracH         obs_sca_cf_CO2mh                     data                    Costf
                        1                    650.0                     0.45                      0.5                     0.14                    0.005                   -3e-06                    380.0                    0.006                      0.1                     0.01                      0.6                      1.0       171257.87354208482       171257.87354208482
                        2        649.9999992107004       0.4499999999489205       0.5000000107380025      0.13999999999878368     0.004999996572360145  -3.0000000002297124e-06        379.9999995350789     0.005999974678023856      0.10000000003597401     0.010000000130958062       0.5999999999988721       1.0000000035874348       171257.36582752448       171257.36582752448
                        3        649.9999998762659      0.44999999997665346       0.5000000063604908      0.13999999999954282     0.004999998199386571    -3.00000000011706e-06        379.9999999206493     0.006000000146908864      0.10000000001016739     0.010000000063874236       0.5999999999983223       1.0000000006615497       171257.87083022812       171257.87083022812
                        4        649.5466729482908       0.4499706629507636       0.5061672731387379      0.13999930141471073     0.003031366505580725  -3.0001319331630483e-06        379.7329768342103    -0.008543444611927638      0.10002066133590211     0.010075214561367249       0.5999993522278261       1.0020604102715962       26547.097378039187       26547.097378039187
                        5        649.5466694154919       0.4499706622455281       0.5061675365077907      0.13999930140101374     0.003031357572420204  -3.0001319334950484e-06        379.7329741445304     -0.00854342984655787      0.10002066171602324     0.010075216330423029       0.5999993521626517       1.0020604328265097         26547.0832344894         26547.0832344894
                        6        649.5466557621924      0.44997065981081014       0.5061684133285542        0.139999301353021    0.0030313191877920634  -3.0001319347857216e-06        379.7329643644206    -0.008543433079964058      0.10002066303241756     0.010075222429504144       0.5999993519405329       1.0020605142270986       26547.049977635514       26547.049977635514
                        7        649.5466574170387       0.4499706608870445       0.5061679245242114      0.13999930137177952    0.0030313724530999617   -3.000131927257594e-06       379.73296881714015    -0.008543442993933215      0.10002066239501056      0.01007521947179722       0.5999993519808005       1.0020604773112989        26547.07685508106        26547.07685508106
                        8        649.5466662970831      0.44997066167238753       0.5061671930382996      0.13999930138063563     0.003031366596187968  -3.0001319301076006e-06        379.7329735709946      -0.0085434433891308      0.10002066189530834     0.010075217095171115       0.5999993519658468       1.0020604384945786       26547.093196233174       26547.093196233174
                        9        649.5466595878755       0.4499706601878082       0.5061671430814734      0.13999930134265534     0.003031362531234039   -3.000131926597453e-06       379.73297134467003    -0.008543459750826305      0.10002066235053811     0.010075217348282891       0.5999993516759231       1.0020604585883492       26547.094858889497       26547.094858889497
                       10         602.302553719972        0.441807210633777       0.9899737416597798      0.13979735238277255    0.0009483522222203354   -2.981277736285959e-06       355.47092435777535    0.0010228795902137685      0.10379824539278214      0.02730031590322564       0.5985602256311231         1.20900440070685        7944.147946073011        7944.147946073011
                       11        625.9246133341314      0.44588893679227026       0.7480705073992588      0.13989832689874165      0.00198985936390053  -2.9907048347245037e-06        367.6019505959929   -0.0037602825108569334      0.10190945336434212     0.018687765232296445       0.5992797889294745        1.105532405489223        9043.338960002779        9043.338960002779
                       12        614.1135835270517      0.44384807371302365       0.8690221245295184      0.13984783964075712    0.0014691057930604325  -2.9859912855052314e-06        361.5364374768841   -0.0013687014603215837      0.10285384937856212      0.02299404056776104       0.5989200072802988       1.1572684030980365        5160.991399727777        5160.991399727777
                       13        614.1135825116461       0.4438480732431065       0.8690221411650185       0.1398478396294239    0.0014691060722139817   -2.985991270362957e-06       361.53643682013774   -0.0013687012050028194      0.10285384948092806      0.02299404105015767       0.5989200071187326        1.157268408673366        5160.990280132803        5160.990280132803
                       14        614.1135830361347      0.44384807319552066        0.869022130003879      0.13984783962801484    0.0014691057899112363   -2.985991281763149e-06       361.53643732224066    -0.001368701396845153      0.10285384943184722      0.02299404080850278        0.598920007136062       1.1572684044906218        5160.991301650914        5160.991301650914
                       15        614.1135835661611       0.4438480732781776       0.8690221255998356      0.13984783962956412    0.0014691057942378682   -2.985991282448252e-06       361.53643749337266   -0.0013687014701640882      0.10285384941499805     0.022994040846550365       0.5989200071451681       1.1572684029683036       5160.9913873016585       5160.9913873016585
                       16        614.1135838553861       0.4438480730691275       0.8690221251163592       0.1398478396234769    0.0014691057928611301   -2.985991280124391e-06        361.5364375120678   -0.0013687014562854096      0.10285384939369557     0.022994040706120822        0.598920007059653       1.1572684030139468        5160.991388100467        5160.991388100467
                       17        617.7250977345411       0.3369820618332035       1.2544720646288976      0.13707881262586813    0.0018802619148053394  -2.1637487084001873e-06        358.6781840938477    0.0005121323658642089      0.11001203176557259      0.07236213704084582       0.5651142908658201        1.198192188587688       1147.9191026513504       1147.9191026513504
                       18        617.7250975218894        0.336982061006881        1.254472064679982      0.13707881260747448     0.001880261922584683   -2.163748700404485e-06       358.67818408440456    0.0005121323539003372       0.1100120318137386      0.07236213737430552       0.5651142906004581       1.1981921886091758       1147.9190840189399       1147.9190840189399
                       19        617.7250977438147       0.3369820611893176       1.2544720636862952      0.13707881261202587    0.0018802619193420242   -2.163748701957626e-06       358.67818409887093    0.0005121323717576821      0.11001203179171065      0.07236213729072416       0.5651142906476048        1.198192188600604       1147.9190937552141       1147.9190937552141
                       20        617.7250973616577        0.336982061568271       1.2544720628085404      0.13707881262231095    0.0018802619146031162  -2.1637487071925186e-06        358.6781840825143    0.0005121323693440209      0.11001203176948084      0.07236213707837932       0.5651142908002255       1.1981921886538678       1147.9190986097485       1147.9190986097485
                       21        617.7250974324569      0.33698206173569256        1.254472064421476      0.13707881262449928     0.001880261915248526  -2.1637487085580454e-06        358.6781841039971    0.0005121323632403347       0.1100120317537724      0.07236213704818169       0.5651142908608925       1.1981921885132167       1147.9191020287726       1147.9191020287726
